ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
8370,F,Flight,4,1,222,2,low,F,10,4714
4515,A,Road,3,1,219,8,low,F,1,4122
1211,C,Road,5,5,128,5,low,M,34,1008
1729,D,Ship,2,3,249,2,low,M,1,2905
876,F,Ship,4,1,222,3,medium,M,45,3158
6295,D,Road,7,5,250,4,low,F,2,1296
1587,A,Ship,4,5,181,2,medium,M,59,2239
974,F,Flight,5,4,229,3,medium,M,29,2505
9140,F,Ship,6,5,298,4,medium,F,8,1759
9130,B,Ship,3,1,225,4,low,F,10,4080
9786,F,Ship,5,1,183,3,medium,F,8,4531
6200,F,Ship,5,2,280,4,low,M,8,4539
561,A,Flight,3,1,185,2,medium,F,34,3299
3444,F,Ship,4,1,247,2,medium,F,7,5098
10851,A,Ship,4,1,202,3,low,M,7,4788
3736,B,Ship,6,1,170,3,low,F,10,4858
965,C,Flight,6,1,291,5,medium,F,53,1682
899,C,Ship,3,5,242,3,medium,M,19,3753
3377,C,Ship,4,1,244,2,low,F,3,4644
4523,C,Flight,3,1,269,2,medium,M,6,5703
1118,F,Ship,4,4,205,3,low,F,11,2255
8317,D,Ship,6,5,263,4,low,M,10,1669
1987,D,Ship,5,4,138,2,medium,M,38,1803
6210,F,Ship,4,3,273,10,medium,M,6,4251
10173,A,Ship,3,2,250,3,medium,M,6,4636
8027,C,Ship,6,3,252,2,low,M,1,1756
10187,C,Ship,6,3,282,4,medium,F,8,1375
1802,F,Ship,3,1,195,3,high,M,5,3251
8170,B,Ship,5,4,228,6,medium,M,5,4974
3105,A,Ship,2,2,273,3,low,M,56,2633
3543,A,Road,5,3,174,3,medium,F,7,5510
6013,D,Road,6,4,244,4,medium,M,7,1795
5401,D,Ship,3,5,227,4,low,F,9,4647
9573,A,Road,3,1,195,5,low,F,4,4034
194,F,Ship,2,2,158,3,low,M,28,1968
10558,B,Flight,4,2,255,5,low,F,6,4053
1469,C,Ship,5,5,224,3,medium,F,48,2298
5847,A,Ship,5,5,193,5,high,F,4,5087
1677,A,Ship,3,4,240,2,medium,F,2,3729
4564,B,Ship,6,2,274,4,medium,M,8,1626
2316,F,Road,4,5,135,2,high,F,22,1195
10937,C,Road,5,3,257,5,medium,M,8,1981
8925,A,Ship,6,1,307,4,low,F,3,1977
945,A,Road,4,5,274,10,medium,F,5,3910
6426,F,Road,3,3,259,2,high,M,8,4481
9116,F,Ship,3,4,247,3,medium,M,9,5383
10025,C,Ship,5,1,258,3,medium,M,7,4466
980,F,Ship,4,4,140,2,low,F,47,1831
5014,B,Ship,6,5,260,4,medium,F,10,1799
10986,F,Ship,5,1,229,5,low,F,10,1040
4339,D,Ship,4,4,233,4,low,M,3,5849
912,F,Ship,2,5,163,3,medium,F,37,1079
4178,F,Ship,4,5,149,3,low,M,9,4953
4471,D,Ship,6,5,213,4,medium,F,3,5549
9294,F,Road,4,1,225,2,low,M,4,4102
1145,C,Ship,4,1,118,5,low,M,50,1413
4390,B,Flight,3,3,201,2,medium,F,8,5032
4189,D,Ship,4,5,263,5,low,M,9,5731
7302,F,Ship,3,2,197,4,medium,M,1,5210
9759,A,Ship,4,2,202,3,medium,M,7,5821
8402,F,Ship,3,3,151,3,medium,F,1,5297
3877,D,Ship,4,4,266,2,low,F,2,4290
10355,C,Ship,3,1,175,3,low,M,6,4695
905,C,Ship,5,5,236,3,medium,F,62,3365
5633,C,Flight,5,4,217,2,medium,F,3,5925
6747,A,Ship,4,5,202,3,medium,M,8,5416
3826,B,Road,3,2,268,10,medium,M,9,4483
4437,A,Ship,3,4,212,3,medium,M,10,4663
6556,B,Road,5,1,298,4,low,M,4,1551
3040,B,Ship,4,4,177,3,medium,M,23,1142
794,F,Ship,4,3,257,3,medium,M,5,2489
5370,F,Ship,4,2,197,3,low,F,6,5826
3276,F,Road,2,5,241,4,low,F,4,5693
10785,A,Ship,5,3,137,4,low,F,2,1034
9183,A,Flight,6,3,266,4,medium,F,8,1547
631,D,Ship,3,1,155,3,medium,F,27,1022
7862,F,Ship,4,2,255,3,low,F,8,5865
9173,C,Road,6,1,308,4,low,F,7,1260
9339,A,Ship,5,1,151,3,medium,M,2,4172
1926,F,Flight,5,2,161,2,medium,F,59,1859
2816,F,Ship,4,1,161,3,low,M,59,1454
3031,D,Flight,3,4,209,3,high,F,37,3650
8018,F,Ship,4,5,237,5,low,M,2,1357
9775,D,Ship,5,4,190,3,medium,F,4,4424
3548,F,Road,3,3,163,3,medium,M,2,5791
5161,D,Ship,4,2,157,4,low,F,6,4964
7213,D,Ship,6,2,280,4,low,M,10,1866
4744,B,Ship,3,1,211,3,high,F,7,5178
604,B,Ship,3,1,162,2,low,F,52,1125
2409,A,Ship,2,4,136,6,medium,M,58,1479
2653,D,Ship,3,3,158,3,low,F,20,1431
10663,D,Road,5,2,255,6,low,M,6,1610
10159,D,Ship,3,3,257,3,low,M,5,4937
4503,A,Road,4,5,148,8,medium,M,6,5700
7697,C,Ship,4,1,240,8,medium,M,1,4638
10040,F,Ship,5,3,229,2,medium,F,1,5294
6387,A,Ship,3,2,167,3,medium,M,5,5995
1856,F,Ship,5,5,247,10,medium,F,61,2206
5425,D,Ship,4,1,229,4,low,F,3,4352
3,A,Flight,2,2,183,4,low,M,48,3374
1088,F,Road,4,2,147,3,medium,M,44,1873
1133,C,Ship,3,3,175,3,high,F,45,1212
2255,C,Ship,4,4,176,3,high,M,34,1283
4898,F,Ship,5,3,211,3,low,F,5,5087
5422,B,Ship,6,1,147,3,medium,F,5,4012
26,F,Ship,3,1,225,4,low,M,29,3496
3323,C,Ship,3,4,151,3,low,M,2,5712
6883,D,Ship,5,3,223,5,medium,M,10,1170
1783,D,Flight,5,2,187,3,medium,M,11,2936
7162,B,Ship,6,2,306,4,low,F,6,1123
4944,F,Flight,3,5,135,3,low,M,3,4938
7025,C,Ship,5,1,153,2,low,F,7,4944
5070,F,Flight,3,5,156,3,medium,F,2,4190
256,B,Road,2,2,148,3,high,F,35,1349
10863,A,Ship,6,4,242,3,medium,M,9,5920
6479,C,Ship,4,2,177,6,low,F,3,4392
7333,D,Ship,3,3,218,3,medium,M,6,5288
8948,F,Ship,4,4,220,3,low,F,4,5622
10927,D,Ship,5,3,219,5,low,F,6,1553
5261,C,Ship,6,5,256,4,low,M,5,1033
10646,F,Ship,4,3,260,3,medium,F,4,5770
9488,F,Ship,4,2,216,3,low,M,2,4750
6960,F,Ship,5,3,206,3,low,F,1,4645
9536,F,Ship,2,2,156,3,low,F,5,4151
6510,F,Ship,5,5,265,5,medium,M,1,1568
4742,F,Ship,3,5,221,2,low,F,6,5289
5874,F,Road,2,4,242,3,medium,M,8,4898
2541,A,Ship,3,3,140,2,medium,F,30,1547
477,A,Ship,4,2,149,3,medium,M,26,1863
163,D,Ship,4,1,261,4,low,F,58,3427
7350,F,Ship,4,4,209,3,medium,M,8,5884
6430,B,Road,5,1,203,3,low,F,2,4162
9635,C,Ship,7,3,289,4,low,F,3,1037
6868,B,Ship,4,4,223,5,medium,M,1,1124
2085,A,Ship,3,2,173,3,high,M,40,1723
3408,F,Road,3,2,253,3,low,F,7,4915
6020,F,Road,6,5,282,4,medium,M,3,1385
1235,C,Flight,2,3,280,4,low,M,17,3555
8338,B,Road,5,4,271,5,low,M,4,1320
10919,C,Ship,5,3,246,5,low,M,2,1185
4866,F,Ship,4,5,261,2,medium,M,6,5920
7548,F,Flight,4,2,149,2,low,M,2,4026
9841,D,Road,3,4,212,3,low,M,6,5935
1653,A,Flight,4,5,270,3,medium,M,20,3185
10108,B,Ship,3,5,209,3,high,F,4,5413
1704,F,Ship,4,3,201,3,low,F,46,3641
4026,F,Ship,3,3,240,3,low,F,4,5056
99,A,Ship,3,5,144,4,medium,M,5,1104
2741,C,Flight,3,1,121,5,low,F,60,1577
6830,F,Road,5,4,267,5,low,M,9,1017
1176,F,Ship,3,1,263,3,low,M,25,3689
5558,F,Ship,5,1,178,2,low,F,5,4369
9731,C,Flight,3,5,138,2,medium,M,1,4881
5928,F,Ship,5,2,184,3,medium,F,8,4581
10120,B,Road,3,4,257,3,low,F,4,4883
7199,C,Ship,6,4,291,4,low,F,5,1112
5031,A,Ship,6,3,281,4,medium,F,7,1599
10112,F,Road,4,4,258,3,high,M,2,5420
6444,F,Flight,4,4,196,3,low,M,5,5514
2031,A,Road,4,5,266,3,medium,M,5,3718
3879,A,Ship,5,2,205,4,low,M,6,5486
4916,F,Road,3,2,252,3,medium,M,7,4507
7788,F,Road,4,4,246,3,medium,M,5,5029
4746,F,Ship,3,2,144,3,high,M,1,5307
7038,F,Ship,3,1,166,2,low,F,10,4137
5903,C,Flight,3,5,162,2,high,M,1,4573
6400,B,Ship,3,2,211,4,high,M,1,5831
678,F,Road,6,4,160,2,low,F,31,1689
2535,A,Ship,4,3,261,3,low,F,6,2787
3300,F,Flight,4,4,208,3,low,F,10,4919
2257,D,Ship,3,4,230,3,high,F,22,3546
4496,F,Road,5,5,132,3,low,M,5,4195
10596,F,Ship,4,5,183,2,low,F,1,4741
1420,B,Ship,4,5,161,2,medium,M,55,1457
9477,A,Ship,3,3,133,3,low,F,2,4926
487,D,Ship,3,1,294,4,low,F,25,1498
2400,F,Ship,6,2,276,6,medium,M,7,2437
4331,C,Ship,5,2,168,4,low,M,10,5373
10204,B,Ship,5,1,245,5,low,M,9,1694
5010,F,Ship,4,3,263,3,low,F,3,5253
10207,D,Ship,4,2,259,5,medium,F,2,1054
10123,D,Road,3,4,174,2,low,F,4,4295
8689,D,Ship,3,3,169,3,high,M,1,4647
3036,F,Ship,5,2,184,2,medium,M,27,3276
6805,D,Ship,4,4,182,3,high,F,7,5197
9514,B,Ship,3,3,249,4,low,M,7,5868
1293,A,Ship,5,5,133,3,medium,F,21,1648
897,A,Ship,4,2,162,2,low,M,16,1014
3470,F,Ship,4,3,173,3,low,F,7,4810
3569,C,Flight,4,4,271,3,low,M,3,4152
5513,C,Ship,6,5,266,4,medium,F,6,1312
5329,D,Road,2,4,201,2,high,M,2,5115
9037,D,Road,4,1,189,2,medium,M,4,4122
976,B,Flight,5,5,249,3,medium,M,55,3558
983,C,Ship,3,2,175,4,medium,F,17,1276
9313,D,Flight,5,2,259,2,medium,M,7,4764
6826,B,Road,6,3,305,4,medium,F,9,1479
4456,B,Ship,5,1,224,2,medium,M,4,5063
1961,C,Ship,3,3,207,3,low,F,62,3277
4662,F,Flight,3,3,270,3,low,M,7,4152
2323,D,Road,3,5,268,4,high,M,19,2893
6626,F,Ship,4,1,164,3,low,M,4,5910
9860,F,Flight,4,4,160,4,low,M,1,5520
5111,C,Ship,3,4,256,3,low,M,7,5013
5372,F,Ship,4,2,257,2,low,M,7,5325
181,D,Ship,4,1,161,7,medium,F,18,1294
9501,A,Ship,4,2,201,3,medium,F,4,4613
10133,C,Road,6,2,137,10,low,F,5,4510
10244,F,Ship,3,3,197,3,low,F,4,4858
3867,A,Ship,2,2,157,2,medium,M,9,5875
1971,A,Ship,5,2,144,3,low,M,49,1202
3121,D,Ship,3,5,238,2,medium,F,34,2726
5419,D,Ship,5,5,209,2,low,F,3,4348
3806,F,Ship,2,1,203,4,medium,F,4,4145
1938,F,Ship,3,4,181,3,low,M,45,2486
213,A,Ship,2,5,127,3,low,M,44,1341
7851,A,Ship,2,3,118,4,medium,M,7,5510
4597,D,Ship,5,4,270,3,medium,M,9,4992
2614,B,Flight,4,2,273,5,medium,F,6,2126
5574,F,Ship,5,1,120,3,low,M,7,4381
7474,B,Ship,5,4,242,5,medium,M,1,1824
10056,F,Ship,3,5,171,3,medium,M,5,4075
3692,F,Road,3,5,272,2,low,M,3,5638
1481,C,Road,4,1,226,3,low,F,28,2211
355,D,Ship,3,2,132,3,low,F,56,1303
1988,F,Ship,2,3,151,3,medium,M,22,1024
2418,F,Ship,3,4,228,2,medium,M,65,3943
3420,F,Road,5,5,158,3,medium,M,7,5559
5785,D,Ship,7,2,284,4,low,F,6,1550
4583,C,Ship,5,1,241,2,medium,F,3,5391
3012,F,Flight,4,5,157,4,medium,F,12,1038
10406,F,Road,5,2,245,5,low,F,9,1466
5044,B,Road,4,2,224,2,low,M,9,5603
5541,A,Ship,4,4,200,2,low,M,5,5783
5770,B,Flight,6,5,244,4,medium,F,4,1648
7593,A,Ship,5,1,256,2,medium,F,1,5352
4669,D,Flight,5,2,133,2,high,F,2,4556
9851,C,Road,3,2,122,4,low,F,9,5299
5307,A,Ship,4,4,252,3,medium,M,1,5676
4002,F,Ship,2,3,205,3,low,M,1,5137
4740,F,Ship,3,5,233,3,medium,F,7,5787
8951,C,Ship,5,4,208,2,low,M,9,4569
8767,D,Flight,5,5,182,3,low,F,9,5388
9165,A,Road,4,2,232,5,medium,M,3,1197
3562,B,Flight,3,3,121,2,low,M,10,5130
5977,D,Ship,4,2,244,3,high,F,3,4103
6180,F,Flight,3,4,171,3,medium,F,5,4310
5321,C,Road,4,4,186,3,low,F,2,4430
2140,B,Ship,6,3,272,3,low,F,39,2518
4203,A,Ship,3,2,168,3,medium,M,2,4231
6057,A,Ship,4,4,210,2,medium,M,8,5942
10362,F,Ship,3,4,141,3,medium,M,2,5512
734,F,Ship,4,4,197,7,medium,F,22,2065
3790,B,Ship,3,1,154,10,medium,F,3,4524
1416,F,Ship,3,3,238,4,medium,M,57,3537
9644,F,Ship,5,3,170,3,medium,M,6,5226
10371,A,Ship,4,1,259,3,low,M,9,5148
6262,B,Ship,4,1,265,6,low,F,9,1753
5265,A,Ship,6,1,304,4,low,F,4,1236
5976,F,Ship,4,1,212,2,medium,M,4,4969
1372,B,Flight,5,4,268,3,medium,M,6,2206
5723,C,Ship,6,3,266,4,medium,M,8,1983
8517,A,Ship,3,3,165,2,medium,M,1,4768
2512,B,Ship,3,1,176,2,medium,F,45,1470
6206,F,Ship,3,2,126,10,low,M,3,4073
1901,C,Road,4,4,192,3,medium,M,39,2943
5316,F,Ship,3,1,219,3,medium,M,6,4893
6515,C,Ship,4,1,246,6,low,F,6,1335
6672,F,Ship,4,5,224,6,high,F,5,5659
193,D,Ship,2,4,140,3,low,F,7,1411
9065,C,Ship,4,3,260,4,low,F,5,5307
4376,F,Road,3,5,195,3,medium,F,10,5585
5002,B,Ship,4,5,194,8,medium,F,9,4843
9957,A,Ship,5,2,269,5,medium,F,10,1113
7480,B,Ship,4,5,273,5,medium,F,7,1409
9952,B,Ship,6,4,288,4,medium,F,9,1575
1083,A,Road,6,3,236,3,medium,M,6,2639
6542,F,Ship,6,4,283,4,low,F,10,1512
959,C,Flight,4,1,161,2,high,F,21,1075
5340,F,Flight,5,1,162,3,medium,F,1,5537
8389,D,Ship,2,4,149,5,medium,F,7,5541
8625,A,Road,5,3,245,5,low,M,8,1471
7033,D,Ship,6,2,232,3,medium,F,7,5219
5473,D,Road,4,1,241,3,low,M,4,4493
8977,D,Ship,3,2,233,3,medium,M,7,5838
10852,B,Ship,5,1,241,4,medium,M,7,5519
971,C,Flight,6,2,118,2,low,M,40,1014
3354,F,Ship,4,5,190,3,low,M,2,4554
5222,F,Flight,6,5,256,5,low,M,10,1686
6938,F,Ship,4,2,271,3,medium,F,4,4186
6618,F,Ship,4,4,251,6,medium,M,4,1869
8520,F,Ship,2,1,238,2,low,F,4,4992
648,F,Ship,5,2,105,4,high,M,1,1622
680,F,Road,3,1,202,2,high,M,52,2312
6354,F,Ship,3,1,132,3,low,F,2,4785
7117,D,Road,4,3,192,4,high,F,1,5669
8373,A,Flight,4,2,246,3,medium,M,1,5113
9254,F,Ship,4,4,265,3,low,M,10,4741
4320,F,Ship,3,5,133,3,medium,F,4,5902
7380,F,Road,4,3,144,3,low,F,7,5496
6199,D,Ship,3,5,175,3,medium,F,8,5471
5818,B,Ship,2,1,207,4,low,M,1,5742
6182,F,Flight,3,4,201,3,high,M,7,4887
6958,B,Ship,5,2,246,3,low,M,2,4054
866,F,Ship,6,1,168,5,high,F,65,1601
466,B,Ship,3,2,294,4,low,F,15,1318
103,D,Ship,2,1,213,3,low,M,29,2732
3974,F,Flight,5,2,165,2,medium,F,6,4819
7416,F,Ship,5,4,271,4,low,F,5,1184
6921,A,Ship,6,3,245,4,low,M,10,1798
10627,D,Ship,5,4,180,2,low,F,9,5208
8159,C,Ship,3,2,227,3,medium,M,6,5058
6932,F,Ship,4,2,201,3,medium,F,6,5616
9252,F,Ship,5,5,223,3,medium,F,3,4382
4343,C,Ship,5,1,239,2,low,M,5,5759
10277,C,Flight,4,3,176,5,low,M,2,5751
315,A,Ship,4,2,143,6,medium,M,20,1654
4009,D,Ship,5,4,120,4,high,M,1,4183
9489,A,Ship,3,3,203,3,medium,F,4,5548
764,F,Ship,3,3,221,2,medium,F,26,3120
4359,A,Road,3,1,201,4,medium,F,9,5721
2039,C,Road,3,2,254,2,low,M,37,2469
4037,C,Ship,5,4,260,6,medium,M,8,5440
2317,D,Road,5,5,234,2,high,M,50,3914
9692,F,Ship,6,5,275,4,low,M,2,1700
10506,F,Ship,4,2,136,4,low,F,3,4190
5306,F,Ship,4,2,146,2,medium,M,4,4348
10000,B,Flight,3,3,158,3,low,M,1,5502
8588,F,Ship,4,5,239,3,low,M,6,5154
7818,F,Flight,5,2,152,3,medium,M,4,4699
7485,A,Ship,5,2,232,5,medium,F,10,1916
4316,F,Ship,4,3,151,3,medium,F,6,5379
6092,F,Ship,3,3,225,4,low,F,9,5468
7976,F,Ship,4,3,97,6,low,F,4,4375
1779,A,Flight,3,3,206,2,medium,M,62,3558
3887,C,Ship,5,4,230,3,low,M,1,4727
2839,D,Ship,4,5,232,2,low,M,54,2526
6235,D,Ship,4,4,133,4,high,F,7,5973
6649,D,Ship,3,3,232,4,medium,M,3,5828
8401,D,Ship,5,1,150,4,low,F,1,5098
8792,F,Ship,5,2,211,2,medium,F,2,5077
9021,A,Road,3,2,124,5,medium,M,10,5348
3379,D,Ship,4,2,161,4,low,F,10,5322
3528,F,Ship,4,5,274,3,medium,M,4,4521
10219,D,Ship,5,3,274,5,medium,M,7,1696
9591,A,Flight,4,4,137,4,medium,F,5,5095
6595,D,Ship,6,2,267,4,medium,F,1,1935
1227,A,Road,3,3,150,2,medium,F,61,1053
6003,A,Road,6,4,282,4,low,M,6,1580
6575,C,Flight,6,1,261,4,low,F,6,1703
3343,D,Ship,3,4,145,3,medium,M,4,5361
5759,C,Flight,5,1,287,4,low,F,4,1579
8037,A,Ship,6,2,287,4,low,F,7,1837
9024,F,Road,6,3,192,4,low,M,9,5239
5153,C,Ship,3,1,134,3,medium,M,10,4200
6100,B,Ship,3,4,215,3,high,F,5,4670
8830,B,Ship,4,4,261,5,medium,F,2,1690
1363,D,Road,4,5,233,3,medium,F,43,3856
7024,B,Ship,3,3,273,3,medium,F,6,5269
3308,F,Ship,5,3,154,2,medium,M,8,4006
10415,C,Flight,4,5,259,5,medium,M,2,1066
6225,A,Ship,4,2,217,6,medium,F,3,1732
4266,F,Ship,3,4,237,3,high,F,9,5514
9055,D,Flight,5,5,169,3,medium,M,2,5942
409,D,Flight,3,2,192,3,medium,M,43,3339
6421,D,Road,4,5,181,3,medium,M,1,5310
9685,D,Ship,6,1,303,4,low,F,9,1080
4287,A,Ship,3,5,170,7,low,F,7,4373
3999,A,Ship,3,3,256,3,medium,M,8,4070
3137,C,Road,3,3,219,3,low,M,4,5956
2175,A,Road,3,5,166,3,low,F,1,1366
5387,C,Ship,4,4,219,2,medium,M,7,4604
5642,F,Ship,4,1,209,4,medium,F,1,5057
7946,F,Flight,4,4,242,2,medium,M,6,5866
10430,F,Ship,5,4,222,3,medium,M,8,5559
6662,F,Ship,3,1,200,2,medium,M,8,4337
8889,A,Road,4,1,231,5,medium,F,10,1144
420,F,Flight,4,2,134,2,low,F,43,1714
1983,A,Ship,4,5,134,4,low,M,36,1191
1607,C,Ship,4,4,209,3,medium,M,37,3026
902,F,Ship,5,3,208,3,medium,M,35,3884
585,A,Ship,3,3,163,2,medium,F,48,1369
6103,D,Ship,4,3,170,2,low,M,3,4587
524,F,Road,3,1,155,3,medium,F,47,1193
4194,F,Ship,5,2,233,3,low,F,5,5756
1142,F,Ship,3,4,263,3,low,M,42,2992
255,A,Road,2,2,152,3,low,F,61,1800
8554,B,Ship,5,4,232,5,low,M,10,1512
1732,B,Ship,3,3,138,4,low,M,56,1440
2392,B,Ship,3,1,200,2,low,F,44,2651
9946,B,Ship,6,5,157,5,low,F,10,1133
6757,D,Ship,4,3,239,3,medium,M,9,5897
4629,A,Ship,3,3,173,5,medium,F,10,5840
6879,A,Ship,5,1,237,5,medium,F,2,1429
484,B,Ship,3,2,244,8,low,F,50,3562
5045,C,Road,3,5,242,2,low,F,6,5635
9729,A,Flight,4,2,257,3,medium,M,8,5772
3320,F,Ship,4,4,159,2,medium,F,6,5221
6636,F,Ship,3,4,186,4,low,M,6,4403
10603,D,Ship,5,2,176,4,low,M,1,5810
2888,F,Flight,3,1,164,2,low,F,39,1532
5179,D,Ship,3,5,254,3,medium,M,3,4072
7667,C,Road,4,5,244,3,low,F,7,4172
8565,A,Ship,3,2,193,2,low,M,3,4799
4393,D,Flight,4,3,202,3,low,M,7,5678
4307,C,Ship,4,3,191,3,medium,F,6,4563
6434,F,Road,3,4,159,3,high,M,4,4756
9609,A,Ship,5,3,191,3,high,F,6,4244
50,F,Ship,5,3,216,3,low,F,40,2146
914,F,Ship,4,4,264,2,low,M,35,2336
9088,B,Ship,3,3,250,3,low,M,9,4993
7095,A,Ship,3,2,182,10,low,M,1,4303
4276,B,Ship,4,4,159,3,low,M,9,4265
7810,B,Flight,3,5,230,3,high,M,4,5189
7924,B,Road,3,4,188,6,medium,F,6,4031
2417,C,Ship,3,1,153,2,low,F,6,1314
2075,C,Ship,3,4,175,2,low,F,2,1072
1635,A,Road,6,3,241,6,high,F,8,3878
4255,D,Flight,4,3,244,4,low,M,10,4118
4905,A,Ship,3,1,165,2,low,M,6,4445
10368,F,Ship,5,5,135,3,low,F,4,5734
2163,A,Ship,6,2,195,3,medium,M,30,3462
5065,D,Flight,3,5,162,2,low,M,4,4495
1910,F,Road,4,4,224,3,low,M,29,3623
89,C,Ship,3,3,229,3,low,M,49,2339
1705,D,Ship,3,3,245,2,medium,F,16,2577
5888,F,Flight,3,2,227,2,medium,M,10,4290
2297,C,Ship,5,1,194,3,medium,F,32,3003
3765,A,Ship,5,4,241,3,high,M,6,4157
309,A,Ship,4,2,165,2,high,M,11,1596
7357,D,Ship,3,1,201,3,low,F,6,4953
4934,F,Flight,5,4,200,3,medium,F,8,5206
10654,B,Ship,2,2,157,3,medium,F,9,4547
3486,F,Ship,4,1,182,2,medium,F,10,5638
7641,A,Ship,4,1,151,3,low,F,4,5610
5281,D,Ship,6,5,261,4,low,F,3,1217
8393,C,Ship,3,5,238,2,high,M,5,4052
8034,F,Ship,5,2,248,5,low,F,3,1046
7439,C,Ship,3,5,275,4,medium,M,10,5066
2627,C,Ship,3,3,156,3,high,F,20,1305
2071,D,Flight,3,4,272,10,medium,M,63,2455
10792,B,Ship,4,2,259,5,medium,M,7,1042
6240,F,Ship,3,4,175,3,medium,M,10,4771
5817,A,Ship,3,1,213,3,high,F,6,5535
4551,A,Ship,4,3,149,3,medium,F,1,1448
7080,F,Ship,3,5,221,3,medium,M,7,4741
10955,C,Road,4,1,261,3,low,F,8,5206
