airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-832,Chennai,Early_Morning,two_or_more,Night,Bangalore,Economy,13.5,40,6437
Air_India,AI-738,Bangalore,Morning,one,Night,Delhi,Business,9.08,39,39847
GO_FIRST,G8-302,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,9.5,40,4827
Air_India,AI-526,Kolkata,Evening,two_or_more,Morning,Chennai,Business,15.92,14,60631
Vistara,UK-830,Hyderabad,Morning,one,Morning,Chennai,Economy,23.83,47,4009
Vistara,UK-774,Kolkata,Night,one,Morning,Delhi,Economy,12.0,43,6461
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Bangalore,Economy,13.17,48,7053
Vistara,UK-836,Chennai,Morning,one,Evening,Kolkata,Business,8.83,11,57057
Vistara,UK-822,Chennai,Morning,one,Evening,Delhi,Business,10.0,21,61392
Vistara,UK-846,Bangalore,Morning,one,Evening,Kolkata,Business,8.33,41,51817
Vistara,UK-853,Mumbai,Afternoon,one,Night,Delhi,Business,6.42,29,53152
Vistara,UK-816,Bangalore,Morning,one,Night,Kolkata,Economy,11.25,12,11205
Air_India,AI-625,Mumbai,Morning,one,Night,Delhi,Economy,13.42,38,5481
Air_India,AI-840,Hyderabad,Night,one,Afternoon,Chennai,Business,15.83,21,51595
Indigo,6E-886,Bangalore,Morning,one,Evening,Delhi,Economy,9.5,46,5333
Vistara,UK-928,Mumbai,Early_Morning,one,Night,Kolkata,Economy,16.25,9,11129
Vistara,UK-852,Bangalore,Morning,one,Evening,Kolkata,Business,7.33,10,51817
AirAsia,I5-747,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.25,15,2409
Vistara,UK-944,Mumbai,Afternoon,zero,Evening,Delhi,Economy,2.25,9,5943
AirAsia,I5-829,Delhi,Night,two_or_more,Morning,Chennai,Economy,11.58,40,1998
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Kolkata,Economy,9.33,27,5960
Vistara,UK-829,Delhi,Early_Morning,two_or_more,Evening,Chennai,Economy,12.42,17,8160
Air_India,AI-770,Kolkata,Night,one,Morning,Hyderabad,Business,14.0,15,52063
AirAsia,I5-775,Delhi,Afternoon,one,Night,Hyderabad,Economy,9.08,10,26980
Indigo,6E-5208,Mumbai,Evening,one,Night,Chennai,Economy,4.92,2,10721
Air_India,AI-803,Delhi,Early_Morning,one,Night,Hyderabad,Economy,14.08,21,5530
Vistara,UK-802,Bangalore,Evening,zero,Night,Delhi,Economy,2.75,24,4502
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,30,3001
Vistara,UK-809,Delhi,Evening,one,Night,Hyderabad,Economy,25.08,20,5761
Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Chennai,Economy,10.33,20,4348
Vistara,UK-774,Kolkata,Night,one,Evening,Delhi,Business,20.17,1,75393
Vistara,UK-927,Delhi,Morning,one,Evening,Bangalore,Economy,9.75,9,10680
Vistara,UK-894,Hyderabad,Evening,one,Night,Delhi,Economy,26.0,29,5823
Air_India,AI-651,Mumbai,Morning,one,Night,Delhi,Economy,11.0,8,10418
Air_India,AI-883,Delhi,Night,one,Morning,Mumbai,Economy,10.33,36,5525
Vistara,UK-708,Kolkata,Night,one,Evening,Chennai,Business,19.92,8,55983
Vistara,UK-828,Chennai,Early_Morning,one,Night,Bangalore,Economy,15.83,32,4755
Vistara,UK-960,Mumbai,Morning,one,Night,Chennai,Business,8.33,13,61933
Vistara,UK-826,Chennai,Afternoon,one,Night,Delhi,Economy,11.25,37,8803
Indigo,6E-5396,Mumbai,Afternoon,one,Night,Bangalore,Economy,9.25,8,5103
Vistara,UK-858,Bangalore,Early_Morning,one,Afternoon,Delhi,Business,7.83,44,42521
AirAsia,I5-592,Bangalore,Evening,zero,Evening,Kolkata,Economy,2.42,34,3393
Air_India,AI-430,Chennai,Morning,one,Evening,Kolkata,Economy,9.25,17,6044
Air_India,AI-840,Hyderabad,Night,one,Evening,Mumbai,Business,21.17,16,45883
Air_India,AI-501,Bangalore,Afternoon,one,Night,Mumbai,Business,8.83,20,54684
Air_India,AI-541,Hyderabad,Evening,one,Morning,Bangalore,Business,16.67,43,56590
Vistara,UK-778,Kolkata,Afternoon,one,Night,Mumbai,Business,8.5,17,62591
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Bangalore,Business,9.25,7,64139
Vistara,UK-776,Kolkata,Evening,one,Morning,Chennai,Business,18.25,38,55502
GO_FIRST,G8-227,Kolkata,Early_Morning,one,Night,Hyderabad,Economy,15.83,36,5574
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,16,2937
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Chennai,Business,10.25,45,47657
Indigo,6E-282,Delhi,Morning,zero,Afternoon,Kolkata,Economy,2.17,5,6900
Vistara,UK-866,Bangalore,Night,one,Morning,Chennai,Business,11.17,43,44280
AirAsia,I5-767,Mumbai,Early_Morning,one,Night,Bangalore,Economy,16.25,45,3175
Indigo,6E-6201,Mumbai,Morning,zero,Morning,Delhi,Economy,1.92,25,3424
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Chennai,Economy,12.75,20,5033
Indigo,6E-788,Delhi,Afternoon,one,Evening,Hyderabad,Economy,3.92,34,3457
Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Economy,13.17,16,5606
Vistara,UK-864,Bangalore,Evening,one,Morning,Delhi,Business,14.67,33,57081
Air_India,AI-763,Kolkata,Early_Morning,one,Evening,Mumbai,Economy,13.0,20,6048
Air_India,AI-430,Chennai,Morning,one,Morning,Mumbai,Economy,23.17,8,9141
GO_FIRST,G8-323,Delhi,Evening,one,Early_Morning,Chennai,Economy,13.42,46,4896
Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,43,3831
Vistara,UK-836,Chennai,Morning,one,Night,Hyderabad,Business,12.17,15,51457
Vistara,UK-993,Delhi,Afternoon,one,Evening,Bangalore,Business,6.42,19,54777
Air_India,AI-573,Bangalore,Afternoon,one,Night,Delhi,Economy,7.92,43,7682
SpiceJet,SG-3027,Bangalore,Early_Morning,one,Evening,Delhi,Economy,12.0,19,11476
Indigo,6E-345,Kolkata,Morning,zero,Afternoon,Bangalore,Economy,2.83,44,4022
Indigo,6E-588,Chennai,Evening,one,Late_Night,Mumbai,Economy,8.75,24,5882
Air_India,AI-676,Kolkata,Morning,one,Night,Delhi,Economy,14.08,35,5810
Air_India,AI-544,Delhi,Evening,one,Afternoon,Bangalore,Economy,21.67,16,6403
Vistara,UK-852,Bangalore,Morning,one,Night,Chennai,Business,13.58,36,44280
Air_India,AI-538,Chennai,Night,one,Night,Bangalore,Economy,23.75,3,19533
AirAsia,I5-1451,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,13.92,2,5174
Indigo,6E-5347,Chennai,Night,zero,Late_Night,Mumbai,Economy,2.08,2,5882
Indigo,6E-6113,Chennai,Afternoon,one,Evening,Mumbai,Economy,5.33,8,9505
Air_India,AI-748,Bangalore,Late_Night,one,Evening,Chennai,Economy,17.0,15,12844
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Kolkata,Economy,24.08,44,5685
Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Business,16.33,36,41281
Indigo,6E-495,Chennai,Early_Morning,one,Afternoon,Kolkata,Economy,6.75,38,4814
Vistara,UK-727,Delhi,Night,zero,Night,Kolkata,Business,2.25,7,38056
GO_FIRST,G8-510,Bangalore,Early_Morning,zero,Morning,Hyderabad,Economy,1.0,44,1714
Air_India,AI-770,Kolkata,Night,one,Morning,Mumbai,Economy,13.67,37,5102
Indigo,6E-6223,Mumbai,Afternoon,one,Night,Kolkata,Economy,4.42,43,3980
Vistara,UK-897,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,26.08,39,4792
Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,Business,9.67,36,45995
Vistara,UK-808,Bangalore,Early_Morning,one,Night,Kolkata,Business,14.75,48,60508
Air_India,AI-541,Hyderabad,Evening,one,Afternoon,Kolkata,Business,22.25,18,51707
Air_India,AI-544,Delhi,Evening,one,Morning,Kolkata,Economy,14.83,36,3610
Indigo,6E-903,Hyderabad,Afternoon,zero,Evening,Mumbai,Economy,1.58,5,4453
GO_FIRST,G8-537,Kolkata,Evening,one,Night,Mumbai,Economy,4.5,47,5675
Vistara,UK-817,Delhi,Evening,one,Morning,Hyderabad,Economy,17.0,47,5761
Air_India,AI-804,Bangalore,Early_Morning,one,Night,Mumbai,Business,16.0,25,54684
Air_India,AI-607,Mumbai,Evening,one,Evening,Hyderabad,Economy,26.25,19,3654
Vistara,UK-960,Mumbai,Morning,one,Night,Bangalore,Economy,8.5,9,11129
Air_India,AI-839,Delhi,Night,one,Morning,Mumbai,Economy,12.5,48,3831
Air_India,AI-441,Delhi,Evening,one,Evening,Bangalore,Business,24.67,17,42457
Air_India,AI-9745,Kolkata,Morning,two_or_more,Morning,Chennai,Economy,23.33,37,6358
GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33,11,12291
Air_India,AI-768,Kolkata,Afternoon,one,Night,Hyderabad,Business,8.08,30,52063
Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Economy,17.0,12,11508
AirAsia,I5-588,Kolkata,Afternoon,one,Night,Delhi,Economy,8.75,15,5953
Vistara,UK-953,Delhi,Night,one,Morning,Chennai,Economy,15.17,45,5098
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.5,21,7135
Indigo,6E-5208,Mumbai,Evening,zero,Evening,Hyderabad,Economy,1.42,38,2901
Vistara,UK-708,Kolkata,Night,one,Afternoon,Hyderabad,Economy,16.25,48,5632
Vistara,UK-876,Hyderabad,Night,zero,Night,Mumbai,Economy,1.42,39,3646
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,13.17,13,64113
Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Hyderabad,Business,12.33,38,45693
AirAsia,I5-996,Bangalore,Evening,zero,Night,Delhi,Economy,2.83,1,7489
Vistara,UK-738,Kolkata,Evening,one,Morning,Chennai,Business,15.17,9,55983
Indigo,6E-903,Hyderabad,Afternoon,zero,Evening,Mumbai,Economy,1.58,6,4453
Air_India,AI-808,Bangalore,Night,one,Evening,Kolkata,Economy,22.17,24,6583
Vistara,UK-706,Kolkata,Morning,two_or_more,Evening,Bangalore,Economy,9.0,39,7763
Indigo,6E-6139,Bangalore,Afternoon,zero,Evening,Delhi,Economy,2.75,41,4500
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,3,5954
Indigo,6E-461,Mumbai,Early_Morning,one,Afternoon,Chennai,Economy,8.92,47,1890
Indigo,6E-457,Bangalore,Early_Morning,two_or_more,Evening,Kolkata,Economy,10.67,10,13352
Vistara,UK-866,Bangalore,Night,one,Early_Morning,Hyderabad,Business,10.17,8,37985
Indigo,6E-581,Chennai,Morning,one,Evening,Hyderabad,Economy,7.08,46,1105
Vistara,UK-824,Chennai,Night,one,Early_Morning,Hyderabad,Business,11.33,44,41064
Air_India,AI-808,Bangalore,Night,one,Afternoon,Kolkata,Business,17.5,44,60508
Vistara,UK-818,Bangalore,Evening,one,Evening,Chennai,Business,20.67,20,60396
Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,Economy,2.0,6,6060
Air_India,AI-839,Delhi,Night,one,Night,Chennai,Business,26.75,47,38626
Air_India,AI-439,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,7.83,5,12150
Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,15.92,31,49553
Vistara,UK-814,Bangalore,Night,one,Evening,Kolkata,Economy,22.42,35,8112
Vistara,UK-955,Delhi,Evening,one,Evening,Kolkata,Economy,26.17,14,11389
Vistara,UK-958,Mumbai,Afternoon,one,Evening,Hyderabad,Business,7.5,28,45805
Air_India,AI-544,Delhi,Evening,one,Afternoon,Bangalore,Economy,21.08,22,3610
Vistara,UK-838,Chennai,Night,one,Early_Morning,Mumbai,Economy,10.83,24,4413
GO_FIRST,G8-515,Hyderabad,Morning,one,Evening,Delhi,Economy,10.0,17,6132
Air_India,AI-687,Mumbai,Afternoon,one,Night,Kolkata,Economy,6.33,18,5502
Vistara,UK-708,Kolkata,Night,one,Morning,Chennai,Business,13.5,11,55983
Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33,34,2410
Vistara,UK-996,Mumbai,Evening,one,Evening,Hyderabad,Business,22.5,17,60365
Indigo,6E-7623,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,8.25,8,9907
Air_India,AI-838,Hyderabad,Afternoon,one,Morning,Bangalore,Economy,19.92,32,5894
Indigo,6E-269,Hyderabad,Morning,one,Evening,Kolkata,Economy,5.83,31,3223
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Business,2.17,32,34472
Vistara,UK-951,Delhi,Afternoon,one,Night,Chennai,Business,8.75,13,45672
Vistara,UK-809,Delhi,Evening,zero,Night,Bangalore,Business,2.83,9,32859
Indigo,6E-2186,Bangalore,Early_Morning,zero,Morning,Delhi,Economy,3.0,18,4500
Vistara,UK-772,Kolkata,Morning,one,Morning,Chennai,Economy,25.42,13,11675
GO_FIRST,G8-320,Bangalore,Evening,one,Early_Morning,Kolkata,Economy,11.5,30,5177
Vistara,UK-870,Hyderabad,Night,one,Night,Bangalore,Business,23.83,9,81169
Vistara,UK-864,Bangalore,Evening,one,Morning,Chennai,Economy,13.83,22,4672
Air_India,AI-840,Hyderabad,Night,one,Morning,Mumbai,Business,14.42,18,45883
GO_FIRST,G8-391,Mumbai,Afternoon,one,Night,Bangalore,Economy,9.58,46,6319
SpiceJet,SG-3027,Bangalore,Early_Morning,one,Late_Night,Delhi,Economy,19.25,6,11898
Air_India,AI-503,Bangalore,Evening,one,Morning,Kolkata,Business,15.17,28,60508
SpiceJet,SG-678,Chennai,Early_Morning,one,Night,Delhi,Economy,17.33,9,7352
AirAsia,I5-631,Mumbai,Morning,one,Evening,Delhi,Economy,11.75,36,2336
AirAsia,I5-2473,Kolkata,Morning,one,Night,Mumbai,Economy,10.75,22,3379
AirAsia,I5-1562,Bangalore,Afternoon,two_or_more,Late_Night,Delhi,Economy,10.5,46,2723
Vistara,UK-816,Bangalore,Morning,one,Night,Mumbai,Business,11.33,41,54684
Air_India,AI-807,Delhi,Evening,zero,Night,Bangalore,Economy,2.75,4,7425
AirAsia,I5-722,Bangalore,Late_Night,one,Early_Morning,Mumbai,Economy,6.08,45,2203
Vistara,UK-802,Bangalore,Evening,one,Morning,Kolkata,Business,13.75,41,72268
Vistara,UK-850,Bangalore,Evening,zero,Night,Mumbai,Business,1.92,36,20760
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Bangalore,Business,15.83,8,56702
Air_India,AI-767,Delhi,Afternoon,zero,Afternoon,Kolkata,Business,2.33,42,27976
Vistara,UK-950,Mumbai,Night,one,Morning,Kolkata,Business,10.67,26,62045
AirAsia,I5-620,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,3.92,19,2074
Indigo,6E-2247,Delhi,Morning,one,Night,Bangalore,Economy,9.75,8,9788
Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Bangalore,Economy,4.83,21,5441
Vistara,UK-828,Chennai,Early_Morning,one,Night,Hyderabad,Business,13.92,30,41064
Air_India,AI-525,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,6.42,10,16003
Indigo,6E-6137,Chennai,Morning,one,Afternoon,Kolkata,Economy,6.83,22,5042
Air_India,AI-539,Chennai,Evening,one,Afternoon,Kolkata,Business,21.5,24,55377
Vistara,UK-836,Chennai,Morning,one,Morning,Bangalore,Economy,24.08,5,12318
Air_India,AI-573,Bangalore,Afternoon,one,Night,Delhi,Economy,8.08,16,6947
Vistara,UK-988,Mumbai,Night,one,Evening,Kolkata,Business,21.17,28,63725
Air_India,AI-9745,Kolkata,Morning,one,Night,Delhi,Economy,12.17,46,4347
Vistara,UK-985,Delhi,Evening,one,Evening,Kolkata,Business,21.0,39,73369
Vistara,UK-963,Delhi,Morning,one,Night,Hyderabad,Economy,12.08,18,6172
GO_FIRST,G8-285,Bangalore,Afternoon,one,Night,Delhi,Economy,4.58,34,7080
Vistara,UK-944,Mumbai,Afternoon,one,Morning,Kolkata,Business,18.92,30,62045
Vistara,UK-994,Mumbai,Morning,one,Evening,Chennai,Economy,5.92,4,11129
GO_FIRST,G8-7561,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.17,42,6293
Air_India,AI-770,Kolkata,Night,one,Afternoon,Bangalore,Business,16.0,48,60978
Air_India,AI-765,Kolkata,Evening,one,Morning,Delhi,Economy,13.92,23,7544
Indigo,6E-269,Chennai,Morning,one,Night,Mumbai,Economy,10.92,46,2792
GO_FIRST,G8-382,Mumbai,Afternoon,one,Late_Night,Delhi,Economy,10.83,19,5942
Vistara,UK-851,Mumbai,Early_Morning,zero,Morning,Bangalore,Business,1.83,42,20684
Vistara,UK-941,Delhi,Evening,one,Morning,Chennai,Business,16.08,19,53512
Indigo,6E-345,Kolkata,Morning,one,Evening,Chennai,Economy,10.0,8,7954
Vistara,UK-776,Kolkata,Evening,one,Afternoon,Hyderabad,Business,18.67,10,57943
Air_India,AI-729,Kolkata,Morning,two_or_more,Night,Chennai,Business,13.75,15,70220
Vistara,UK-851,Mumbai,Early_Morning,zero,Morning,Bangalore,Business,1.83,19,20684
Vistara,UK-774,Kolkata,Night,one,Night,Chennai,Economy,26.5,13,11675
Vistara,UK-824,Chennai,Night,one,Evening,Kolkata,Business,20.33,22,54896
Vistara,UK-863,Mumbai,Morning,one,Night,Delhi,Business,11.42,38,53152
Vistara,UK-890,Hyderabad,Evening,zero,Evening,Delhi,Business,2.25,25,24234
GO_FIRST,G8-512,Kolkata,Early_Morning,one,Evening,Delhi,Economy,13.67,38,6324
AirAsia,I5-588,Kolkata,Afternoon,one,Night,Delhi,Economy,8.75,25,3014
Vistara,UK-852,Bangalore,Morning,one,Night,Delhi,Economy,11.17,31,4111
Vistara,UK-772,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,2.58,47,4499
Indigo,6E-6187,Delhi,Afternoon,one,Night,Hyderabad,Economy,8.08,2,12623
Air_India,AI-487,Delhi,Early_Morning,one,Night,Mumbai,Business,17.0,46,39622
Indigo,6E-5211,Hyderabad,Evening,zero,Night,Mumbai,Economy,1.5,27,3096
Vistara,UK-832,Chennai,Early_Morning,two_or_more,Night,Kolkata,Economy,37.83,2,19670
Air_India,AI-804,Bangalore,Early_Morning,one,Night,Chennai,Economy,17.42,32,6444
Air_India,AI-481,Delhi,Morning,one,Morning,Mumbai,Economy,25.08,26,4161
GO_FIRST,G8-116,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,8.25,28,5177
Air_India,AI-507,Bangalore,Early_Morning,one,Night,Delhi,Economy,16.5,5,9904
Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,Economy,11.42,2,10260
Vistara,UK-832,Chennai,Early_Morning,one,Afternoon,Mumbai,Business,7.08,12,56273
Indigo,6E-6017,Bangalore,Evening,one,Night,Hyderabad,Economy,5.67,39,1694
Vistara,UK-706,Kolkata,Morning,two_or_more,Evening,Bangalore,Economy,9.25,41,6968
AirAsia,I5-336,Mumbai,Night,one,Morning,Chennai,Economy,12.33,30,1890
Indigo,6E-5375,Mumbai,Evening,one,Night,Bangalore,Economy,5.58,8,6930
SpiceJet,SG-387,Kolkata,Night,one,Night,Mumbai,Economy,26.17,34,5548
Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25,22,5927
Vistara,UK-846,Bangalore,Morning,one,Night,Chennai,Economy,14.58,9,9866
Vistara,UK-826,Chennai,Afternoon,one,Evening,Delhi,Business,7.25,28,53440
Vistara,UK-720,Kolkata,Early_Morning,one,Afternoon,Mumbai,Economy,5.42,39,6067
Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Business,16.0,44,45995
Air_India,AI-809,Mumbai,Morning,one,Night,Kolkata,Business,12.33,14,49725
Vistara,UK-720,Kolkata,Early_Morning,one,Night,Hyderabad,Business,15.75,7,52175
Vistara,UK-878,Hyderabad,Afternoon,one,Evening,Kolkata,Business,27.92,11,48851
SpiceJet,SG-8710,Mumbai,Night,one,Morning,Kolkata,Economy,11.33,32,5818
Air_India,AI-889,Delhi,Morning,one,Evening,Kolkata,Economy,6.92,16,6542
Vistara,UK-613,Mumbai,Afternoon,one,Evening,Delhi,Business,4.5,12,49725
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,9.5,26,4784
Vistara,UK-738,Kolkata,Evening,one,Night,Hyderabad,Economy,28.17,19,5632
Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Business,11.08,44,57920
Vistara,UK-910,Mumbai,Evening,one,Morning,Chennai,Economy,16.33,14,14074
Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Economy,14.42,22,4593
AirAsia,I5-1543,Hyderabad,Afternoon,one,Late_Night,Mumbai,Economy,10.25,37,2250
Vistara,UK-994,Mumbai,Morning,one,Night,Kolkata,Economy,12.33,37,5949
GO_FIRST,G8-7534,Delhi,Afternoon,one,Late_Night,Bangalore,Economy,9.08,14,7424
AirAsia,I5-821,Chennai,Night,one,Afternoon,Delhi,Economy,15.5,22,2477
SpiceJet,SG-4009,Bangalore,Early_Morning,one,Morning,Delhi,Economy,25.92,7,7488
Vistara,UK-816,Bangalore,Morning,one,Night,Chennai,Business,8.75,3,65548
Vistara,UK-738,Kolkata,Evening,one,Night,Chennai,Economy,28.0,5,13014
Indigo,6E-5175,Delhi,Morning,one,Evening,Chennai,Economy,10.0,13,7950
Vistara,UK-970,Mumbai,Morning,one,Evening,Bangalore,Business,10.08,13,69168
Indigo,6E-6339,Hyderabad,Early_Morning,zero,Morning,Kolkata,Economy,2.08,38,2815
Air_India,AI-773,Kolkata,Evening,one,Evening,Bangalore,Economy,25.58,46,5135
Air_India,AI-770,Kolkata,Night,one,Evening,Hyderabad,Economy,22.83,7,12054
Vistara,UK-834,Chennai,Evening,zero,Evening,Delhi,Economy,2.75,44,2051
Vistara,UK-875,Mumbai,Evening,one,Morning,Bangalore,Economy,13.5,31,4658
Vistara,UK-809,Delhi,Evening,zero,Night,Bangalore,Economy,2.83,34,4501
Indigo,6E-6319,Hyderabad,Evening,zero,Evening,Bangalore,Economy,1.25,34,1776
Vistara,UK-850,Bangalore,Evening,one,Morning,Kolkata,Business,13.75,48,51817
Vistara,UK-720,Kolkata,Early_Morning,two_or_more,Evening,Bangalore,Economy,12.33,23,6840
Air_India,AI-678,Delhi,Morning,one,Morning,Chennai,Economy,25.92,14,8885
Air_India,AI-501,Bangalore,Afternoon,one,Morning,Chennai,Economy,19.58,18,6024
Vistara,UK-876,Hyderabad,Night,one,Afternoon,Delhi,Economy,15.08,46,5892
Vistara,UK-826,Chennai,Afternoon,one,Evening,Kolkata,Economy,31.08,12,19889
GO_FIRST,G8-317,Mumbai,Early_Morning,zero,Early_Morning,Bangalore,Economy,1.58,43,2124
Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Economy,14.5,23,5656
Indigo,6E-397,Delhi,Afternoon,one,Evening,Chennai,Economy,7.42,35,7185
Air_India,AI-409,Delhi,Morning,one,Evening,Bangalore,Economy,8.58,42,10138
Air_India,AI-687,Mumbai,Afternoon,zero,Evening,Delhi,Economy,2.25,14,5943
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Bangalore,Business,17.33,31,54608
Indigo,6E-2186,Bangalore,Early_Morning,zero,Morning,Delhi,Economy,3.0,33,4500
Vistara,UK-940,Mumbai,Evening,one,Morning,Bangalore,Business,15.08,8,69168
Air_India,AI-770,Kolkata,Night,one,Evening,Mumbai,Economy,19.92,43,8478
Air_India,AI-502,Delhi,Afternoon,one,Night,Hyderabad,Economy,6.75,3,18765
Air_India,AI-501,Bangalore,Afternoon,one,Evening,Mumbai,Economy,6.67,24,6578
Vistara,UK-880,Hyderabad,Afternoon,one,Night,Kolkata,Business,9.33,30,51819
Vistara,UK-977,Delhi,Evening,one,Evening,Chennai,Business,24.92,37,60232
Air_India,AI-549,Chennai,Early_Morning,two_or_more,Evening,Mumbai,Economy,14.08,9,24123
Indigo,6E-747,Bangalore,Night,one,Morning,Delhi,Economy,9.42,15,7821
Indigo,6E-179,Mumbai,Morning,one,Evening,Kolkata,Economy,6.17,12,14711
Indigo,6E-154,Mumbai,Late_Night,zero,Early_Morning,Delhi,Economy,2.08,19,2738
Indigo,6E-6104,Bangalore,Morning,one,Evening,Delhi,Economy,5.17,22,3834
Air_India,AI-616,Hyderabad,Morning,one,Evening,Delhi,Economy,9.83,33,4387
Air_India,AI-502,Delhi,Afternoon,zero,Evening,Bangalore,Business,2.75,38,32859
