Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
17158,836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,173856 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
15681,934,SUBARU,Forester,2015,Jeep,Yes,Petrol,2.5,0 km,4.0,Variator,4x4,04-May,Left wheel,Silver,12
250,-,TOYOTA,Land Cruiser Prado,2019,Jeep,No,Diesel,3.0 Turbo,32000 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
149,-,MERCEDES-BENZ,S 550,2009,Sedan,Yes,Petrol,5.5,90000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,12
21730,831,HYUNDAI,Elantra,2017,Sedan,Yes,LPG,1.6,32510 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
22580,-,MAZDA,Mazda 6 Grand Touring,2013,Sedan,Yes,Petrol,2.5,135000 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,6
14269,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,27560 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
941,831,CHEVROLET,Malibu,2011,Sedan,Yes,Petrol,2.4,283806 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
36567,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,104112 km,4.0,Automatic,Front,04-May,Left wheel,White,4
4704,-,TOYOTA,RAV 4,1996,Jeep,No,Petrol,2,0 km,4.0,Automatic,4x4,02-Mar,Right-hand drive,Blue,4
31988,1482,MERCEDES-BENZ,GL 450,2011,Jeep,Yes,Petrol,4.5 Turbo,160000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Beige,12
16091,836,HYUNDAI,Genesis,2010,Coupe,Yes,Petrol,2,100000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
157,915,AUDI,A7,2014,Hatchback,Yes,Petrol,3,401128 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
77775,-,TOYOTA,Land Cruiser Prado,2014,Jeep,No,Diesel,3.0 Turbo,117000 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
392,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,314373 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
5018,779,TOYOTA,RAV 4,2013,Jeep,Yes,Petrol,2.5,193960 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12
549,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,3.5,52142 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
37320,1481,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3,51824 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
3293,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,224267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
48610,-,MERCEDES-BENZ,GL 350 Bluetec,2011,Jeep,Yes,Diesel,3.0 Turbo,147500 km,6.0,Tiptronic,4x4,04-May,Left wheel,White,12
90,-,TOYOTA,VOXY,2007,Minivan,No,LPG,2,180000 km,4.0,Automatic,4x4,04-May,Right-hand drive,Black,2
2430,697,NISSAN,Sentra,2015,Sedan,Yes,Petrol,1.8,31973 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
1725,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,184835 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
36567,765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,146844 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
37476,1017,TOYOTA,CHR,2017,Jeep,No,Petrol,2,36099 km,4.0,Automatic,Front,04-May,Left wheel,Silver,10
7683,810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
21639,779,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.5,88000 km,5.0,Tiptronic,Front,04-May,Left wheel,Black,16
12570,761,CHEVROLET,Lacetti,2010,Sedan,Yes,Petrol,1.8,152293 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
16621,-,HYUNDAI,Elantra,2012,Sedan,No,Petrol,1.8,83000 km,4.0,Tiptronic,Front,04-May,Left wheel,Blue,8
392,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,29675 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
3136,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,159379 km,4.0,Automatic,Front,04-May,Left wheel,White,12
13172,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,516176 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
12639,836,SSANGYONG,Actyon,2010,Sedan,Yes,Diesel,2,212072 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
172486,-,TOYOTA,Land Cruiser,2018,Jeep,Yes,Diesel,4.7 Turbo,13000 km,12.0,Automatic,4x4,04-May,Left wheel,White,16
37320,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,73463 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
627,765,SUBARU,XV,2015,Jeep,Yes,Petrol,2,113675 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
27500,-,MERCEDES-BENZ,Vito,2008,Minivan,No,Diesel,2.2 Turbo,0 km,4.0,Manual,Rear,04-May,Left wheel,White,2
141124,-,MERCEDES-BENZ,GLC 250,2018,Jeep,Yes,Petrol,2.0 Turbo,37554 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
17249,761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,165000 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
70562,-,PORSCHE,911,2002,Coupe,Yes,Petrol,3.6,74000 km,6.0,Manual,Rear,02-Mar,Left wheel,White,4
17249,584,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,66000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,8
53314,1058,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,65000 km,6.0,Automatic,Front,04-May,Left wheel,Golden,8
15681,-,HYUNDAI,Veloster,2011,Hatchback,No,Petrol,1.6,115200 km,4.0,Tiptronic,Front,02-Mar,Left wheel,Orange,12
21326,1211,BMW,328 i,2010,Sedan,Yes,Petrol,3.0 Turbo,94000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Sky blue,0
14834,530,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.6,166447 km,4.0,Automatic,Front,04-May,Left wheel,White,4
627,1360,LEXUS,GX 460,2013,Jeep,Yes,Petrol,4.6,243467 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
6272,-,HONDA,Civic,2003,Sedan,No,Petrol,1.5,2400 km,6.0,Automatic,Front,04-May,Right-hand drive,Grey,4
28357,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,151780 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
35570,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,77227 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
23521,-,TOYOTA,Prius,2014,Sedan,Yes,Petrol,1.8,150000 km,4.0,Automatic,Front,04-May,Left wheel,White,8
52687,-,JEEP,Wrangler,2010,Jeep,No,Petrol,3.8,103000 km,6.0,Manual,4x4,04-May,Left wheel,Black,8
59272,-,BMW,740,2015,Sedan,Yes,Petrol,3.0 Turbo,99200 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,16
26149,836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,72464 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
8781,-,NISSAN,Tiida,2007,Hatchback,No,Petrol,1.5,150300 km,4.0,Automatic,Front,04-May,Right-hand drive,Grey,6
14426,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,110531 km,4.0,Automatic,4x4,04-May,Left wheel,Red,0
5700,-,MERCEDES-BENZ,A 160,2001,Sedan,No,Petrol,1.6,0 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,4
2200,1528,PEUGEOT,406,1996,Sedan,No,Petrol,1.8,283000 km,4.0,Manual,Front,04-May,Left wheel,Green,2
11133,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,179381 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
18817,-,TOYOTA,Prius,2013,Sedan,No,Hybrid,1.8,169000 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
37633,1426,TOYOTA,Land Cruiser Prado,2018,Jeep,No,Petrol,2.7,177000 km,4.0,Automatic,4x4,04-May,Left wheel,Black,2
1568,1172,MERCEDES-BENZ,E 350,2011,Coupe,Yes,Diesel,3.5,226251 km,6.0,Automatic,Rear,02-Mar,Left wheel,Black,12
3293,832,TOYOTA,Tacoma,2014,Jeep,Yes,Petrol,2.7,64994 km,4.0,Automatic,Rear,04-May,Left wheel,Grey,12
15530,502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,123700 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
549,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,246450 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
8674,364,CHEVROLET,Spark,2012,Hatchback,Yes,Petrol,1,50261 km,4.0,Automatic,Front,04-May,Left wheel,White,4
13485,-,TOYOTA,Corolla,2007,Sedan,No,Petrol,1.6,139400 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,10
1098,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
11917,-,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.8,200000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
28852,-,HYUNDAI,Tucson,2013,Jeep,Yes,Petrol,2.4,150000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,8
392,1091,TOYOTA,RAV 4,2016,Jeep,Yes,Petrol,2.5,125675 km,4.0,Automatic,4x4,04-May,Left wheel,Red,12
1411,1172,LEXUS,RX 350,2011,Jeep,Yes,Petrol,3.5,124003 km,6.0,Automatic,4x4,04-May,Left wheel,Red,12
12858,586,TOYOTA,Prius,2012,Hatchback,No,Hybrid,1.8,160913 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,12
25,-,HONDA,FIT,2003,Hatchback,No,Petrol,1.5,189000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Blue,4
87811,-,TOYOTA,Camry,2018,Sedan,Yes,Petrol,3.5,18000 km,6.0,Automatic,Front,04-May,Left wheel,Black,10
15053,-,FORD,Transit,2007,Microbus,No,Diesel,2.2 Turbo,0 km,5.0,Manual,Front,02-Mar,Left wheel,White,0
35344,730,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,107328 km,4.0,Automatic,Front,04-May,Left wheel,White,4
17249,-,MERCEDES-BENZ,E 350,2006,Sedan,Yes,Petrol,3.5,241000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
26594,642,HYUNDAI,Santa FE,2012,Jeep,Yes,Diesel,2,138525 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
8311,642,HYUNDAI,Sonata,2012,Sedan,Yes,LPG,2,36545 km,4.0,Automatic,Front,04-May,Left wheel,White,4
26017,831,HYUNDAI,Elantra,2017,Sedan,Yes,Petrol,1.6,107220 km,4.0,Automatic,Front,04-May,Left wheel,White,4
21900,-,VOLKSWAGEN,Passat,2013,Sedan,Yes,Petrol,2.5,124800 km,5.0,Tiptronic,Front,04-May,Left wheel,Black,8
26030,-,HYUNDAI,IX35,2011,Jeep,Yes,Petrol,2,104000 km,4.0,Automatic,4x4,04-May,Left wheel,Brown,4
5488,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,109798 km,4.0,Automatic,Front,04-May,Left wheel,White,12
6115,1236,HONDA,FIT,2011,Hatchback,No,Hybrid,1.3,158000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,8
16308,-,DODGE,Dart Limited,2013,Sedan,Yes,Petrol,1.4 Turbo,180000 km,4.0,Manual,Front,04-May,Left wheel,Black,12
16621,779,VOLKSWAGEN,Passat,2013,Sedan,No,Petrol,2.5,153000 km,5.0,Tiptronic,Front,04-May,Left wheel,Silver,6
40142,-,BMW,X6,2008,Jeep,Yes,Petrol,3.5 Turbo,139452 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8
6272,893,HYUNDAI,I30,2008,Hatchback,Yes,Diesel,1.6,81928 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
9095,843,TOYOTA,Prius,2008,Hatchback,No,Hybrid,1.5,205000 km,4.0,Automatic,Front,04-May,Left wheel,Green,8
18503,585,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,51000 km,4.0,Automatic,Front,04-May,Left wheel,White,8
22580,-,CHRYSLER,300 LIMITED,2011,Sedan,Yes,Petrol,3.6,130000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,6
25716,915,BMW,X5,2014,Jeep,Yes,Diesel,3,141384 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,0
6269,617,CHEVROLET,Aveo,2009,Sedan,Yes,Petrol,1.2,73816 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
10036,-,BMW,320 I,2004,Sedan,Yes,Petrol,2.2,118000 km,8.0,Tiptronic,Front,04-May,Right-hand drive,Silver,5
18616,364,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,1,164745 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
10036,-,TOYOTA,Prius,2005,Sedan,No,Hybrid,1.5,21245 km,4.0,Variator,Front,04-May,Left wheel,Golden,4
392,1091,TOYOTA,RAV 4,2016,Jeep,Yes,Petrol,2.5,125675 km,4.0,Automatic,4x4,04-May,Left wheel,Red,12
4234,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,208627 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
5018,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,167222 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
14500,697,VOLKSWAGEN,Jetta,2015,Sedan,No,Petrol,1.8 Turbo,56000 km,4.0,Tiptronic,Front,04-May,Left wheel,White,8
470,586,TOYOTA,Prius,2012,Hatchback,Yes,Hybrid,1.8,373634 km,4.0,Automatic,Front,04-May,Left wheel,White,12
16778,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,45984 km,4.0,Automatic,Front,04-May,Left wheel,White,4
21953,531,NISSAN,Juke,2012,Hatchback,Yes,Petrol,1.6,104000 km,4.0,Automatic,4x4,04-May,Left wheel,Black,12
6272,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,280016 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
17249,502,TOYOTA,Prius C,2013,Hatchback,Yes,Hybrid,1.5,90000 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
627,645,HYUNDAI,Elantra,2011,Jeep,Yes,Petrol,1.8,172502 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
39891,639,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,97081 km,4.0,Automatic,Front,04-May,Left wheel,White,4
12544,586,CHEVROLET,Sonic,2012,Hatchback,No,Petrol,1.8,130000 km,4.0,Manual,Front,04-May,Left wheel,Orange,10
17249,-,FORD,Transit,2007,Microbus,No,Diesel,2.4,165000 km,4.0,Manual,Rear,04-May,Left wheel,Blue,2
862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4.0,Automatic,Front,04-May,Left wheel,White,12
21953,-,MERCEDES-BENZ,Vito,2008,Minivan,No,Diesel,2.2 Turbo,0 km,4.0,Manual,Front,04-May,Right-hand drive,Silver,0
10349,640,KIA,Optima,2013,Sedan,Yes,Petrol,2,50338 km,4.0,Automatic,Front,04-May,Left wheel,White,4
941,1104,BMW,X5,2015,Jeep,Yes,Diesel,3,196614 km,6.0,Automatic,4x4,04-May,Left wheel,Black,0
13172,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,381135 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4
3450,831,HYUNDAI,Sonata,2011,Sedan,Yes,Hybrid,2.4,224349 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
1490,586,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.8,174106 km,4.0,Automatic,Front,04-May,Left wheel,White,0
16621,638,KIA,Optima,2014,Sedan,Yes,Petrol,2,38305 km,4.0,Automatic,Front,04-May,Left wheel,White,4
11290,-,HONDA,FIT,2010,Hatchback,Yes,Petrol,1.3,113581 km,4.0,Manual,Front,04-May,Right-hand drive,White,4
19000,1820,MAZDA,CX-5,2012,Jeep,Yes,Diesel,2.2,96000 km,4.0,Tiptronic,Front,04-May,Right-hand drive,Blue,6
5645,-,VOLKSWAGEN,Golf Gti,1994,Hatchback,No,Petrol,2,126000 km,4.0,Manual,Front,02-Mar,Left wheel,Grey,0
22947,707,SSANGYONG,REXTON,2011,Jeep,Yes,Diesel,2,130559 km,4.0,Automatic,Front,04-May,Left wheel,White,4
16960,503,TOYOTA,Aqua,2012,Hatchback,Yes,Petrol,1.5,90000 km,4.0,Automatic,Front,04-May,Left wheel,Red,4
27065,707,HYUNDAI,Tucson,2011,Jeep,Yes,Diesel,2,137000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
37633,-,SKODA,Octavia,2019,Sedan,No,Petrol,1.6,5500 km,4.0,Automatic,Front,04-May,Left wheel,White,6
6586,-,MERCEDES-BENZ,E 200,1999,Sedan,Yes,Petrol,2,318406 km,4.0,Manual,Rear,04-May,Left wheel,Blue,6
16590,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,42415 km,4.0,Automatic,Front,04-May,Left wheel,White,4
62722,690,LEXUS,RX 450,2016,Jeep,Yes,Hybrid,3.5,59858 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12
65858,1017,MERCEDES-BENZ,C 300,2017,Sedan,Yes,Petrol,2.0 Turbo,71520 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,10
24462,1017,LEXUS,IS 250 TURBO,2017,Sedan,Yes,Petrol,2,36000 km,4.0,Tiptronic,Rear,04-May,Left wheel,White,0
30750,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,146216 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
28909,639,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,83500 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
13495,707,HYUNDAI,Sonata,2011,Sedan,Yes,Petrol,2,91678 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
17249,1141,JEEP,Compass,2009,Jeep,Yes,Petrol,2.4,54575 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
7056,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
9408,919,BMW,X5,2012,Jeep,Yes,Diesel,3,149520 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,0
4547,753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,259934 km,4.0,Automatic,Front,04-May,Left wheel,Red,12
51373,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,111830 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
392,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
18817,-,HYUNDAI,Elantra,2011,Sedan,Yes,Hybrid,1.6,60000 km,4.0,Variator,Front,04-May,Left wheel,White,8
31047,1820,TOYOTA,Tacoma,2019,Sedan,Yes,Petrol,3.5,17542 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12
17249,-,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,171000 km,4.0,Variator,Front,04-May,Left wheel,Pink,10
15132,836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,185120 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
20005,836,SSANGYONG,Actyon,2010,Jeep,Yes,Diesel,2,121899 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
20385,900,CHRYSLER,200,2015,Sedan,No,Petrol,2.4,196800 km,4.0,Automatic,Front,04-May,Left wheel,Brown,10
7056,-,SUBARU,Impreza,2006,Sedan,No,Petrol,1.5,190000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,0
7056,915,BMW,X5,2014,Jeep,Yes,Diesel,3,141384 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,0
17092,891,HYUNDAI,Elantra SE,2016,Sedan,No,Petrol,2,71886 km,4.0,Automatic,Front,04-May,Left wheel,Silver,8
29479,-,MERCEDES-BENZ,"C 250 1,8 turbo",2013,Sedan,Yes,Petrol,1.8 Turbo,125000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Blue,12
627,780,CHEVROLET,Cruze,2019,Sedan,Yes,Petrol,1.4,16042 km,4.0,Automatic,Front,04-May,Left wheel,Black,12
44846,1110,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2.2,21037 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4
9408,-,HONDA,Civic,2008,Sedan,Yes,Hybrid,1.3,116000 km,4.0,Variator,Front,04-May,Left wheel,Blue,6
3450,-,MERCEDES-BENZ,C 180,1995,Sedan,No,Petrol,1.8,20000 km,4.0,Manual,Rear,04-May,Left wheel,Blue,2
18503,-,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,100000 km,4.0,Variator,Front,04-May,Left wheel,White,8
784,2908,NISSAN,Armada,2008,Jeep,Yes,Petrol,5.6,360059 km,8.0,Automatic,Front,04-May,Left wheel,Black,12
41701,640,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,147470 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
1725,1017,HYUNDAI,Elantra,2017,Sedan,Yes,Petrol,2,47914 km,4.0,Automatic,Front,04-May,Left wheel,White,12
32302,1604,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,5.5,101424 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,12
30734,2151,LEXUS,GX 470,2009,Jeep,Yes,Petrol,4.7,264339 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
392,761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,267165 km,4.0,Automatic,Front,04-May,Left wheel,White,12
941,400,CHEVROLET,Volt,2018,Sedan,Yes,Hybrid,1.5,43128 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
251,421,KIA,Niro,2018,Jeep,Yes,Hybrid,1.6,22915 km,4.0,Automatic,Front,04-May,Left wheel,White,12
10036,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,430076 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
750,-,GAZ,24 10,1984,Sedan,No,Petrol,2.4,86632 km,4.0,Manual,Rear,04-May,Left wheel,White,0
20266,1099,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,194159 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
11133,1277,HYUNDAI,Santa FE,2018,Sedan,Yes,Petrol,2.4,56150 km,4.0,Automatic,Front,02-Mar,Left wheel,Blue,12
16621,502,TOYOTA,Prius C,2013,Hatchback,No,Hybrid,1.5,103000 km,4.0,Variator,Front,04-May,Left wheel,Grey,4
15060,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,143522 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
13172,-,FORD,Fiesta,2012,Hatchback,No,Petrol,1.6,88000 km,4.0,Automatic,Front,04-May,Left wheel,Purple,6
18817,639,AUDI,A6,2014,Sedan,Yes,Petrol,2,279722 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0
35,-,TOYOTA,Prius,2008,Sedan,Yes,Hybrid,1.5,999999 km,6.0,Automatic,Front,04-May,Left wheel,White,6
27946,730,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.6,55446 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4
18500,1091,TOYOTA,Camry XSE,2016,Sedan,Yes,Petrol,2.5,142000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,0
31047,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,132349 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
23521,-,MERCEDES-BENZ,250,2011,Sedan,Yes,Petrol,1.8,131000 km,4.0,Tiptronic,Rear,04-May,Left wheel,Black,8
10349,-,MERCEDES-BENZ,C 220,2001,Sedan,No,Diesel,2.2 Turbo,250000 km,1.0,Tiptronic,Rear,04-May,Left wheel,Blue,4
22567,639,CHEVROLET,Malibu,2014,Sedan,Yes,Diesel,2,159436 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
470,1714,MERCEDES-BENZ,GLE 350,2017,Jeep,Yes,Petrol,3.5,25275 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
