"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","26","4","225","37","18","247","38","17","244","39","11","215","26","13","201","27","4","214","193","67","1346"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","36","8","214","47","10","178","64","10","215","54","9","186","46","6","189","36","4","171","283","47","1153"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","4","3","92","7","12","80","8","5","89","11","8","89","3","7","112","10","5","96","43","40","558"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","N","","12","5","158","5","8","181","16","13","177","8","11","202","10","11","183","6","4","173","57","52","1074"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","N","","1","5","21","3","2","27","3","2","20","2","4","33","3","7","25","0","0","24","12","20","150"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","N","","2","3","69","6","9","84","3","5","88","1","8","70","4","3","93","5","3","93","21","31","497"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","N","","3","5","185","11","14","205","18","11","225","18","9","241","15","10","255","8","15","254","73","64","1365"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","N","","6","8","139","11","10","139","16","12","168","10","14","139","20","7","174","21","8","172","84","59","931"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","N","","7","8","144","7","11","128","11","20","199","6","9","180","12","16","161","6","12","161","49","76","973"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","N","","1","8","105","3","8","111","3","11","116","1","7","98","6","6","103","4","5","90","18","45","623"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","N","","7","5","87","5","6","97","10","4","101","12","5","96","7","8","82","13","0","100","54","28","563"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","N","","6","11","241","9","29","236","10","25","216","4","29","184","7","19","180","5","18","139","41","131","1196"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","N","","10","7","284","21","26","298","24","22","349","20","21","314","12","14","336","15","9","270","102","99","1851"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","N","","11","10","230","17","12","269","18","20","259","19","14","303","26","18","292","18","8","259","109","82","1612"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","N","","1","4","68","4","6","61","6","3","56","5","3","58","12","4","54","7","2","65","35","22","362"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","N","","0","3","45","3","4","55","5","4","47","6","1","65","6","2","51","4","2","73","24","16","336"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","N","","6","5","125","9","10","149","11","10","159","3","8","133","15","10","163","9","5","128","53","48","857"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","N","","0","2","41","3","3","44","5","5","52","1","4","47","2","11","68","1","1","48","12","26","300"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","N","","10","6","204","15","14","212","14","16","216","13","8","197","14","18","266","7","5","204","73","67","1299"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","N","","11","6","175","13","9","170","7","13","211","21","18","189","4","9","173","6","15","211","62","70","1129"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","N","","2","6","87","8","5","94","5","6","81","9","7","112","5","7","102","6","4","108","35","35","584"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","N","","72","1","77","99","6","103","109","3","97","103","6","89","104","2","94","78","4","100","565","22","560"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","N","","47","8","201","61","12","211","64","10","247","53","13","237","19","11","264","8","9","245","252","63","1405"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","N","","6","3","87","7","6","88","5","8","73","7","10","69","8","5","93","5","3","90","38","35","500"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","N","","0","3","89","8","6","84","14","8","80","16","6","80","12","5","82","5","0","84","55","28","499"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","N","","3","8","90","7","3","77","5","4","84","6","7","75","4","8","85","6","3","77","31","33","488"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000897","서울가동초등학교","02","공립","N","","6","7","135","7","10","134","13","13","154","9","11","157","9","13","166","9","13","149","53","67","895"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000898","서울가락초등학교","02","공립","N","","6","6","202","18","20","202","11","25","222","20","15","167","16","14","148","13","11","130","84","91","1071"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000899","서울가원초등학교","02","공립","N","","2","2","116","4","6","124","2","6","98","7","6","115","7","10","104","4","2","96","26","32","653"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000900","서울가주초등학교","02","공립","N","","2","6","138","8","8","117","8","16","161","5","6","131","7","9","153","2","6","145","32","51","845"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","12","19","207","9","16","216","13","20","192","16","16","163","12","14","179","5","5","118","67","90","1075"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000902","서울강동초등학교","02","공립","N","","2","6","73","4","7","83","5","17","100","3","14","105","3","10","95","3","8","95","20","62","551"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000903","서울강일초등학교","02","공립","N","","5","8","95","6","14","115","15","18","141","8","21","128","11","22","155","2","12","142","47","95","776"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000904","서울거여초등학교","02","공립","N","","2","5","95","7","10","111","3","9","118","9","7","120","6","7","101","2","4","99","29","42","644"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000905","서울거원초등학교","02","공립","N","","49","5","148","57","6","125","64","13","133","64","8","152","58","5","124","40","6","117","332","43","799"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000906","서울고덕초등학교","02","공립","N","","3","8","82","4","0","52","5","3","64","7","4","51","3","5","59","6","1","54","28","21","362"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000907","서울고명초등학교","02","공립","N","","8","2","143","11","8","127","15","12","110","14","9","110","9","6","104","10","2","118","67","39","712"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000908","서울고일초등학교","02","공립","N","","19","4","344","89","10","281","101","13","277","71","9","243","68","5","212","80","1","236","428","42","1593"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000909","서울길동초등학교","02","공립","N","","6","2","144","5","9","113","16","10","154","8","13","135","14","11","132","7","3","131","56","48","809"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000910","서울남천초등학교","02","공립","N","","1","3","59","3","7","60","3","13","71","1","9","71","3","8","76","2","4","69","13","44","406"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000911","서울대명초등학교","02","공립","N","","2","5","119","9","11","122","17","11","136","10","5","129","12","5","157","15","2","127","65","39","790"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000913","서울마천초등학교","02","공립","N","","3","8","108","3","15","128","3","13","152","6","9","182","4","11","162","1","8","151","20","64","883"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000914","서울명덕초등학교","02","공립","N","","11","13","350","19","26","299","23","32","323","25","28","309","21","23","288","20","16","279","119","138","1848"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000915","서울명원초등학교","02","공립","N","","10","3","108","11","8","115","14","2","153","17","7","131","20","5","158","10","2","141","82","27","806"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000916","서울명일초등학교","02","공립","N","","4","6","180","9","19","161","13","18","188","9","20","176","9","20","170","9","11","157","53","94","1032"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000917","서울묘곡초등학교","02","공립","N","","9","10","257","13","23","253","29","32","273","34","32","278","23","30","290","28","23","247","136","150","1598"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000918","서울문덕초등학교","02","공립","N","","3","9","103","4","11","118","3","6","80","3","10","100","3","18","104","5","7","91","21","61","596"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000919","서울문정초등학교","02","공립","N","","1","5","100","8","13","116","12","7","141","6","5","134","10","8","123","5","1","128","42","39","742"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000920","서울방산초등학교","02","공립","N","","2","2","95","7","4","102","11","3","94","13","11","130","7","2","98","8","7","116","48","29","635"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000921","서울방이초등학교","02","공립","N","","6","7","100","3","11","75","8","9","96","2","8","97","6","8","99","5","6","96","30","49","563"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000922","서울삼전초등학교","02","공립","N","","3","5","136","6","13","115","7","16","147","6","6","134","5","17","158","2","12","117","29","69","807"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000923","서울상일초등학교","02","공립","N","","1","3","27","1","3","19","2","5","31","5","3","32","9","1","45","2","2","42","20","17","196"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000924","서울석촌초등학교","02","공립","N","","0","9","126","0","4","114","0","6","137","0","6","137","0","9","138","0","0","121","0","34","773"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000925","서울선린초등학교","02","공립","N","","2","8","89","4","15","66","9","15","82","2","9","64","2","18","67","3","11","68","22","76","436"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000926","서울선사초등학교","02","공립","N","","0","7","98","1","3","101","4","10","136","3","10","123","9","6","115","7","9","114","24","45","687"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000927","서울성내초등학교","02","공립","N","","1","6","149","11","10","133","3","8","146","4","9","147","6","6","126","2","4","154","27","43","855"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000928","서울성일초등학교","02","공립","N","","2","17","203","5","14","193","9","17","189","4","13","202","9","19","196","1","10","169","30","90","1152"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000929","서울세륜초등학교","02","공립","N","","1","3","98","6","6","96","2","5","112","13","6","114","13","3","131","9","3","137","44","26","688"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000930","서울송전초등학교","02","공립","N","","3","7","147","6","13","118","10","11","145","8","15","139","8","9","154","6","14","133","41","69","836"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000931","서울송파초등학교","02","공립","N","","1","8","101","2","6","99","3","5","91","6","15","102","5","7","112","7","5","107","24","46","612"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000932","서울신가초등학교","02","공립","N","","8","9","116","9","7","100","11","19","134","8","13","128","5","12","95","3","5","102","44","65","675"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000933","서울신명초등학교","02","공립","N","","0","4","58","0","5","77","9","8","91","2","10","72","2","6","95","2","4","66","15","37","459"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000934","서울신암초등학교","02","공립","N","","2","12","132","4","8","110","3","20","154","2","20","127","3","19","109","4","10","119","18","89","751"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000935","서울신천초등학교","02","공립","N","","2","4","73","3","10","70","8","10","76","9","10","72","9","6","69","7","4","79","38","44","439"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000936","서울아주초등학교","02","공립","N","","2","4","73","5","7","60","5","7","71","4","5","88","6","9","84","7","5","81","29","37","457"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000937","서울영풍초등학교","02","공립","N","","6","3","61","7","5","68","5","6","95","12","2","99","9","9","92","2","4","78","41","29","493"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000938","서울오금초등학교","02","공립","N","","5","7","110","8","10","115","4","9","90","16","10","110","3","8","112","4","7","88","40","51","625"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000939","서울오륜초등학교","02","공립","N","","1","4","64","5","5","82","3","7","114","7","5","103","6","4","106","5","7","141","27","32","610"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000941","서울잠동초등학교","02","공립","N","","8","4","118","6","10","147","9","10","135","13","5","139","13","10","144","7","3","148","56","42","831"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000942","서울잠신초등학교","02","공립","N","","9","12","230","20","17","252","23","21","276","16","26","254","23","24","275","16","14","272","107","114","1559"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000943","서울잠실초등학교","02","공립","N","","6","5","190","13","10","170","10","18","204","10","18","183","12","12","208","5","6","168","56","69","1123"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000944","서울잠일초등학교","02","공립","N","","1","14","255","0","0","285","0","0","350","0","0","304","0","0","310","0","0","296","1","14","1800"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000945","서울잠전초등학교","02","공립","N","","3","7","73","4","6","73","6","6","103","4","5","98","5","7","95","6","10","124","28","41","566"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000946","서울중대초등학교","02","공립","N","","2","5","174","10","10","179","9","15","180","13","14","168","11","7","165","7","7","175","52","58","1041"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000947","서울천동초등학교","02","공립","N","","5","3","139","4","12","132","4","19","151","6","15","123","3","13","135","3","20","125","25","82","805"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000948","서울천일초등학교","02","공립","N","","2","2","48","1","1","41","2","5","57","5","5","53","2","5","54","1","0","40","13","18","293"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000949","서울천호초등학교","02","공립","N","","2","6","113","5","13","112","2","8","117","6","8","130","3","8","122","7","8","116","25","51","710"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000950","서울토성초등학교","02","공립","N","","2","5","105","5","17","130","3","10","137","2","11","129","6","17","140","2","14","147","20","74","788"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000951","서울평화초등학교","02","공립","N","","1","2","32","0","3","28","2","6","34","1","4","29","5","4","30","0","1","39","9","20","192"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000952","서울풍납초등학교","02","공립","N","","2","5","74","2","5","59","4","8","73","5","6","63","7","8","73","2","3","85","22","35","427"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000953","서울풍성초등학교","02","공립","N","","1","3","66","1","4","70","2","6","47","1","5","53","6","1","46","3","4","38","14","23","320"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000954","서울한산초등학교","02","공립","N","","6","5","106","6","6","137","6","6","129","4","9","131","2","7","128","1","5","132","25","38","763"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001004","서울가곡초등학교","02","공립","N","","9","9","131","14","10","115","10","8","147","11","6","143","12","5","148","7","10","150","63","48","834"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001005","서울가양초등학교","02","공립","N","","1","2","35","1","2","36","1","4","36","0","2","39","1","5","41","1","4","30","5","19","217"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001006","서울갈산초등학교","02","공립","N","","11","5","128","12","5","159","19","7","167","20","6","216","21","6","188","14","4","176","97","33","1034"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001007","서울강서초등학교","02","공립","N","","3","10","195","6","8","158","6","12","186","7","11","177","5","12","205","5","6","161","32","59","1082"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001008","서울강신초등학교","02","공립","N","","5","5","122","7","10","133","5","15","139","9","9","162","3","8","119","5","7","145","34","54","820"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001009","서울강월초등학교","02","공립","N","","5","8","103","6","11","94","9","20","127","5","13","95","3","10","114","7","13","100","35","75","633"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001010","서울개화초등학교","02","공립","N","","0","0","10","1","3","19","1","6","13","3","3","19","0","2","24","0","1","16","5","15","101"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001011","서울경인초등학교","02","공립","N","","8","3","136","12","9","169","22","7","197","15","12","203","24","17","220","23","9","254","104","57","1179"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001012","서울계남초등학교","02","공립","N","","8","6","103","7","9","118","19","8","131","11","10","134","17","6","149","11","4","142","73","43","777"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001013","서울공진초등학교","02","공립","N","","16","18","344","17","33","388","14","15","315","29","15","290","14","15","225","9","5","187","99","101","1749"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001014","서울공항초등학교","02","공립","N","","18","12","282","27","31","274","40","17","310","21","16","256","30","12","215","16","6","201","152","94","1538"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001015","서울남명초등학교","02","공립","N","","1","0","76","41","0","66","44","0","77","32","2","61","26","3","60","23","1","58","167","6","398"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001016","서울내발산초등학교","02","공립","N","","7","4","204","17","16","192","11","14","261","9","11","288","8","12","233","16","7","259","68","64","1437"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001017","서울등명초등학교","02","공립","N","","0","0","17","0","3","8","3","2","21","2","1","19","0","0","13","2","0","12","7","6","90"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001018","서울등서초등학교","02","공립","N","","2","6","41","1","4","32","2","6","60","1","3","55","1","4","45","5","3","41","12","26","274"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001019","서울등양초등학교","02","공립","N","","1","1","28","3","6","30","1","4","25","1","2","22","2","6","24","1","5","28","9","24","157"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001020","서울등원초등학교","02","공립","N","","0","4","34","2","1","28","0","2","25","0","2","29","2","2","24","1","1","31","5","12","171"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001021","서울등촌초등학교","02","공립","N","","2","10","95","3","7","65","3","7","91","3","5","77","3","6","93","2","3","73","16","38","494"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001022","서울등현초등학교","02","공립","N","","2","7","102","5","12","98","5","7","93","3","12","104","4","11","107","1","3","83","20","52","587"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001023","서울목동초등학교","02","공립","N","","18","6","190","16","16","217","28","9","241","22","14","247","23","11","257","30","9","254","137","65","1406"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001024","서울목원초등학교","02","공립","N","","1","2","46","0","1","74","8","3","69","7","6","97","8","4","111","7","2","109","31","18","506"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001025","서울발산초등학교","02","공립","N","","5","3","152","15","15","180","12","7","204","12","9","204","13","9","204","8","9","213","65","52","1157"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001026","서울방화초등학교","02","공립","N","","3","6","99","4","10","72","11","6","111","6","5","90","6","3","87","8","7","114","38","37","573"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001027","서울백석초등학교","02","공립","N","","1","7","99","0","6","78","5","10","87","1","7","78","4","7","72","3","3","91","14","40","505"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001028","서울삼정초등학교","02","공립","N","","0","6","42","3","4","41","0","3","38","2","0","34","0","2","39","0","3","33","5","18","227"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001029","서울서정초등학교","02","공립","N","","10","9","127","12","7","121","13","5","141","14","6","150","19","6","138","16","1","133","84","34","810"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001030","서울송정초등학교","02","공립","N","","11","7","117","28","10","100","19","9","119","13","12","105","14","8","120","13","6","89","98","52","650"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001031","서울송화초등학교","02","공립","N","","12","12","201","17","27","224","11","25","233","6","20","231","11","15","171","5","9","190","62","108","1250"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001032","서울신강초등학교","02","공립","N","","0","4","79","2","2","63","1","4","67","4","3","95","6","4","84","0","3","74","13","20","462"
