model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Kuga,2019,19800,Manual,8089,Diesel,145,47.9,2.0
 Kuga,2017,18999,Manual,15517,Diesel,145,60.1,2.0
 Focus,2015,5492,Manual,114000,Diesel,0,74.3,1.5
 Focus,2015,8495,Semi-Auto,39250,Petrol,165,44.8,1.6
 Focus,2019,18750,Manual,5252,Petrol,145,51.4,1.5
 Ka+,2019,10490,Manual,1974,Petrol,145,47.9,1.2
 Kuga,2017,12000,Manual,21750,Petrol,160,45.6,1.5
 B-MAX,2016,8060,Automatic,20089,Petrol,160,44.1,1.6
 Fiesta,2017,10700,Manual,20409,Petrol,145,62.8,1.0
 EcoSport,2017,9900,Manual,23823,Petrol,150,53.3,1.0
 Fiesta,2015,6291,Manual,68379,Petrol,0,65.7,1.0
 Focus,2016,7900,Manual,58898,Diesel,0,74.3,1.5
 Focus,2015,9495,Manual,20018,Petrol,20,60.1,1.0
 Kuga,2017,15493,Automatic,9298,Petrol,235,38.2,1.5
 Puma,2020,21795,Manual,680,Petrol,145,50.4,1.0
 Focus,2019,17699,Automatic,3252,Diesel,145,64.2,2.0
 EcoSport,2017,9290,Manual,35000,Diesel,30,64.2,1.5
 Focus,2018,12020,Manual,10020,Petrol,145,60.1,1.0
 Focus,2015,7000,Manual,76890,Diesel,0,74.3,1.5
 Fiesta,2015,7798,Manual,24860,Petrol,125,54.3,1.2
 S-MAX,2017,16407,Manual,35201,Diesel,125,51.4,2.0
 Fiesta,2017,8800,Manual,38317,Petrol,150,65.7,1.0
 Focus,2015,12298,Manual,51103,Petrol,240,39.2,2.0
 Fiesta,2017,11999,Manual,10395,Petrol,145,65.7,1.0
 Fiesta,2019,16499,Manual,7683,Petrol,145,58.9,1.0
 Focus,2017,10500,Manual,33511,Petrol,150,60.1,1.0
 Focus,2018,12999,Manual,9500,Petrol,145,57.7,1.0
 Fiesta,2020,14995,Manual,8,Petrol,145,56.5,1.0
 Fiesta,2018,10495,Manual,26460,Petrol,150,65.7,1.0
 Kuga,2018,16601,Semi-Auto,22508,Diesel,150,54.3,2.0
 Fiesta,2016,8995,Manual,24659,Petrol,0,65.7,1.0
 Fiesta,2018,11995,Manual,7000,Petrol,145,65.7,1.0
 Fiesta,2017,9750,Manual,12513,Petrol,0,65.7,1.0
 Fiesta,2014,5750,Manual,73000,Petrol,30,54.3,1.2
 Fiesta,2018,11400,Manual,30144,Petrol,145,65.7,1.0
 Focus,2019,17250,Manual,8000,Petrol,145,60.1,1.0
 EcoSport,2017,9690,Manual,29182,Diesel,145,64.2,1.5
 Focus,2020,23995,Manual,6102,Petrol,145,60.1,1.0
 Focus,2019,15510,Manual,15811,Diesel,145,74.3,1.5
 Fiesta,2018,10620,Manual,13240,Petrol,145,65.7,1.0
 Fiesta,2017,8190,Manual,23898,Petrol,0,65.7,1.0
 EcoSport,2017,10950,Manual,14800,Petrol,145,52.3,1.0
 Kuga,2015,14398,Manual,25175,Diesel,145,54.3,2.0
 Fiesta,2010,5490,Manual,17733,Petrol,150,47.9,1.6
 Fiesta,2018,9590,Manual,11539,Petrol,145,60.1,1.0
 Focus,2019,17289,Manual,12030,Petrol,145,60.1,1.0
 EcoSport,2019,14200,Manual,11065,Diesel,145,67.3,1.5
 Focus,2018,12495,Manual,20144,Petrol,150,57.7,1.0
 Focus,2017,9067,Manual,31967,Diesel,0,74.3,1.5
 C-MAX,2017,13495,Manual,7256,Petrol,30,55.4,1.0
 Fiesta,2017,10698,Manual,21041,Diesel,0,78.5,1.5
 Fiesta,2019,15700,Semi-Auto,5572,Petrol,145,48.7,1.0
 Fiesta,2019,14499,Manual,12744,Petrol,145,55.4,1.0
 Focus,2017,16000,Manual,17000,Petrol,200,41.5,2.0
 Kuga,2019,21970,Manual,2644,Diesel,150,39.2,2.0
 Fiesta,2019,17250,Semi-Auto,5772,Petrol,150,48.7,1.0
 B-MAX,2013,6150,Manual,50000,Petrol,30,57.7,1.0
 Fiesta,2018,9998,Manual,2332,Petrol,145,55.4,1.1
 Fiesta,2018,9891,Manual,7184,Petrol,145,64.2,1.1
 Fiesta,2019,18299,Manual,2944,Petrol,145,40.3,1.5
 Focus,2019,18998,Automatic,2411,Petrol,150,42.8,1.0
 Focus,2019,17900,Manual,9504,Diesel,145,57.7,1.5
 Kuga,2018,17199,Manual,12459,Petrol,145,39.2,1.5
 C-MAX,2017,9998,Manual,34980,Petrol,30,55.4,1.0
 Fiesta,2018,9129,Manual,14562,Petrol,145,64.2,1.1
 EcoSport,2018,16500,Semi-Auto,3214,Petrol,150,45.6,1.0
 Fiesta,2014,8995,Semi-Auto,19797,Petrol,150,47.9,1.6
 Fiesta,2016,8998,Manual,31373,Petrol,0,65.7,1.0
 Focus,2019,18450,Automatic,14464,Diesel,145,54.3,1.5
 Focus,2017,10997,Manual,26828,Petrol,145,60.1,1.0
 Focus,2017,12000,Automatic,15238,Petrol,125,51.4,1.0
 Mondeo,2016,11400,Manual,43998,Diesel,30,64.2,2.0
 Focus,2016,9897,Manual,35199,Petrol,20,60.1,1.0
 Fiesta,2019,13995,Manual,8299,Petrol,145,58.9,1.0
 C-MAX,2017,10650,Manual,20000,Diesel,20,68.9,1.5
 KA,2017,8100,Manual,16744,Petrol,30,57.7,1.2
 Fiesta,2014,7000,Manual,27500,Petrol,30,54.3,1.2
 Fiesta,2017,10971,Manual,10388,Petrol,145,65.7,1.0
 C-MAX,2017,10498,Manual,19926,Petrol,150,55.4,1.0
 EcoSport,2016,9599,Manual,8130,Petrol,125,53.3,1.0
 Fiesta,2018,10900,Manual,5541,Petrol,145,64.2,1.1
 S-MAX,2016,13379,Manual,65904,Diesel,125,56.5,2.0
 EcoSport,2015,7652,Manual,32328,Petrol,125,53.3,1.0
 Fiesta,2015,8240,Manual,33462,Petrol,20,62.8,1.0
 Fiesta,2016,7999,Manual,23069,Petrol,125,54.3,1.2
 Focus,2019,28000,Manual,3038,Petrol,145,34.5,2.3
 Fiesta,2016,7495,Manual,20970,Petrol,125,54.3,1.2
 Fiesta,2016,7698,Manual,33286,Petrol,125,54.3,1.2
 Focus,2019,15199,Manual,12892,Petrol,145,60.1,1.0
 Focus,2019,18000,Automatic,20496,Diesel,145,74.3,1.5
 Kuga,2018,19399,Manual,4883,Diesel,145,47.9,1.5
 Fiesta,2017,8999,Manual,11754,Petrol,145,54.3,1.2
 Fiesta,2015,8900,Manual,31000,Petrol,0,65.7,1.0
 EcoSport,2018,11995,Manual,12608,Petrol,145,54.3,1.0
 Fiesta,2017,11999,Manual,13985,Petrol,145,65.7,1.0
 B-MAX,2014,7599,Manual,32505,Petrol,30,57.7,1.0
 Fiesta,2016,7580,Manual,33056,Petrol,125,54.3,1.2
 Fiesta,2016,8200,Manual,31272,Petrol,0,65.7,1.0
 S-MAX,2019,24000,Manual,5,Petrol,145,34.0,1.5
 Focus,2017,11750,Manual,8556,Petrol,145,60.1,1.0
 Focus,2016,8995,Manual,18943,Petrol,20,60.1,1.0
 Fiesta,2018,10000,Manual,19279,Petrol,145,65.7,1.0
 Focus,2015,13000,Manual,46007,Diesel,20,67.3,2.0
 Fiesta,2013,9495,Manual,30000,Petrol,150,47.9,1.6
 Focus,2014,6701,Manual,50000,Diesel,0,76.4,1.6
 Fiesta,2017,10000,Manual,10633,Petrol,150,65.7,1.0
 Fiesta,2009,2250,Manual,100000,Diesel,20,67.3,1.6
 Fiesta,2018,10750,Manual,31000,Diesel,150,88.3,1.5
 Fiesta,2018,10999,Manual,21236,Petrol,145,62.8,1.0
 Focus,2018,17891,Manual,14384,Petrol,145,41.5,2.0
 Fiesta,2017,11495,Manual,6195,Petrol,145,65.7,1.0
 Fiesta,2017,9270,Manual,11589,Petrol,0,65.7,1.0
 Focus,2018,18499,Manual,29553,Petrol,145,41.5,2.0
 Fiesta,2018,11500,Manual,11110,Petrol,145,56.5,1.0
 Fiesta,2017,7699,Manual,37879,Petrol,125,54.3,1.2
 Focus,2018,13800,Manual,22889,Diesel,145,58.9,1.0
 Fiesta,2018,10160,Manual,9440,Petrol,145,65.7,1.0
 Kuga,2017,16500,Semi-Auto,30000,Diesel,145,54.3,2.0
 Fiesta,2016,7495,Manual,19657,Petrol,125,54.3,1.2
 B-MAX,2013,6490,Manual,56650,Petrol,30,57.7,1.0
 Fiesta,2017,9200,Manual,8081,Petrol,150,54.3,1.2
 Grand Tourneo Connect,2018,17298,Automatic,8354,Diesel,150,56.6,1.5
 Fiesta,2017,7791,Manual,15065,Petrol,145,54.3,1.2
 Focus,2015,7499,Manual,45363,Diesel,0,74.3,1.5
 Kuga,2018,16990,Manual,24959,Petrol,145,45.6,1.5
 Fiesta,2017,8498,Manual,21632,Petrol,145,54.3,1.2
 Mondeo,2018,16800,Automatic,17960,Diesel,145,58.9,2.0
 Mondeo,2019,20000,Manual,7,Diesel,145,65.7,2.0
 Fiesta,2018,13491,Manual,7552,Petrol,145,65.7,1.0
 Kuga,2017,15750,Semi-Auto,44134,Diesel,145,54.3,2.0
 S-MAX,2019,22489,Manual,4000,Diesel,145,56.5,2.0
 Fiesta,2019,12700,Manual,11151,Petrol,145,60.1,1.0
 Fiesta,2015,8991,Manual,30568,Petrol,0,65.7,1.0
 Fiesta,2017,9995,Manual,30324,Petrol,145,65.7,1.0
 Galaxy,2016,20500,Manual,145,Diesel,125,56.5,2.0
 Kuga,2017,14489,Manual,16816,Diesel,145,64.2,1.5
 Focus,2011,4995,Manual,69000,Petrol,150,47.1,1.6
 Fiesta,2018,11490,Manual,13000,Petrol,145,60.1,1.0
 Kuga,2019,17200,Manual,15378,Diesel,145,38.2,2.0
 Focus,2019,17850,Automatic,4233,Diesel,145,74.3,1.5
 Focus,2019,22000,Automatic,17,Petrol,145,50.4,1.0
 Fiesta,2013,7000,Manual,13969,Petrol,30,54.3,1.2
 Fiesta,2005,1295,Manual,119000,Petrol,165,45.6,1.2
 Mustang,2019,39995,Automatic,800,Petrol,145,22.1,5.0
 Fiesta,2020,14500,Manual,40,Petrol,145,56.5,1.0
 Kuga,2018,17999,Manual,10957,Petrol,145,45.6,1.5
 Fiesta,2017,9399,Manual,13148,Petrol,0,65.7,1.0
 Focus,2013,5989,Manual,58778,Diesel,20,67.3,1.6
 Fiesta,2016,7299,Manual,31877,Petrol,125,54.3,1.2
 Ka+,2017,6990,Manual,16131,Petrol,145,57.7,1.2
 Mondeo,2017,17991,Automatic,26376,Diesel,145,52.3,2.0
 Focus,2013,5470,Manual,76081,Diesel,20,67.3,1.6
 Focus,2015,10499,Manual,30286,Petrol,125,51.4,1.5
 Ka+,2016,7490,Manual,28020,Petrol,30,57.7,1.2
 Fiesta,2017,8503,Manual,13080,Petrol,125,54.3,1.2
 Fiesta,2014,5810,Manual,59858,Petrol,30,54.3,1.2
 Focus,2018,19000,Manual,17127,Petrol,145,41.5,2.0
 Kuga,2019,21999,Automatic,7550,Petrol,145,29.1,1.5
 EcoSport,2016,8995,Manual,32918,Diesel,30,64.2,1.5
 Ka+,2019,11790,Manual,327,Petrol,145,47.9,1.2
 EcoSport,2018,11795,Manual,32356,Diesel,145,64.2,1.5
 Galaxy,2016,16387,Manual,25405,Diesel,125,56.5,2.0
 C-MAX,2009,2995,Manual,87500,Petrol,235,39.8,1.8
 Fiesta,2019,15470,Manual,3888,Petrol,145,58.9,1.0
 Focus,2018,13498,Semi-Auto,12619,Petrol,145,51.4,1.0
 Mondeo,2011,3995,Manual,62000,Petrol,265,35.8,2.0
 Fiesta,2017,7500,Manual,45162,Petrol,125,54.3,1.2
 Focus,2017,10797,Manual,20967,Petrol,145,60.1,1.0
 Fiesta,2017,8500,Manual,13196,Petrol,0,65.7,1.0
 Fiesta,2018,9700,Manual,23129,Petrol,145,64.2,1.1
 Fiesta,2018,13999,Manual,13700,Petrol,145,58.9,1.0
 Focus,2015,12500,Manual,40310,Petrol,205,41.5,2.0
 Fiesta,2018,10500,Manual,11587,Petrol,150,58.9,1.0
 Ka+,2019,10500,Manual,5,Petrol,145,47.9,1.2
 Kuga,2019,23570,Manual,4665,Diesel,145,37.7,2.0
 EcoSport,2018,15900,Automatic,5603,Petrol,145,48.7,1.0
 EcoSport,2018,16000,Manual,1520,Diesel,145,67.3,1.5
 Focus,2016,9797,Manual,25286,Diesel,0,74.3,1.5
 Kuga,2019,20999,Automatic,5500,Diesel,145,47.9,2.0
 Fiesta,2017,10780,Manual,16711,Diesel,145,78.5,1.5
 Fiesta,2017,11900,Automatic,22422,Petrol,145,54.3,1.0
 C-MAX,2016,9980,Manual,40712,Petrol,30,55.4,1.0
 Fiesta,2019,15000,Manual,10097,Petrol,145,55.4,1.0
 Focus,2019,16295,Manual,6065,Petrol,145,60.1,1.0
 Fiesta,2017,12149,Automatic,5889,Petrol,0,57.7,1.0
 Grand C-MAX,2017,10979,Manual,36730,Petrol,30,54.3,1.0
 S-MAX,2016,17995,Semi-Auto,34606,Diesel,145,52.3,2.0
 Fiesta,2018,10390,Manual,23345,Petrol,145,62.8,1.0
 Focus,2019,17000,Manual,9960,Petrol,145,60.1,1.0
 Ka+,2017,7450,Manual,11690,Petrol,145,57.7,1.2
 Kuga,2017,16998,Manual,17757,Diesel,145,64.2,1.5
 Fiesta,2017,10400,Manual,15517,Petrol,145,65.7,1.0
 Grand C-MAX,2016,9975,Manual,30848,Petrol,30,54.3,1.0
 Mondeo,2016,10990,Automatic,43000,Diesel,125,58.9,2.0
 Fiesta,2015,7900,Manual,23897,Petrol,0,65.7,1.0
 Fiesta,2015,6795,Manual,42509,Petrol,0,65.7,1.0
 Edge,2018,32000,Automatic,11007,Diesel,145,37.2,2.0
 Kuga,2015,11495,Automatic,40000,Diesel,150,52.3,2.0
 Focus,2018,19999,Manual,9560,Petrol,145,41.5,2.0
 Fiesta,2018,11000,Manual,8468,Petrol,145,65.7,1.0
 Fiesta,2016,8470,Manual,32111,Petrol,0,65.7,1.0
 Fiesta,2014,7669,Semi-Auto,21700,Petrol,145,47.9,1.6
 Focus,2019,25700,Manual,4500,Petrol,145,34.5,2.3
 Fiesta,2018,12750,Manual,3445,Petrol,145,56.5,1.0
 Tourneo Custom,2019,25995,Automatic,5000,Diesel,150,32.8,2.0
 Fiesta,2018,12000,Manual,30799,Petrol,145,65.7,1.0
 Grand Tourneo Connect,2017,13699,Automatic,41445,Diesel,150,56.6,1.5
 Fiesta,2018,11995,Manual,15329,Petrol,145,65.7,1.0
 Focus,2019,15995,Manual,12563,Petrol,145,58.9,1.0
 Focus,2017,9600,Manual,41947,Diesel,150,74.3,1.5
 EcoSport,2019,18100,Manual,4402,Diesel,145,64.2,1.5
 Grand C-MAX,2017,11499,Manual,12172,Petrol,30,54.3,1.0
 Fiesta,2017,8700,Manual,11000,Petrol,145,54.3,1.2
 Focus,2017,18498,Semi-Auto,21183,Diesel,145,61.4,2.0
 Grand C-MAX,2017,10190,Manual,36333,Diesel,145,64.2,1.5
 S-MAX,2017,21000,Automatic,16000,Petrol,260,35.8,2.0
 Focus,2017,12495,Semi-Auto,22354,Diesel,30,64.2,2.0
 Mondeo,2016,10260,Manual,22268,Diesel,0,78.5,1.5
 Fiesta,2019,12610,Manual,13589,Petrol,145,56.5,1.0
 Kuga,2019,18479,Manual,15937,Petrol,145,35.3,1.5
 Fiesta,2020,19718,Manual,10,Petrol,145,55.4,1.0
 Fiesta,2016,8999,Automatic,27820,Petrol,30,57.7,1.0
 Kuga,2018,16500,Manual,33646,Diesel,145,60.1,2.0
 Kuga,2017,16998,Automatic,7293,Petrol,150,38.2,1.5
 Fiesta,2018,15000,Manual,22104,Petrol,150,65.7,1.0
 Kuga,2018,20700,Manual,10439,Diesel,145,39.2,2.0
 Focus,2016,8650,Manual,31423,Petrol,20,60.1,1.0
 Focus,2019,14000,Manual,9236,Petrol,145,60.1,1.0
 Fiesta,2018,15000,Manual,3973,Petrol,145,60.1,1.0
 Focus,2018,13995,Manual,12449,Petrol,145,57.7,1.0
 Fiesta,2018,11999,Manual,17560,Petrol,150,58.9,1.0
 Mondeo,2016,10799,Manual,59193,Diesel,30,65.7,2.0
 Focus,2017,9870,Manual,23699,Petrol,145,60.1,1.0
 Mondeo,2017,16795,Automatic,18073,Petrol,145,38.2,2.0
 Focus,2016,14400,Manual,22973,Petrol,205,41.5,2.0
 Kuga,2018,15737,Manual,35831,Diesel,145,64.2,1.5
 Focus,2019,15270,Manual,14234,Petrol,145,58.9,1.0
 Focus,2019,16199,Manual,6321,Petrol,145,60.1,1.0
 C-MAX,2018,13995,Manual,11000,Diesel,145,68.9,1.5
 Fiesta,2013,6299,Manual,49795,Petrol,30,54.3,1.2
 Fiesta,2019,14999,Manual,3575,Petrol,145,60.1,1.0
 Fiesta,2019,15399,Manual,7720,Petrol,145,58.9,1.0
 C-MAX,2017,11450,Semi-Auto,13056,Diesel,125,58.9,2.0
 Mondeo,2018,14399,Automatic,28397,Diesel,145,45.6,2.0
 Focus,2017,19995,Manual,11206,Petrol,145,41.5,2.0
 Fiesta,2013,6000,Manual,48133,Petrol,30,54.3,1.2
 Focus,2016,10482,Manual,10500,Petrol,20,60.1,1.0
 Fiesta,2014,8000,Manual,22295,Petrol,0,65.7,1.0
 Fiesta,2018,10100,Manual,38902,Petrol,145,56.5,1.0
 Focus,2016,16250,Manual,19500,Petrol,200,41.5,2.0
 EcoSport,2017,9790,Manual,15818,Petrol,145,53.3,1.0
 EcoSport,2017,10000,Manual,24500,Petrol,150,53.3,1.0
 Mondeo,2015,6793,Manual,130000,Diesel,30,65.7,2.0
 Fiesta,2018,12599,Manual,12593,Petrol,150,56.5,1.0
 Focus,2017,12795,Manual,7299,Diesel,145,74.3,1.5
 Fiesta,2008,2695,Manual,77570,Petrol,145,47.1,1.2
 Kuga,2018,17498,Manual,9668,Diesel,150,64.2,1.5
 Kuga,2017,12240,Manual,20245,Diesel,30,64.2,1.5
 Grand Tourneo Connect,2018,14900,Manual,18232,Diesel,145,64.2,1.5
 Fiesta,2018,13000,Manual,28337,Petrol,145,65.7,1.0
 Fiesta,2018,11060,Manual,26915,Diesel,145,58.9,1.5
 Fiesta,2020,14000,Manual,9,Petrol,150,55.4,1.0
 Focus,2018,15475,Automatic,15751,Diesel,145,67.3,1.5
 Edge,2017,22511,Semi-Auto,25725,Diesel,145,47.9,2.0
 Focus,2019,14995,Manual,6093,Petrol,145,60.1,1.0
 Focus,2016,16597,Manual,19065,Petrol,200,41.5,2.0
 Fiesta,2016,8491,Manual,19581,Petrol,0,65.7,1.0
 Mondeo,2013,6995,Manual,71000,Diesel,30,62.8,2.0
 Focus,2013,5999,Manual,59477,Petrol,30,56.5,1.0
 Focus,2019,26000,Manual,4486,Petrol,145,34.5,2.3
 C-MAX,2014,4895,Manual,110000,Diesel,125,55.4,2.0
 Mondeo,2018,12499,Manual,31199,Diesel,145,47.1,2.0
 S-MAX,2019,28000,Manual,7400,Diesel,145,54.3,2.0
 Kuga,2016,12276,Manual,34730,Diesel,125,60.1,2.0
 Fiesta,2016,10295,Manual,17659,Petrol,0,65.7,1.0
 EcoSport,2017,9499,Manual,42500,Petrol,150,53.3,1.0
 EcoSport,2018,13995,Automatic,4000,Petrol,145,45.6,1.0
 Fiesta,2017,11500,Manual,13632,Diesel,145,88.3,1.5
 EcoSport,2019,16998,Manual,1091,Petrol,145,51.4,1.0
 Fiesta,2014,6761,Manual,44981,Petrol,0,65.7,1.0
 Kuga,2017,14280,Manual,8401,Petrol,165,45.6,1.5
 Fiesta,2017,8698,Manual,18775,Petrol,125,54.3,1.2
 Focus,2019,18795,Manual,1342,Petrol,150,60.1,1.0
 Focus,2017,18698,Manual,14087,Petrol,200,41.5,2.0
 Focus,2019,20500,Automatic,953,Diesel,145,64.2,2.0
 Fiesta,2019,13030,Manual,3254,Petrol,145,48.7,1.1
 Fiesta,2015,7499,Manual,33358,Petrol,30,54.3,1.2
 Focus,2018,13567,Manual,7756,Diesel,145,74.3,1.5
 Edge,2018,23740,Automatic,13712,Diesel,145,47.9,2.0
 Kuga,2017,15200,Automatic,22516,Petrol,235,38.2,1.5
 Puma,2020,19970,Manual,2075,Petrol,145,50.4,1.0
 Kuga,2016,13500,Manual,40970,Diesel,125,60.1,2.0
 Fiesta,2018,11679,Manual,16906,Petrol,145,65.7,1.0
 Focus,2017,11000,Manual,29000,Diesel,145,74.3,1.5
 EcoSport,2016,8798,Manual,25232,Diesel,30,64.2,1.5
 Kuga,2019,18990,Manual,11013,Diesel,145,36.7,2.0
 Fiesta,2015,9000,Manual,13325,Petrol,30,54.3,1.2
 Focus,2017,11500,Automatic,36200,Diesel,0,67.3,1.5
 Fiesta,2018,8490,Manual,12000,Petrol,145,64.2,1.1
 Fiesta,2019,13998,Manual,11689,Petrol,145,58.9,1.0
 Fiesta,2018,10298,Manual,18192,Petrol,145,65.7,1.0
 Kuga,2017,11998,Manual,34577,Diesel,30,64.2,1.5
 Fiesta,2013,5998,Manual,51348,Petrol,0,65.7,1.0
 Fiesta,2018,9600,Manual,11266,Petrol,145,64.2,1.1
 Kuga,2016,15512,Manual,15641,Diesel,145,54.3,2.0
 Focus,2017,11000,Manual,10053,Petrol,145,60.1,1.0
 Kuga,2016,11300,Manual,29439,Diesel,125,60.1,2.0
 Kuga,2017,12690,Manual,43503,Diesel,145,60.1,2.0
 EcoSport,2018,13890,Manual,17679,Petrol,145,54.3,1.0
 EcoSport,2018,14495,Manual,23638,Petrol,145,54.3,1.0
 Fiesta,2018,9300,Manual,11172,Petrol,145,64.2,1.1
 Fiesta,2018,10950,Manual,17000,Petrol,150,65.7,1.0
 Focus,2016,10250,Manual,29705,Petrol,20,60.1,1.0
 Fiesta,2014,8150,Manual,36571,Petrol,0,65.7,1.0
 Fiesta,2019,15799,Manual,8129,Petrol,145,58.9,1.0
 Focus,2017,17337,Manual,21661,Diesel,145,67.3,2.0
 Tourneo Custom,2019,23995,Automatic,6020,Diesel,150,31.7,2.0
 Edge,2017,23380,Semi-Auto,4426,Diesel,145,48.7,2.0
 Focus,2019,17300,Manual,5294,Petrol,145,60.1,1.0
 Focus,2017,11880,Manual,30345,Diesel,150,70.6,2.0
 Focus,2018,11795,Manual,11086,Petrol,145,60.1,1.0
 Kuga,2016,15800,Manual,27293,Diesel,125,60.1,2.0
 Tourneo Connect,2016,12360,Manual,31307,Diesel,30,64.2,1.5
