주문시간,실제도착시간,예상도착시간,앱종류,거리,결제종류,user
2023-07-04 04:21:41,2023-07-04 05:02:37,2023-07-04 04:57:56,여기여,6.03,앱결제,user_227
2023-08-10 01:04:32,2023-08-10 01:48:02,2023-08-10 01:46:07,여기여,15.05,현금,user_85
2022-12-10 23:30:37,2022-12-11 01:12:16,2022-12-11 00:20:44,배달왕,9.5,앱결제,user_237
2023-07-20 21:47:22,2023-07-20 23:28:18,2023-07-20 22:16:31,배달왕,16.02,현금,user_274
2023-04-25 17:08:15,2023-04-25 17:52:30,2023-04-25 17:38:20,배달왕,11.75,현금,user_157
2023-07-04 07:15:00,2023-07-04 08:58:16,2023-07-04 08:22:58,배달왕,6.89,앱결제,user_123
2022-12-01 09:00:51,2022-12-01 09:25:35,2022-12-01 09:37:56,배고팡,15.5,현금,user_267
2022-09-22 16:25:15,2022-09-22 17:29:09,2022-09-22 17:28:13,배달왕,1.78,현금,user_108
2022-11-10 13:31:02,2022-11-10 13:56:52,2022-11-10 13:54:55,여기여,2.25,앱결제,user_461
2022-12-22 12:12:33,2022-12-22 13:58:06,2022-12-22 14:04:20,여기여,5.57,현금,user_372
2022-09-16 06:22:46,2022-09-16 06:57:54,2022-09-16 07:27:40,배고팡,3.44,앱결제,user_319
2022-10-29 20:44:19,2022-10-29 21:33:23,2022-10-29 22:04:14,배달왕,19.7,앱결제,user_444
2023-07-06 08:54:32,2023-07-06 09:19:48,2023-07-06 09:41:14,배고팡,2.45,현금,user_238
2023-03-01 03:08:29,2023-03-01 04:49:37,2023-03-01 05:09:08,배고팡,3.33,현금,user_316
2023-03-16 17:47:35,2023-03-16 18:45:31,2023-03-16 19:11:15,배고팡,18.98,현금,user_482
2023-03-27 05:12:49,2023-03-27 05:57:39,2023-03-27 06:14:18,배달왕,19.26,앱결제,user_48
2022-12-23 07:28:25,2022-12-23 08:15:09,2022-12-23 08:12:44,배달왕,7.25,현금,user_389
2022-11-21 22:17:42,2022-11-21 23:44:19,2022-11-21 23:48:28,여기여,11.31,현금,user_271
2023-06-27 14:43:08,2023-06-27 15:16:38,2023-06-27 15:30:16,배고팡,6.92,카드,user_371
2023-06-20 08:08:51,2023-06-20 08:55:56,2023-06-20 08:35:30,배고팡,9.0,카드,user_173
2023-06-12 10:59:43,2023-06-12 12:11:01,2023-06-12 11:29:58,배고팡,3.15,현금,user_28
2022-11-26 12:23:27,2022-11-26 13:59:29,2022-11-26 13:17:22,여기여,2.97,카드,user_237
2022-09-12 17:13:29,2022-09-12 17:38:42,2022-09-12 17:47:24,배고팡,13.78,앱결제,user_263
2022-09-05 09:08:20,2022-09-05 09:47:38,2022-09-05 09:33:45,배달왕,13.18,앱결제,user_215
2023-01-04 05:00:18,2023-01-04 06:20:57,2023-01-04 05:21:12,배고팡,16.71,앱결제,user_225
2023-01-10 05:52:18,2023-01-10 06:47:37,2023-01-10 06:20:04,여기여,15.46,카드,user_116
2023-08-21 01:23:18,2023-08-21 01:58:14,2023-08-21 02:11:15,배고팡,14.35,현금,user_426
2022-10-31 02:12:48,2022-10-31 03:27:41,2022-10-31 02:53:49,배고팡,0.56,앱결제,user_63
2023-06-08 05:50:35,2023-06-08 07:17:33,2023-06-08 07:19:28,배고팡,15.21,앱결제,user_31
2023-07-06 07:29:30,2023-07-06 09:11:22,2023-07-06 09:28:23,배고팡,18.71,현금,user_184
2023-05-20 22:26:55,2023-05-20 23:45:01,2023-05-20 22:50:49,배고팡,11.02,현금,user_132
2023-05-05 20:24:38,2023-05-05 22:00:59,2023-05-05 22:20:10,배고팡,2.88,앱결제,user_275
2023-05-20 05:12:57,2023-05-20 06:06:47,2023-05-20 05:55:28,여기여,1.18,카드,user_435
2023-06-11 10:39:31,2023-06-11 12:04:00,2023-06-11 12:31:49,여기여,17.72,앱결제,user_394
2023-04-28 18:30:44,2023-04-28 19:28:40,2023-04-28 19:00:40,여기여,8.13,카드,user_344
2023-08-10 06:19:31,2023-08-10 07:59:57,2023-08-10 06:44:19,배고팡,9.58,현금,user_419
2022-12-20 14:14:13,2022-12-20 15:18:20,2022-12-20 15:46:48,배고팡,7.99,카드,user_178
2023-06-29 20:12:12,2023-06-29 20:33:26,2023-06-29 20:44:23,배달왕,7.59,카드,user_147
2022-09-18 23:43:11,2022-09-19 01:13:17,2022-09-19 00:03:30,배고팡,12.75,카드,user_223
2022-09-15 02:00:20,2022-09-15 03:41:45,2022-09-15 03:13:12,배고팡,7.34,현금,user_438
2023-02-24 18:19:29,2023-02-24 19:38:53,2023-02-24 18:59:16,여기여,18.47,앱결제,user_470
2023-01-12 21:05:23,2023-01-12 21:48:20,2023-01-12 22:11:26,배고팡,17.46,앱결제,user_465
2023-01-25 05:38:41,2023-01-25 06:06:55,2023-01-25 06:18:23,배달왕,14.74,현금,user_385
2023-04-07 18:10:19,2023-04-07 19:34:29,2023-04-07 19:36:49,배고팡,15.81,앱결제,user_155
2023-03-27 09:24:01,2023-03-27 11:03:05,2023-03-27 10:53:04,배달왕,19.32,현금,user_44
2023-04-11 02:34:13,2023-04-11 02:55:47,2023-04-11 03:23:46,여기여,10.89,앱결제,user_146
2023-04-08 10:34:26,2023-04-08 11:25:05,2023-04-08 11:06:01,여기여,13.73,앱결제,user_479
2022-10-30 14:26:15,2022-10-30 14:44:25,2022-10-30 14:54:41,배고팡,17.48,카드,user_27
2023-03-01 09:33:45,2023-03-01 09:53:57,2023-03-01 10:08:53,배고팡,15.72,카드,user_356
2023-02-20 11:20:55,2023-02-20 12:47:18,2023-02-20 12:57:41,여기여,8.62,앱결제,user_328
2022-09-11 20:57:37,2022-09-11 21:36:34,2022-09-11 21:37:53,여기여,13.63,현금,user_360
2023-03-03 21:46:42,2023-03-03 22:34:12,2023-03-03 22:25:27,배고팡,6.03,현금,user_451
2022-11-02 07:55:58,2022-11-02 08:53:41,2022-11-02 09:19:46,배고팡,1.74,카드,user_442
2023-01-16 22:22:48,2023-01-16 23:42:19,2023-01-16 22:50:25,배고팡,6.49,현금,user_52
2023-02-08 17:08:34,2023-02-08 18:02:32,2023-02-08 18:31:38,배달왕,6.29,카드,user_61
2023-06-19 05:31:22,2023-06-19 06:06:05,2023-06-19 06:31:45,배고팡,2.47,앱결제,user_323
2022-09-15 06:22:04,2022-09-15 07:33:11,2022-09-15 07:37:07,배고팡,7.48,카드,user_491
2022-08-28 05:32:58,2022-08-28 06:19:01,2022-08-28 06:06:31,여기여,6.42,앱결제,user_24
2022-09-25 22:00:35,2022-09-25 22:37:24,2022-09-25 22:27:50,배달왕,7.93,앱결제,user_276
2023-04-23 15:51:24,2023-04-23 16:51:35,2023-04-23 16:52:27,여기여,13.28,카드,user_475
2023-04-22 16:07:52,2023-04-22 16:58:31,2023-04-22 17:22:56,배고팡,14.68,현금,user_35
2023-08-12 17:46:39,2023-08-12 18:14:01,2023-08-12 18:16:22,배고팡,11.03,카드,user_420
2022-11-26 13:29:03,2022-11-26 13:51:17,2022-11-26 13:53:43,여기여,10.49,앱결제,user_441
2023-02-03 06:13:33,2023-02-03 06:40:29,2023-02-03 06:52:11,여기여,12.67,카드,user_240
2022-11-18 14:30:19,2022-11-18 14:57:27,2022-11-18 15:16:50,배고팡,18.41,앱결제,user_57
2022-10-19 13:22:32,2022-10-19 14:03:56,2022-10-19 14:02:54,여기여,7.74,카드,user_53
2022-09-28 01:48:49,2022-09-28 02:53:36,2022-09-28 02:19:18,배고팡,19.28,카드,user_276
2023-02-12 10:46:31,2023-02-12 12:15:30,2023-02-12 11:16:06,배달왕,4.09,앱결제,user_95
2023-01-21 13:47:46,2023-01-21 14:52:32,2023-01-21 15:05:19,배달왕,6.61,카드,user_392
2023-02-12 16:30:56,2023-02-12 17:15:32,2023-02-12 17:21:17,배고팡,11.68,카드,user_42
2023-04-02 10:15:12,2023-04-02 10:41:11,2023-04-02 10:48:57,배고팡,1.46,카드,user_295
2022-08-27 13:46:02,2022-08-27 15:03:50,2022-08-27 14:29:30,배달왕,19.21,앱결제,user_2
2023-01-02 01:19:05,2023-01-02 02:25:38,2023-01-02 01:56:25,여기여,4.8,카드,user_326
2023-06-14 21:54:06,2023-06-14 22:30:04,2023-06-14 22:50:10,배달왕,12.94,카드,user_265
2023-05-15 19:39:24,2023-05-15 20:58:43,2023-05-15 20:26:58,여기여,11.36,카드,user_434
2023-04-11 04:48:49,2023-04-11 05:53:06,2023-04-11 06:23:41,배고팡,2.02,앱결제,user_50
2023-06-20 07:39:29,2023-06-20 08:02:21,2023-06-20 08:13:37,배달왕,6.98,현금,user_477
2022-09-23 19:04:58,2022-09-23 20:01:25,2022-09-23 19:40:16,여기여,3.24,앱결제,user_474
2022-09-05 17:12:11,2022-09-05 18:11:53,2022-09-05 18:06:57,배달왕,3.06,카드,user_297
2023-03-01 13:39:29,2023-03-01 14:30:02,2023-03-01 14:03:30,배달왕,11.38,카드,user_26
2023-05-11 21:51:16,2023-05-11 23:00:26,2023-05-11 22:54:37,배달왕,9.91,앱결제,user_398
2023-06-11 05:39:21,2023-06-11 06:34:33,2023-06-11 06:51:49,배고팡,4.4,카드,user_419
2022-11-10 17:53:40,2022-11-10 19:16:38,2022-11-10 18:58:56,배달왕,13.75,현금,user_272
2023-04-20 01:47:49,2023-04-20 02:51:32,2023-04-20 02:10:00,배달왕,19.91,앱결제,user_77
2022-09-26 00:04:52,2022-09-26 00:37:05,2022-09-26 00:39:37,배달왕,13.94,앱결제,user_49
2023-04-25 17:56:32,2023-04-25 18:17:32,2023-04-25 18:24:42,배고팡,16.07,앱결제,user_202
2022-09-06 18:14:39,2022-09-06 18:56:10,2022-09-06 18:46:32,여기여,12.03,앱결제,user_244
2022-09-29 11:53:50,2022-09-29 12:40:35,2022-09-29 12:57:55,배고팡,1.43,현금,user_387
2023-02-07 13:23:21,2023-02-07 14:57:23,2023-02-07 13:51:05,여기여,12.87,현금,user_451
2022-12-05 08:36:34,2022-12-05 10:18:04,2022-12-05 09:30:36,배달왕,18.65,현금,user_307
2022-11-22 10:43:24,2022-11-22 12:32:25,2022-11-22 11:43:47,여기여,3.35,카드,user_134
2022-11-12 11:54:08,2022-11-12 12:13:34,2022-11-12 12:36:09,여기여,10.35,카드,user_5
2022-12-21 23:41:29,2022-12-22 01:19:01,2022-12-22 00:22:55,배고팡,12.73,카드,user_302
2022-09-19 11:45:39,2022-09-19 13:02:13,2022-09-19 12:52:29,배달왕,15.71,카드,user_367
2022-10-12 09:56:33,2022-10-12 10:54:07,2022-10-12 10:57:06,배달왕,12.1,현금,user_196
