Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
0,147,0,1,1.1,0,160.5,85,74.5,8.8,13.2
0,121,0,0,2.1,4,228.0,114,39.7,7.6,13.7
0,163,1,0,-0.8,2,162.7,82,47.7,7.4,5.0
1,78,1,0,-1.1,2,148.2,101,58.3,10.4,12.1
0,54,1,0,1.4,1,177.6,111,117.5,12.3,4.1
1,140,1,0,2.6,3,106.7,103,69.0,11.2,11.5
0,100,1,1,3.0,0,172.2,82,58.1,5.7,11.4
0,69,1,0,-0.7,2,199.5,114,67.4,11.6,5.4
0,120,1,0,0.3,0,227.2,98,46.4,12.0,13.0
0,72,1,0,-1.1,1,193.3,42,60.6,13.6,15.1
0,128,1,1,0.1,2,101.7,80,72.0,7.6,10.1
0,120,1,1,2.2,1,253.4,128,55.8,9.9,10.6
0,92,0,1,0.8,0,258.0,130,43.9,11.5,14.4
0,33,1,1,0.3,0,185.9,110,55.0,8.7,7.1
0,64,1,0,1.5,-1,138.8,116,51.1,11.5,7.2
0,161,1,0,-0.2,2,150.8,84,34.0,10.0,7.9
0,170,1,0,2.8,0,168.7,95,46.9,7.9,10.3
0,204,1,0,0.8,4,195.0,125,33.4,8.1,10.3
0,117,1,1,0.3,1,163.2,108,36.0,13.2,8.7
1,57,1,1,1.6,3,133.0,101,37.6,7.5,9.4
0,154,1,0,2.0,0,235.5,96,72.0,7.1,8.7
0,90,1,0,2.8,2,193.8,124,80.8,10.9,8.9
1,73,1,1,0.5,2,122.5,122,31.1,10.0,8.1
0,114,1,0,2.2,3,195.6,113,82.3,6.7,8.1
0,176,1,0,0.9,0,188.6,101,37.8,8.7,4.7
0,96,1,1,0.0,0,140.7,93,68.6,8.0,9.6
0,101,1,1,-0.2,2,244.9,114,60.6,8.4,4.8
0,40,0,1,-0.6,1,187.1,78,66.7,16.5,12.3
0,105,1,0,-0.1,1,168.0,82,37.2,9.3,8.7
0,127,1,1,2.2,1,175.2,71,26.5,7.8,9.9
0,97,1,0,1.7,3,204.0,125,43.1,15.2,9.2
0,100,1,0,-0.8,4,175.8,85,63.3,12.3,9.6
0,110,1,0,-1.4,1,175.4,108,88.4,11.9,13.8
0,59,1,0,-0.6,2,237.8,97,39.4,7.9,6.5
0,10,1,0,-0.2,1,102.5,158,54.7,13.1,5.7
0,96,1,1,0.4,3,111.6,109,44.0,12.1,10.6
0,92,1,1,2.3,2,222.1,63,56.0,10.4,8.9
0,123,1,0,0.1,0,311.4,124,24.6,5.7,11.2
0,196,0,1,3.0,0,227.5,92,80.9,10.0,12.2
0,152,0,0,-1.3,0,281.3,96,56.7,14.4,7.1
0,19,0,0,0.4,5,156.1,86,71.4,10.6,11.9
1,201,1,0,1.8,2,145.1,104,52.5,9.1,7.4
0,127,1,0,1.9,0,204.6,104,59.4,9.5,10.4
1,90,1,0,0.4,0,231.7,87,74.8,9.6,6.8
0,159,1,1,2.1,2,108.3,90,58.5,8.0,10.6
0,0,1,0,1.9,2,168.2,102,59.1,9.9,10.2
0,79,1,0,-0.1,2,178.3,53,43.3,13.7,7.2
0,108,1,1,1.2,1,142.8,71,47.5,13.4,6.4
0,103,1,0,1.7,1,149.2,133,39.7,8.1,12.3
0,161,1,0,0.0,1,225.7,107,44.2,13.3,9.0
0,148,1,0,3.0,0,205.4,89,76.9,12.0,13.1
0,128,1,1,-0.2,0,223.3,66,86.0,11.7,8.7
0,90,1,1,1.0,2,198.1,99,35.8,11.1,13.9
0,139,1,1,-0.8,1,132.2,120,62.8,7.7,7.6
1,77,1,1,0.9,2,202.8,153,51.1,9.0,14.3
0,131,1,0,-0.5,2,127.9,138,79.3,12.2,10.7
1,72,1,0,0.4,3,162.8,82,58.5,7.0,11.4
0,112,0,0,-1.2,0,123.3,90,56.2,7.4,7.4
0,43,1,0,1.8,2,146.5,70,44.1,10.8,12.3
1,142,0,1,1.3,2,184.7,83,31.1,8.0,12.4
0,83,1,1,2.2,1,154.9,96,68.8,12.1,9.3
0,46,1,0,0.4,1,131.7,93,62.1,8.1,4.3
0,62,1,1,2.3,1,241.7,141,62.5,10.7,7.1
1,88,1,1,0.9,4,173.3,74,46.5,10.9,7.1
0,64,1,0,1.0,1,151.0,99,53.9,8.8,11.5
0,129,1,1,3.5,2,120.8,59,69.3,9.4,8.9
0,90,0,0,0.2,1,77.8,107,72.4,8.3,9.0
0,138,1,1,2.4,0,167.7,73,36.9,10.0,8.7
0,89,1,0,1.4,0,104.7,122,45.9,7.6,14.3
0,129,1,0,0.1,3,218.6,94,33.5,9.5,10.4
0,101,1,0,-0.9,2,181.4,72,59.6,11.9,10.8
0,90,1,0,-0.5,1,264.7,58,70.8,7.2,8.5
0,59,1,0,2.3,0,191.9,80,51.7,8.8,10.2
0,103,0,0,3.0,1,140.2,105,45.4,11.4,7.5
0,130,1,0,0.9,0,77.4,108,50.8,4.8,11.2
0,73,1,0,1.0,1,223.7,90,94.2,14.8,7.0
0,100,1,0,1.8,0,109.0,119,75.9,12.7,12.3
1,79,1,0,0.9,1,157.5,77,68.3,6.2,8.2
0,178,1,0,2.2,1,271.0,41,61.6,4.7,12.9
0,113,0,0,1.2,3,213.1,106,56.1,10.1,15.6
0,104,1,0,1.0,1,201.0,126,41.4,7.2,10.2
0,81,1,1,-0.1,1,231.2,126,38.9,12.5,13.9
0,136,0,0,-0.4,0,229.2,74,47.0,11.1,12.3
0,101,1,0,-3.2,3,265.9,89,40.6,10.4,6.2
0,98,1,0,2.4,2,147.0,114,46.3,8.6,10.5
0,98,1,0,0.6,1,159.3,87,54.6,14.1,11.6
0,57,1,1,0.3,0,129.5,102,55.9,12.0,11.9
0,160,1,0,-1.7,0,178.0,86,46.1,11.6,10.7
0,137,1,1,0.0,0,172.6,78,64.4,13.1,10.7
0,101,1,0,-0.2,2,84.2,82,53.2,7.5,10.3
0,96,1,0,-0.2,1,144.2,119,59.8,13.3,10.6
0,65,1,1,1.2,0,258.2,100,44.1,9.4,6.8
1,42,1,1,1.0,2,193.1,125,67.7,10.9,9.6
0,65,1,0,-0.9,0,218.7,110,47.5,9.7,6.2
0,146,1,0,-0.8,0,173.2,132,82.7,5.3,8.8
0,85,1,0,-0.8,2,77.0,116,52.6,12.5,8.6
0,144,1,0,3.1,2,172.8,115,54.7,5.4,8.4
0,99,1,1,2.7,3,236.5,98,66.1,7.6,7.3
0,66,1,1,-0.3,1,115.2,160,69.6,8.9,11.0
0,71,1,0,-1.7,2,220.5,102,71.4,5.1,9.3
0,110,0,0,1.0,0,87.1,60,85.5,7.3,9.1
1,36,0,1,0.9,1,180.9,105,67.2,10.7,6.3
0,70,1,0,1.2,1,209.4,80,55.2,9.2,9.4
0,83,1,1,1.8,1,162.8,120,47.6,9.4,13.4
0,133,1,0,1.4,0,314.4,115,54.1,7.7,13.5
1,112,1,1,-0.6,1,152.9,96,80.7,10.2,11.3
0,108,1,1,1.2,3,148.3,82,33.5,9.2,9.4
0,119,1,0,1.9,0,190.9,103,42.9,5.9,11.8
0,142,1,0,-0.1,0,138.7,87,52.7,9.5,8.4
0,103,1,0,1.2,0,101.3,116,42.6,6.9,9.4
1,59,1,1,0.1,5,120.0,111,49.6,12.3,8.2
0,108,1,0,3.4,2,221.1,159,86.0,9.1,12.8
0,67,1,0,-0.9,1,163.2,91,51.4,16.4,12.4
0,18,1,1,2.3,1,272.5,94,63.1,12.5,10.1
1,108,1,0,-1.3,1,155.7,97,29.1,9.7,15.1
0,121,1,0,3.1,0,218.5,98,38.2,11.5,11.4
1,114,1,0,-0.6,0,207.6,121,71.6,4.8,11.2
0,121,1,0,1.1,1,154.9,94,83.7,12.5,10.9
1,145,1,0,-1.3,0,131.9,140,59.9,8.0,6.7
0,62,1,1,-0.9,1,85.4,112,51.3,10.3,7.7
0,85,0,1,2.0,2,209.9,90,64.5,8.2,10.1
0,49,1,1,2.1,0,245.0,85,13.6,8.5,10.1
0,118,1,0,1.1,4,93.2,121,60.1,9.6,11.9
0,149,1,0,1.8,2,159.6,101,39.1,10.2,8.4
0,79,1,0,2.1,0,143.4,100,69.3,10.0,10.4
0,129,1,0,-0.1,-1,209.8,88,20.3,10.0,10.5
0,70,1,0,-1.0,0,161.9,99,46.0,5.9,10.6
1,126,1,0,0.8,2,251.8,87,55.6,16.0,10.3
0,12,1,0,0.1,2,158.8,127,43.8,10.6,6.3
0,161,1,1,1.3,1,112.4,114,50.1,11.2,3.9
0,57,1,0,1.5,0,154.2,96,71.2,9.2,7.6
0,107,1,0,-0.1,0,160.2,96,55.9,7.8,8.8
0,157,1,0,1.7,1,208.4,102,41.0,10.4,6.9
0,54,1,0,1.6,0,159.4,100,71.8,10.8,10.1
0,171,1,0,1.7,1,203.7,81,60.4,13.4,13.3
0,184,1,1,0.3,3,136.7,62,61.1,15.3,12.3
0,128,1,0,1.8,0,163.7,84,41.6,13.8,11.5
0,101,1,1,1.5,2,137.0,97,14.5,5.6,13.0
0,93,1,1,1.6,2,133.7,85,41.4,8.9,7.7
0,123,1,0,3.0,0,249.2,116,39.7,10.9,9.0
1,130,1,0,1.2,0,140.8,95,46.2,9.0,12.0
0,20,1,0,0.0,2,160.8,138,42.5,9.9,8.9
0,89,1,0,-0.6,0,236.7,89,58.2,4.6,9.1
0,77,1,1,2.3,1,220.6,103,70.8,12.4,15.4
0,72,0,0,1.3,4,269.2,94,74.0,5.3,10.5
0,72,0,1,2.9,2,206.1,109,70.1,6.1,15.2
1,49,1,1,-1.8,1,147.1,121,41.6,7.5,5.1
0,162,1,0,2.0,2,291.8,112,57.3,9.8,8.5
0,77,1,1,0.5,1,211.5,59,82.0,5.9,11.4
0,95,1,1,0.4,2,171.3,110,30.3,7.4,10.5
0,88,0,0,-0.2,-1,182.9,80,78.5,13.0,4.5
0,79,1,0,2.0,1,189.5,94,39.9,9.8,9.6
0,117,1,0,1.6,-1,166.9,114,61.1,11.2,17.1
0,88,1,1,-0.6,1,104.8,77,63.1,6.9,10.9
1,125,1,0,1.0,1,268.4,123,59.4,9.9,11.9
0,163,1,1,1.7,3,178.6,93,92.9,9.7,8.4
0,57,1,0,1.0,2,189.8,144,51.4,8.0,10.9
0,113,1,0,2.2,0,293.0,101,29.4,9.9,10.2
0,112,1,0,0.4,1,142.6,134,62.2,5.3,13.4
0,54,1,0,-2.1,2,215.5,124,53.5,11.2,13.3
0,126,1,1,1.1,0,136.6,88,65.4,9.0,11.4
0,90,1,0,1.0,1,197.3,74,70.8,9.4,10.4
1,163,1,0,1.2,3,190.8,102,55.8,12.2,5.5
0,140,1,0,2.2,0,222.8,88,63.5,11.1,5.5
0,101,1,1,-1.7,0,245.6,132,58.7,9.2,10.5
0,92,1,1,0.5,1,148.2,95,85.7,7.2,12.7
0,170,1,0,-0.4,5,256.9,94,50.2,13.4,14.0
0,77,1,0,-0.7,2,260.8,72,45.0,6.7,7.8
0,111,1,1,0.7,3,166.2,108,70.8,11.6,6.0
0,98,1,0,1.7,2,179.4,76,41.0,6.0,12.8
0,148,1,0,1.2,2,152.8,109,62.7,12.4,8.0
0,151,1,0,-0.1,2,163.1,112,53.5,12.6,5.8
0,122,1,0,0.6,2,114.2,85,54.6,5.2,8.9
0,80,1,1,2.0,0,222.1,119,96.3,11.2,8.8
0,94,1,0,1.7,2,68.1,94,76.6,11.0,13.9
1,52,1,1,0.1,1,141.8,70,73.1,11.8,12.7
0,110,0,1,0.0,2,177.3,131,65.0,11.0,8.2
0,68,1,0,-1.4,1,250.6,81,44.9,7.6,14.1
0,190,1,0,0.3,2,150.1,110,60.6,9.5,10.6
1,79,0,1,-1.4,2,203.1,108,65.9,14.3,13.2
0,141,1,1,3.4,-2,175.4,108,59.6,7.2,13.9
0,161,1,1,-0.3,0,231.3,107,57.9,10.9,9.5
1,134,1,0,2.2,0,200.2,80,49.8,13.0,11.8
0,80,1,0,3.1,1,225.0,134,60.8,7.5,9.1
0,78,1,0,1.1,1,149.8,119,47.7,6.5,12.8
0,218,1,0,0.7,3,124.5,109,67.9,6.8,10.5
0,179,1,1,-0.9,1,199.8,73,23.2,11.1,12.9
0,113,1,1,0.2,0,153.2,80,78.6,6.8,14.5
0,87,1,0,2.9,2,181.4,113,34.8,9.7,11.8
0,66,1,0,1.3,1,197.1,60,38.8,13.5,10.0
0,76,1,0,0.9,0,247.4,107,63.0,9.9,10.0
0,129,1,1,2.5,2,222.6,73,65.2,8.1,2.0
1,193,1,1,1.7,3,142.7,83,90.4,10.4,8.2
0,96,1,0,0.6,2,117.4,72,61.2,9.9,12.8
0,148,1,0,1.1,2,272.8,105,55.6,11.2,12.9
1,136,1,0,-0.2,5,93.6,122,59.4,14.2,8.2
0,89,1,1,0.1,0,155.1,107,82.4,11.1,10.7
0,140,1,0,0.6,0,214.9,109,96.1,15.2,9.7
0,142,1,1,1.5,1,269.0,103,53.3,11.2,12.2
0,137,1,0,-0.8,3,169.4,114,65.2,8.1,16.4
0,84,0,0,0.9,0,181.3,109,55.1,15.9,12.2
0,129,1,0,0.3,3,132.1,45,54.8,9.7,8.4
0,148,1,1,-0.3,0,186.7,118,87.2,7.4,10.0
0,139,1,1,0.3,1,117.1,116,41.1,15.9,14.2
0,143,1,0,-2.1,1,138.9,93,18.0,8.2,6.3
1,92,1,0,-0.1,0,221.4,60,61.5,8.1,8.5
0,143,1,1,-0.6,0,156.2,105,76.0,8.7,12.2
1,152,1,0,0.5,2,229.7,106,59.9,10.5,13.9
0,82,1,0,-2.1,3,171.4,91,64.6,12.4,11.9
0,45,1,0,1.1,-1,105.2,104,68.7,3.3,8.5
0,166,1,0,2.0,1,243.4,121,58.1,12.4,11.7
0,82,1,0,0.7,1,108.1,148,65.4,8.6,11.4
0,71,1,1,1.5,1,147.0,103,65.2,9.0,11.2
0,109,1,0,0.2,1,168.9,107,24.1,14.4,10.0
0,90,0,1,-1.2,0,234.6,83,58.2,10.6,10.4
0,24,1,0,0.8,3,151.1,90,30.5,11.2,7.7
0,136,1,1,1.7,3,129.3,97,55.7,9.9,17.2
0,135,1,0,-0.9,1,188.6,124,48.2,12.0,10.7
0,59,1,0,0.2,0,168.1,116,73.3,14.2,11.8
0,100,1,0,0.5,0,154.3,139,60.3,3.8,9.6
0,60,1,0,4.4,-1,191.6,70,64.1,12.8,12.6
0,66,1,1,1.1,2,114.2,73,53.2,14.0,6.6
0,77,1,0,-1.6,2,86.0,122,73.6,11.3,5.4
0,122,0,0,-1.9,1,296.3,129,30.1,8.3,10.2
0,181,1,1,1.7,1,185.4,101,41.6,7.1,16.0
0,84,0,1,4.0,1,189.3,10,77.4,16.0,13.6
1,134,1,0,0.5,0,137.2,85,49.1,7.8,8.0
0,132,1,1,0.4,0,228.7,107,21.1,13.9,11.7
0,16,1,1,1.4,1,150.7,82,80.2,11.0,8.5
0,45,1,0,-0.2,2,28.0,104,74.0,15.2,11.4
1,182,1,0,-2.4,3,148.9,138,68.0,9.2,11.6
1,80,1,0,2.1,1,164.4,129,57.9,6.0,12.8
0,119,1,0,0.0,0,170.5,116,83.6,10.1,5.9
0,114,1,0,2.2,1,168.9,99,77.0,6.3,6.7
0,16,1,0,-0.2,4,144.6,90,81.7,16.8,10.0
1,73,1,0,1.0,0,139.4,115,67.7,11.6,7.4
0,130,1,0,1.9,2,163.5,100,58.3,12.0,7.1
0,63,1,0,2.2,3,90.2,101,49.7,12.0,11.0
0,86,1,0,1.1,1,73.1,69,35.5,8.3,7.7
0,53,1,1,1.0,0,185.1,86,64.6,9.7,16.5
0,67,1,1,1.6,2,186.0,115,65.9,10.3,8.7
0,80,1,0,1.4,2,227.7,78,50.6,15.0,9.5
0,27,1,0,-0.8,2,165.9,105,66.4,7.1,11.1
0,147,1,0,-0.8,4,114.8,108,50.8,8.2,6.0
0,45,1,0,-1.9,1,74.1,109,70.6,9.1,11.7
0,94,1,0,1.8,0,131.3,111,41.8,8.3,11.2
0,71,1,0,0.3,1,202.8,113,39.0,6.4,9.3
0,143,0,0,1.9,1,258.3,87,52.4,3.2,11.0
0,51,1,1,1.3,3,182.7,70,69.9,5.4,11.4
1,69,1,0,-0.5,1,113.7,82,37.3,12.8,14.2
0,47,1,0,0.7,1,131.8,115,73.5,10.0,17.2
0,5,1,0,0.2,0,133.5,76,29.3,12.2,7.3
0,121,1,0,0.0,2,157.7,79,52.3,8.6,6.6
0,102,1,1,2.0,5,240.8,79,33.1,9.8,10.5
0,109,1,1,4.0,1,245.1,63,13.4,14.1,4.4
0,133,1,0,2.2,2,170.4,77,62.3,14.0,12.1
0,105,1,0,0.8,0,189.7,120,53.4,12.4,10.6
0,83,0,1,2.4,0,136.3,86,33.4,10.6,11.3
0,111,1,0,3.0,2,86.6,65,47.8,11.4,9.4
0,80,1,0,-1.0,1,277.2,90,63.6,11.0,10.9
1,145,1,0,2.4,-1,53.3,110,50.3,9.6,11.6
0,86,1,0,1.8,3,79.8,63,53.0,9.0,10.8
0,96,1,0,2.3,2,277.6,119,49.8,12.9,6.5
0,126,1,0,1.9,1,180.7,71,46.7,6.8,10.7
0,194,1,0,0.5,1,118.4,92,46.5,13.8,15.4
0,60,1,0,3.4,2,217.0,92,46.0,9.4,10.9
0,52,1,0,1.2,2,221.9,89,43.9,6.7,10.6
0,91,1,1,0.3,2,107.2,99,39.6,8.7,14.6
0,71,1,0,1.5,2,150.8,116,50.1,7.8,8.2
0,128,1,0,2.1,3,227.5,99,45.8,8.6,12.7
0,108,1,0,0.9,4,135.3,88,38.7,8.5,8.8
0,56,1,0,1.3,0,195.1,109,68.9,8.4,13.3
1,130,1,0,0.9,0,257.4,104,76.6,9.3,12.5
0,174,1,0,-0.0,2,49.5,86,56.3,9.9,9.1
1,69,1,0,-0.2,0,161.2,101,57.4,12.0,9.5
0,114,1,1,-1.0,0,194.0,85,44.9,9.4,13.0
0,13,1,0,2.7,2,82.2,83,73.8,10.9,5.1
1,86,1,0,0.5,2,150.9,116,84.9,10.1,9.0
0,113,1,1,-3.5,3,236.7,109,53.6,11.4,12.0
0,95,1,1,1.3,1,141.4,115,47.7,10.2,9.4
1,105,1,1,1.3,2,98.9,113,61.9,8.4,10.6
0,70,1,0,-1.6,1,241.4,82,58.4,7.7,4.5
0,151,1,1,-0.2,1,204.0,120,48.1,10.6,7.9
1,84,1,0,-0.3,0,176.0,94,64.0,13.3,12.1
0,52,0,1,-0.1,0,174.4,119,71.7,9.5,8.1
0,99,1,0,2.4,2,235.8,97,43.4,8.3,6.6
0,137,0,0,0.6,0,195.8,106,98.1,9.4,13.2
0,123,1,0,0.3,0,214.9,107,31.1,8.6,11.7
0,80,1,0,2.2,1,142.1,116,42.3,8.4,7.2
0,171,0,0,1.4,3,75.3,67,60.1,6.4,10.6
0,98,0,1,-1.4,-2,213.6,68,93.2,9.4,7.3
0,32,1,1,0.0,1,239.7,113,47.1,10.6,9.8
0,124,1,1,1.2,2,167.5,107,38.8,7.3,10.7
0,95,0,1,-0.4,0,228.1,84,65.3,7.8,8.0
0,98,1,1,3.4,1,161.5,107,52.2,7.6,12.3
0,136,1,1,1.0,0,174.8,72,67.2,6.5,12.7
0,90,1,0,-0.1,0,275.2,165,55.1,7.6,11.0
0,89,1,0,-0.6,1,163.9,126,42.2,9.5,11.4
0,51,1,0,2.0,0,160.7,112,94.9,6.6,6.2
1,79,1,0,-0.0,0,77.9,101,7.8,9.7,14.0
0,110,1,0,1.3,1,217.4,88,86.2,8.3,10.0
1,77,1,0,-0.6,4,141.1,74,71.6,7.7,7.6
0,34,1,0,0.9,2,187.8,98,44.1,11.0,10.6
0,127,1,1,0.0,2,162.6,83,87.1,8.4,12.3
