customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges
CUST3570,Male,0,Yes,No,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,6277.76
CUST1719,Male,1,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card,311.57
CUST3569,Female,1,No,No,40,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card,2892.4
CUST1291,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,771.9
CUST0176,Male,1,No,Yes,62,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,2705.06
CUST1690,Female,0,No,No,19,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,384.18
CUST0616,Male,1,No,No,17,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,1709.69
CUST5562,Male,1,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,897.28
CUST4444,Female,0,No,Yes,66,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,5215.32
CUST5652,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,119.65
CUST0570,Female,1,No,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,6670.71
CUST2590,Female,1,No,Yes,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,2011.58
CUST1238,Male,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,6832.4
CUST1691,Female,1,No,No,68,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,3057.28
CUST3941,Female,0,No,Yes,51,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer,5249.94
CUST2025,Female,0,No,Yes,19,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,2251.31
CUST5227,Female,0,No,Yes,2,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,229.06
CUST4228,Female,1,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,3456.18
CUST5614,Male,0,No,No,3,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,75.45
CUST3116,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,2396.73
CUST1724,Female,1,No,Yes,15,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card,362.7
CUST1099,Male,1,No,No,31,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card,3526.25
CUST5169,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,1464.32
CUST5504,Male,0,Yes,No,23,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Electronic check,520.26
CUST5799,Male,1,Yes,No,49,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,1720.39
CUST3652,Female,1,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,1285.62
CUST3678,Male,1,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,4764.37
CUST4969,Female,0,No,No,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,5786.2
CUST3244,Female,1,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card,1508.15
CUST2696,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,1379.04
CUST4115,Male,1,Yes,Yes,29,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card,612.48
CUST1222,Male,0,No,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,2206.36
CUST4149,Female,1,No,No,6,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Bank transfer,678.12
CUST0151,Male,0,No,Yes,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,2442.55
CUST5022,Female,0,No,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,6834.72
CUST1518,Female,1,No,No,52,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card,1508.52
CUST4729,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,402.01
CUST2560,Female,1,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,329.36
CUST2808,Male,1,Yes,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card,187.11
CUST1578,Female,1,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer,1045.8
CUST4093,Male,1,No,No,70,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer,3778.6
CUST3655,Female,0,No,Yes,30,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,2905.8
CUST0291,Male,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,48.55
CUST0259,Male,0,Yes,Yes,60,No,No phone service,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,3474.6
CUST1414,Female,1,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,2225.65
CUST4483,Female,0,Yes,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer,1486.32
CUST2603,Male,1,Yes,No,69,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card,6924.84
CUST3934,Male,1,No,No,8,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,619.28
CUST3661,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,88.1
CUST1397,Male,1,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card,1743.0
CUST3473,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,8057.32
CUST4343,Male,0,Yes,No,28,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,2839.2
CUST1162,Female,1,No,Yes,17,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer,1675.35
CUST2703,Male,0,Yes,Yes,66,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer,3352.14
CUST2596,Male,1,No,No,69,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,7454.76
CUST3543,Female,1,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer,281.28
CUST3066,Male,0,Yes,No,5,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,504.7
CUST1699,Female,1,Yes,Yes,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,3457.72
CUST4171,Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,4246.26
CUST1206,Male,1,Yes,Yes,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,4619.7
CUST5391,Female,0,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,348.0
CUST0142,Female,1,Yes,No,46,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer,1030.4
CUST3539,Male,1,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,1547.4
CUST3072,Male,0,No,No,30,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,2775.9
CUST5717,Male,1,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,635.04
CUST1136,Male,0,Yes,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,6826.65
CUST0288,Male,1,No,Yes,18,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer,1847.52
CUST0419,Female,1,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,4314.2
CUST2691,Male,1,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card,853.65
CUST4215,Male,1,Yes,Yes,52,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer,3357.12
CUST1884,Male,0,Yes,No,28,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,1545.6
CUST3512,Male,0,No,No,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,1537.8
CUST4681,Male,1,Yes,Yes,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,2457.0
CUST5178,Female,0,No,No,68,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,3745.44
CUST2929,Female,1,Yes,Yes,17,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card,751.91
CUST1686,Female,0,Yes,Yes,10,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card,571.4
CUST4137,Female,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,241.89
CUST2782,Male,1,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,2050.4
CUST1853,Male,1,Yes,No,70,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,6787.2
CUST2031,Male,1,Yes,Yes,42,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer,3857.7
CUST2615,Female,1,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1010.42
CUST4248,Male,1,Yes,Yes,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,1584.9
CUST4940,Male,1,No,No,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,3122.82
CUST4033,Female,1,No,Yes,68,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Electronic check,3872.6
CUST2079,Female,0,No,Yes,67,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,6144.57
CUST1313,Male,1,Yes,Yes,10,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Mailed check,392.4
CUST5876,Male,0,No,No,22,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,1439.46
CUST4015,Female,1,No,Yes,29,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,1075.03
CUST5307,Male,1,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,3765.56
CUST3369,Male,1,Yes,Yes,34,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card,3940.94
CUST1069,Male,1,Yes,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,1365.54
CUST0972,Male,0,Yes,No,33,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,1597.86
CUST3650,Female,1,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,1373.3
CUST3615,Male,0,No,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,1366.4
CUST2126,Male,1,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,1015.98
CUST5853,Female,0,No,Yes,24,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,1601.04
CUST0788,Female,1,No,No,38,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card,1395.36
CUST1709,Female,0,Yes,No,50,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer,4050.5
CUST2105,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,91.28
CUST4419,Male,1,No,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer,3708.9
CUST3998,Female,0,No,No,62,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4659.3
CUST1363,Female,0,Yes,No,57,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,Yes,Credit card,2347.26
CUST1142,Female,0,Yes,Yes,69,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card,1971.33
CUST0900,Male,1,Yes,No,13,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card,829.66
CUST2941,Male,0,No,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,1270.5
CUST0561,Male,1,No,No,25,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,2691.0
CUST3956,Male,0,Yes,No,59,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,4095.78
CUST1563,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,434.42
CUST5792,Male,1,No,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,6281.8
CUST5569,Male,1,No,No,43,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,2207.62
CUST2824,Female,0,Yes,Yes,41,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,3075.0
CUST4693,Female,1,Yes,Yes,29,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,3379.95
CUST3294,Female,0,No,Yes,20,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,517.4
CUST0441,Female,1,Yes,No,58,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,3826.84
CUST5456,Female,1,Yes,No,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,7098.0
CUST5060,Female,0,Yes,Yes,42,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,4638.9
CUST1233,Male,1,Yes,No,50,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,2310.0
CUST3163,Male,1,Yes,Yes,47,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer,1454.18
CUST0177,Male,0,Yes,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,1583.4
CUST3360,Female,0,No,Yes,25,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,2457.75
CUST2061,Female,1,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,2978.92
CUST5154,Male,1,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Credit card,558.27
CUST0228,Male,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,4217.26
CUST1090,Female,1,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,143.31
CUST5535,Female,1,Yes,Yes,57,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,2216.16
CUST3150,Male,0,Yes,No,7,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,634.62
CUST2660,Female,1,No,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,2626.16
CUST3663,Male,1,Yes,No,28,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,1470.28
CUST4824,Male,0,No,Yes,3,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,295.8
CUST3367,Female,1,Yes,Yes,34,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Credit card,1523.2
CUST4644,Female,0,No,Yes,37,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,1090.39
CUST5248,Female,1,Yes,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,3279.76
CUST4771,Female,0,No,No,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,1350.54
CUST2870,Female,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,1021.02
CUST2765,Female,1,No,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,689.28
CUST2829,Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,5220.18
CUST0390,Male,1,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,38.86
CUST1223,Male,1,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Mailed check,5857.95
CUST1236,Male,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,3253.8
CUST3922,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,339.03
CUST3076,Female,0,No,No,47,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Bank transfer,4047.64
CUST1509,Female,1,No,No,58,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Credit card,3651.68
CUST2643,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,3766.0
CUST4164,Female,1,No,Yes,67,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,1723.91
