Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Score,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month
19.0,23.0,7.0,30.46329392783492,231.0,NM,15.558120579103528,296.4063564252564,2,Bad,High_spent_Medium_value_payments,26.0,7091.66,10.0,7.0,15.0,2.0,835.9716666666667,4.23,1706.05,11.632689662306769
40.0,25.0,11.0,32.37840310311233,206.0,NM,149.7085649724344,219.79797964785087,1,Bad,Low_spent_Large_value_payments,43.0,16012.64,8.0,5.0,24.0,4.0,1108.3866666666663,14.49,1527.67,31.3321220463813
24.0,15.0,7.0,38.41376455720291,399.0,Yes,44.68412044844077,378.6142663668917,2,Standard,Low_spent_Small_value_payments,20.0,19491.84,6.0,4.0,17.0,1.0,1858.32,7.63,1158.75,12.53361318466754
25.0,17.0,7.0,27.446570236829523,209.0,Yes,242.35768282946847,529.4418171705314,2,Standard,High_spent_Medium_value_payments,20.0,57563.94,4.0,7.0,18.0,0.0,4917.995,8.03,1443.0,0.0
46.0,15.0,9.0,29.0335622262322,139.0,Yes,133.59598265358247,388.2695164705909,1,Standard,High_spent_Medium_value_payments,30.0,47404.02,7.0,9.0,24.0,6.0,3883.3350000000014,11.61,2621.5,156.46800087582668
4.0,8.0,4.0,34.02365335160029,287.0,No,121.35676483054084,446.436738511918,3,Good,High_spent_Medium_value_payments,40.0,40878.85,0.0,5.0,11.0,4.0,3440.570833333333,9.86,1360.31,105.01709131492088
15.0,17.0,11.0,35.11102996093441,346.0,Yes,252.8010033629784,384.7171514551203,2,Standard,Low_spent_Medium_value_payments,21.0,83164.79999999999,4.0,5.0,9.0,4.0,6942.399999999999,17.9,544.54,222.7160676733667
15.0,8.0,4.0,38.97856002121112,193.0,No,46.54253633523219,438.2380216201223,3,Good,High_spent_Medium_value_payments,27.0,35455.23,0.0,4.0,1.0,2.0,2913.6025000000004,3.78,33.16,46.579692044645576
13.0,19.0,3.0,30.902759250057453,321.0,Yes,411.0035073835647,605.5634926164355,2,Standard,High_spent_Large_value_payments,35.0,93536.04,6.0,6.0,20.0,0.0,7565.670000000001,11.83,863.78,0.0
2.0,9.0,3.0,29.59439134116693,316.0,No,129.03952786140312,916.5089721385972,3,Good,High_spent_Large_value_payments,20.0,99161.82,3.0,6.0,8.0,0.0,8055.4850000000015,1.83,1159.42,0.0
13.0,20.0,7.0,36.80451775153285,83.0,Yes,130.3177294814038,266.3012714401446,2,Standard,Low_spent_Small_value_payments,36.0,19029.31,4.0,4.0,13.0,2.0,1303.7758333333334,17.36,544.97,23.75858241178485
24.0,8.0,0.0,30.84604841377016,275.0,Yes,214.45622010233373,731.3130298976663,2,Standard,High_spent_Medium_value_payments,42.0,82196.31,8.0,5.0,12.0,0.0,6957.6925,19.31,888.94,0.0
30.0,13.0,8.0,35.59328834064827,300.0,No,181.0801369672333,466.21534603961993,2,Standard,High_spent_Medium_value_payments,24.0,54000.9,4.0,5.0,14.0,2.0,4661.075,3.28,1105.99,78.81201699314676
26.0,16.0,3.0,28.84302427534521,195.0,Yes,183.43036042929225,281.2680858379399,2,Standard,High_spent_Medium_value_payments,36.0,36875.14,6.0,4.0,13.0,4.0,2845.9283333333333,18.42,473.6,109.89438706610116
9.0,3.0,7.0,33.789797779856904,331.0,No,217.28338654221267,305.30206177602275,2,Good,Low_spent_Small_value_payments,55.0,28741.71,5.0,5.0,9.0,2.0,2606.1425,2.86,993.17,28.02880168176461
14.0,20.0,4.0,28.27089495234529,328.0,Yes,53.44238212301087,337.2022632198988,2,Standard,Low_spent_Small_value_payments,16.0,13699.52,6.0,7.0,7.0,4.0,1327.6266666666668,13.76,608.16,32.118021323757056
50.0,15.0,10.0,36.59724698053251,141.0,Yes,119.13768093339736,220.62627269169155,2,Bad,Low_spent_Small_value_payments,26.0,14387.88,10.0,6.0,32.0,6.0,1165.99,27.67,2842.68,56.83504637491106
9.0,1.0,0.0,29.78356216786642,276.0,NM,293.53247221521406,492.6946944514526,3,Good,Low_spent_Large_value_payments,22.0,61839.26,4.0,5.0,12.0,0.0,5162.2716666666665,1.27,1014.5,0.0
22.0,9.0,11.0,32.04767757858072,116.0,Yes,148.71455722458447,254.12138954115625,1,Standard,Low_spent_Small_value_payments,20.0,14773.91,6.0,10.0,25.0,4.0,1423.1591666666666,13.91,2370.05,29.479969900925934
20.0,19.0,7.0,28.04042495494271,69.0,Yes,124.9421997190568,618.2002739972921,2,Standard,Low_spent_Small_value_payments,39.0,64110.51,8.0,4.0,6.0,1.0,5217.5425,19.62,174.22,28.61177628365101
42.0,22.0,7.0,31.952204790179213,228.0,NM,72.4402484125309,300.9476784967381,1,Bad,Low_spent_Small_value_payments,29.0,7186.5,6.0,10.0,23.0,7.0,850.875,5.89,2241.6,23.63380882376321
33.0,28.0,9.0,24.318492938869184,68.0,Yes,185.6122356270248,435.637670845875,1,Bad,Low_spent_Small_value_payments,46.0,71734.24,8.0,10.0,34.0,4.0,5906.8533333333335,2.54,2290.25,219.4354268604336
23.0,13.0,1.0,34.445292151986884,350.0,Yes,81.63293277810547,396.3273931299845,2,Standard,Low_spent_Small_value_payments,26.0,26299.08,3.0,7.0,9.0,3.0,2490.59,5.07,397.04,41.098674091910055
8.0,9.0,2.0,37.45311207446043,357.0,Yes,129.28477441345808,841.9137620040925,3,Standard,High_spent_Large_value_payments,38.0,93939.36,5.0,6.0,5.0,1.0,8023.28,1.72,231.85,71.1294635824494
7.0,2.0,2.0,22.26330080046091,240.0,No,308.40467979192204,240.94822356172529,2,Good,High_spent_Medium_value_payments,34.0,122309.67,0.0,6.0,3.0,4.0,9999.4725,6.68,1209.3,401.5730160021872
60.0,20.0,11.0,33.879182178883106,75.0,Yes,441.82769173637314,132.6624596292786,2,Bad,High_spent_Large_value_payments,38.0,83601.84,9.0,5.0,29.0,7.0,7235.82,17.87,4290.72,439.0918486343482
22.0,8.0,0.0,25.52456026930512,326.0,No,344.30183078816674,639.6487526401423,1,Good,High_spent_Large_value_payments,24.0,104744.88,1.0,4.0,8.0,4.0,8989.74,6.69,705.05,195.0234165716909
22.0,13.0,6.0,27.06745155681248,164.0,NM,79.60961916414789,412.0645131871469,2,Standard,High_spent_Medium_value_payments,15.0,34471.16,8.0,6.0,13.0,2.0,2682.596666666667,17.84,561.18,36.5855343153719
23.0,9.0,3.0,38.97853176759557,324.0,Yes,384.90035713464175,364.8491999721084,2,Standard,High_spent_Medium_value_payments,49.0,59412.78,4.0,7.0,14.0,1.0,5073.065,12.73,936.76,37.55694289324979
10.0,20.0,2.0,30.02003585312395,322.0,Yes,152.86501350804332,375.54088184672,2,Standard,High_spent_Large_value_payments,20.0,34642.94,3.0,5.0,7.0,3.0,3180.911666666667,10.84,1079.65,49.685271311903456
56.0,21.0,6.0,34.379625482345354,147.0,Yes,294.4155371785631,310.8429579008188,1,Bad,High_spent_Medium_value_payments,38.0,60520.95,10.0,8.0,18.0,5.0,4783.4125,25.88,3615.94,163.0827549206182
53.0,20.0,8.0,25.093936755432715,42.0,Yes,96.92861729677828,235.8591887135409,1,Bad,Low_spent_Medium_value_payments,40.0,16451.96,8.0,5.0,27.0,6.0,1243.996666666667,19.9,3137.43,71.6118606563475
8.0,11.0,5.0,30.40765238607253,116.0,Yes,215.50434570153865,358.44218793610884,1,Standard,Low_spent_Small_value_payments,23.0,34601.35,5.0,3.0,14.0,2.0,3141.445833333333,15.15,68.23,30.198049695685768
35.0,13.0,2.0,41.24878513538607,252.0,Yes,99.36071291876308,452.09246018910767,2,Standard,Low_spent_Small_value_payments,18.0,40000.96,3.0,3.0,5.0,1.0,3187.413333333333,14.58,1326.39,17.28816022546259
13.0,9.0,3.0,38.7697155748193,282.0,No,256.1344957976143,621.073337535719,2,Good,Low_spent_Medium_value_payments,45.0,71148.94,1.0,3.0,1.0,0.0,5972.078333333334,7.84,518.43,0.0
7.0,7.0,6.0,35.92417604571009,112.0,Yes,810.6335221269683,551.8001763342922,2,Standard,High_spent_Large_value_payments,28.0,110692.47,4.0,6.0,18.0,6.0,9428.3725,12.33,1134.69,402.4758281913585
25.0,17.0,2.0,29.85618749684796,274.0,No,1066.7319605904836,365.3927060761828,3,Standard,High_spent_Small_value_payments,25.0,142106.96,6.0,3.0,19.0,0.0,11621.246666666664,2.46,551.73,0.0
4.0,4.0,0.0,31.661990772146265,261.0,No,1034.2405073370985,220.79595787715888,3,Good,High_spent_Large_value_payments,20.0,120986.25,3.0,4.0,5.0,1.0,10288.1875,4.63,1010.15,53.7822847857429
59.0,16.0,12.0,24.55263304559759,62.0,Yes,35.82656342274199,300.6395201446965,2,Bad,High_spent_Small_value_payments,21.0,7698.58,9.0,10.0,29.0,5.0,731.5483333333333,22.86,2573.23,26.68874976589489
18.0,16.0,5.0,38.43506851917609,69.0,Yes,85.29563835337817,412.1283825119104,2,Standard,High_spent_Medium_value_payments,16.0,35812.37,5.0,4.0,6.0,2.0,2794.3641666666667,13.99,310.91,32.01239580137807
0.0,1.0,2.0,26.68873422978341,287.0,No,96.84549365926468,333.1508660287696,2,Good,Low_spent_Small_value_payments,41.0,21380.065,2.0,2.0,5.0,3.0,2005.672083333333,5.79,764.08,30.57084864529907
18.0,17.0,3.0,35.31103149933317,201.0,No,14.702345239404066,334.73381684713627,2,Standard,Low_spent_Small_value_payments,42.0,16757.525,7.0,6.0,10.0,1.0,1131.4604166666668,4.41,1483.41,13.709879580126335
15.0,17.0,4.0,28.91962829896518,297.0,Yes,109.55872959818068,295.23529087237966,2,Standard,High_spent_Medium_value_payments,37.0,20496.79,3.0,3.0,6.0,2.0,1635.065833333333,3.37,1165.77,28.712562862772945
39.0,21.0,12.0,27.803088465662828,6.0,Yes,265.4238858991629,220.47859912339183,2,Bad,Low_spent_Large_value_payments,43.0,33343.64,7.0,10.0,23.0,6.0,3042.6366666666668,0.56,4997.1,88.3611816441119
14.0,18.0,8.0,24.641748886287782,142.0,Yes,267.55897370871577,232.3724271552514,2,Standard,Low_spent_Large_value_payments,32.0,43600.04,8.0,4.0,17.0,5.0,3880.336666666666,16.35,773.73,178.10226580269955
6.0,15.0,8.0,31.65072824923701,100.0,Yes,81.67158051789747,340.83733581935,2,Standard,Low_spent_Small_value_payments,24.0,17223.875,3.0,5.0,16.0,4.0,1599.529004765349,11.57,637.5,35.96628020522725
58.0,15.0,12.0,26.527868804102308,218.0,Yes,187.2367817250636,252.2713203136884,1,Bad,High_spent_Medium_value_payments,34.0,19213.81,9.0,8.0,28.0,3.0,1812.150833333333,16.27,1576.95,31.70698129458141
29.0,18.0,6.0,38.93049568951764,269.0,Yes,338.04989270486567,829.5897739618008,2,Standard,Low_spent_Large_value_payments,41.0,111112.76,7.0,5.0,13.0,0.0,8976.396666666666,19.75,261.78,0.0
6.0,14.0,12.0,31.19718690286179,167.0,Yes,87.436543385491,280.23246096525787,1,Standard,Low_spent_Small_value_payments,33.0,17290.42,6.0,4.0,31.0,7.0,1426.868333333333,16.86,1594.66,65.0178289825844
54.0,15.0,8.0,26.604293816415503,100.0,Yes,296.7127886403077,156.06256377516803,2,Bad,High_spent_Medium_value_payments,16.0,52982.06999999999,6.0,8.0,31.0,8.0,4344.1725,18.37,3951.34,271.64189758452426
52.0,19.0,7.0,34.39105937796122,206.0,Yes,99.21908194154548,236.3008814055236,1,Standard,Low_spent_Small_value_payments,37.0,16862.88,8.0,8.0,22.0,7.0,1273.24,19.07,1377.71,81.80403665293096
44.0,19.0,10.0,25.20591845651101,153.0,Yes,179.63611053105063,299.2431635961188,1,Bad,High_spent_Medium_value_payments,40.0,58372.92,7.0,9.0,18.0,5.0,5067.41,26.77,3267.56,178.04430649179264
12.0,12.0,11.0,42.58933154055861,234.0,Yes,79.69272122948955,737.0609454371772,2,Standard,High_spent_Medium_value_payments,22.0,71010.44,3.0,7.0,15.0,0.0,5667.536666666668,13.24,1472.81,0.0
38.0,24.0,14.0,32.979987183970664,173.0,Yes,54.32276858901938,284.20750901404966,2,Bad,Low_spent_Small_value_payments,22.0,9336.935,6.0,6.0,25.0,7.0,887.0779166666665,15.72,3572.04,40.177514063597606
6.0,0.0,1.0,23.81906889663936,328.0,No,711.6068009695986,265.4847587269704,2,Good,Low_spent_Large_value_payments,52.0,105295.08,2.0,3.0,7.0,4.0,8854.59,10.02,321.36,178.3674403034312
18.0,25.0,9.0,24.36461780057,82.0,Yes,525.8415296419863,18.98462783351169,1,Bad,Low_spent_Large_value_payments,42.0,61262.76,6.0,9.0,20.0,5.0,5054.23,7.2,2357.37,250.596842524502
30.0,16.0,1.0,35.70642441672012,364.0,Yes,160.57300259294271,807.1486804703079,2,Standard,High_spent_Large_value_payments,32.0,120348.8,7.0,5.0,8.0,4.0,10268.066666666668,14.98,166.0,299.08498360341616
19.0,15.0,7.0,24.01655809850224,362.0,Yes,55.88990034598506,316.296413711387,2,Standard,Low_spent_Medium_value_payments,52.0,11421.51,5.0,3.0,14.0,3.0,1030.7925,15.72,1278.12,20.892935942627965
22.0,20.0,8.0,33.294910857590445,227.0,Yes,154.21546001499502,279.18904999929885,2,Standard,Low_spent_Medium_value_payments,15.0,73425.16,3.0,3.0,13.0,7.0,6103.763333333332,15.21,1205.13,426.97182331903946
34.0,9.0,8.0,22.935145199680672,76.0,Yes,159.19887504497976,254.86288735870448,1,Standard,High_spent_Small_value_payments,34.0,23814.73,3.0,4.0,10.0,4.0,2104.560833333333,13.05,837.41,76.39432092964908
10.0,11.0,2.0,41.44576416629773,257.0,NM,154.384432008314,433.4864846583528,2,Good,Low_spent_Small_value_payments,41.0,42776.51,4.0,4.0,3.0,0.0,3278.709166666667,1.45,152.77,0.0
18.0,2.0,1.0,40.54272787031214,233.0,No,521.616795853682,811.6031926162415,1,Good,High_spent_Large_value_payments,29.0,161272.04,1.0,7.0,7.0,3.0,13312.336666666668,6.94,705.53,288.01367819674346
8.0,7.0,2.0,33.71333267945284,340.0,No,55.73877052868511,381.9724955833999,3,Good,Low_spent_Small_value_payments,39.0,29220.83,2.0,2.0,12.0,4.0,2624.0691666666667,0.6,1051.51,84.69565055458169
45.0,15.0,12.0,28.494154346877465,225.0,Yes,227.4166014632695,358.9736345039509,1,Bad,Low_spent_Small_value_payments,38.0,40085.46,6.0,6.0,18.0,5.0,3455.455,1.97,2343.0,142.1126209131704
9.0,10.0,4.0,37.74508577612912,281.0,No,51.89175526319082,578.3087656577644,3,Good,High_spent_Large_value_payments,18.0,70414.1,2.0,3.0,9.0,4.0,6112.841666666667,9.24,422.72,221.08364574571152
30.0,7.0,1.0,39.14797616503747,209.0,No,104.17775641458935,728.7963263086324,1,Good,High_spent_Large_value_payments,42.0,87027.66,1.0,6.0,5.0,3.0,7494.305,10.96,884.63,139.9342826155717
12.0,9.0,8.0,35.00306657192028,121.0,Yes,175.71099976134246,211.2902474116532,1,Standard,Low_spent_Medium_value_payments,17.0,19297.28,5.0,5.0,19.0,6.0,1489.1066666666666,10.09,2286.82,51.909419493671045
58.0,15.0,13.0,31.953834334611567,170.0,Yes,46.524170996218096,319.12989405835134,1,Standard,Low_spent_Small_value_payments,22.0,14841.17,7.0,6.0,33.0,2.0,989.7641666666666,10.2,1371.17,23.322351612097176
41.0,24.0,12.0,22.20839212059849,244.0,Yes,499.8307008907403,229.6172045861934,1,Bad,High_spent_Large_value_payments,18.0,78162.72,10.0,7.0,22.0,4.0,6619.56,3.28,2237.69,212.50809452306643
58.0,15.0,10.0,27.85325242983841,102.0,Yes,137.51593720911006,409.8009110832856,1,Bad,High_spent_Medium_value_payments,28.0,76386.04,8.0,7.0,24.0,7.0,6515.503333333332,2.02,3822.36,354.2334850409378
13.0,12.0,4.0,28.35215666368941,197.0,Yes,187.67912691059783,486.3260490147038,2,Standard,High_spent_Large_value_payments,38.0,77190.52,4.0,7.0,5.0,7.0,6470.543333333334,11.3,75.94,253.04915740803185
12.0,20.0,6.0,35.81295076029052,106.0,Yes,54.54888703259942,271.1867454156261,2,Standard,Low_spent_Small_value_payments,16.0,10279.675,3.0,4.0,20.0,4.0,754.6395833333332,16.68,2099.89,19.72832588510776
7.0,9.0,5.0,29.55364385174996,399.0,No,198.63797780729385,876.0902721927063,2,Good,High_spent_Medium_value_payments,33.0,102447.38999999998,5.0,4.0,4.0,0.0,8347.2825,8.54,190.48,0.0
21.0,19.0,2.0,24.335229329881223,304.0,Yes,137.3660578415431,301.2441237578836,2,Standard,Low_spent_Large_value_payments,43.0,24744.78,3.0,7.0,5.0,3.0,2101.065,17.95,134.1,61.49631840057334
27.0,10.0,5.0,33.00123477427889,185.0,Yes,151.48146599335828,342.6303019375779,2,Standard,High_spent_Medium_value_payments,22.0,69304.04,5.0,7.0,11.0,7.0,5695.336666666666,7.76,1760.52,325.42189873573034
10.0,5.0,1.0,29.604782322844788,245.0,No,295.45820711419424,678.1125658968086,3,Good,High_spent_Large_value_payments,38.0,99845.4,1.0,1.0,11.0,2.0,8600.45,4.84,778.1,136.47422698899717
60.0,23.0,12.0,33.981715233811606,61.0,Yes,109.20535410581962,262.4290525316634,2,Bad,High_spent_Large_value_payments,16.0,82899.52,6.0,5.0,29.0,9.0,7069.293333333334,1.96,2550.26,575.2949266958503
42.0,18.0,16.0,25.385877554459764,152.0,NM,84.29342909702943,295.26142661104666,2,Bad,Low_spent_Small_value_payments,33.0,14525.53,10.0,8.0,29.0,6.0,1133.4608333333333,21.38,2928.67,51.57384517542046
26.0,14.0,12.0,29.1494102889832,216.0,Yes,14.239827081830056,340.3361620418804,1,Bad,Low_spent_Small_value_payments,40.0,20081.52,6.0,6.0,22.0,2.0,1454.46,9.11,2468.95,30.870010876289548
57.0,23.0,12.0,40.49107551168965,74.0,Yes,30.567312205985196,406.4465537882723,1,Bad,High_spent_Medium_value_payments,15.0,54174.51,6.0,6.0,18.0,7.0,4236.5425,6.02,2236.88,226.6403840057425
28.0,16.0,9.0,33.35389316127945,179.0,Yes,16.877734588451226,283.00880912976896,1,Bad,Low_spent_Small_value_payments,46.0,8816.71,10.0,5.0,22.0,7.0,820.7258333333333,7.66,1709.48,32.186039615113145
52.0,18.0,10.0,39.13670878302232,155.0,Yes,120.06924916669271,332.71631224702213,1,Bad,High_spent_Large_value_payments,27.0,33684.42,6.0,9.0,18.0,5.0,2792.035,16.82,1329.97,116.41793858628525
30.0,15.0,4.0,33.07916384874044,243.0,No,277.33355662781645,528.5934433721836,2,Standard,Low_spent_Small_value_payments,47.0,59775.24000000001,4.0,6.0,16.0,0.0,5259.27,2.69,787.76,0.0
13.0,5.0,2.0,30.180482331839592,360.0,NM,91.86834168177036,309.1507726456577,3,Good,Low_spent_Medium_value_payments,21.0,15652.99,1.0,5.0,5.0,1.0,1318.4158333333332,5.86,37.63,10.822469005905187
38.0,19.0,6.0,32.07892539121561,105.0,Yes,127.7024355997341,299.83484665745993,1,Bad,Low_spent_Large_value_payments,40.0,36964.22,10.0,10.0,22.0,6.0,3025.351666666667,25.83,4004.45,106.91542741714476
21.0,28.0,10.0,39.25955530251152,85.0,Yes,106.9436425990182,398.7700568488825,1,Bad,High_spent_Medium_value_payments,34.0,58295.16,10.0,7.0,18.0,5.0,4590.93,21.04,2543.04,203.3793005520993
3.0,12.0,2.0,30.79191204182225,208.0,No,200.3189990460954,253.3117087446636,2,Good,Low_spent_Small_value_payments,53.0,21051.145,1.0,6.0,8.0,1.0,1791.262083333333,7.38,90.3,15.495500542574383
15.0,12.0,2.0,30.71554013828101,253.0,No,30.284430568954264,496.811984863519,3,Good,Low_spent_Small_value_payments,33.0,35166.35,4.0,4.0,2.0,1.0,3139.5291666666667,4.33,1185.57,26.85650123419343
6.0,11.0,4.0,30.822241208297072,352.0,Yes,80.4863299114306,371.3377973832992,2,Standard,Low_spent_Small_value_payments,21.0,19428.03,7.0,6.0,7.0,1.0,1809.0025,13.1,798.1,9.076122705270205
20.0,11.0,2.0,36.632340321823776,218.0,No,41.12957816557262,369.64152789072665,2,Standard,Low_spent_Large_value_payments,32.0,26094.08,7.0,5.0,11.0,3.0,2120.5066666666667,6.65,945.7,51.27956061036744
27.0,9.0,3.0,31.87541620454344,215.0,NM,262.97371721587706,1123.1754903296064,2,Good,High_spent_Large_value_payments,49.0,169710.52,2.0,3.0,3.0,2.0,14181.543333333331,10.41,1334.35,282.0051257878501
56.0,22.0,12.0,31.9005509901272,119.0,Yes,337.4042422846205,310.71889439692137,1,Bad,Low_spent_Medium_value_payments,15.0,72458.44,9.0,10.0,24.0,7.0,5826.203333333334,4.86,2085.35,224.49719665179148
17.0,14.0,5.0,30.984263636463748,213.0,Yes,162.84004308414654,205.9150903157969,2,Standard,Low_spent_Small_value_payments,44.0,14954.745,6.0,4.0,20.0,6.0,1331.22875,14.91,255.76,54.36774160005656
18.0,18.0,8.0,36.390054824871626,66.0,Yes,232.80834317155328,275.91924178543536,1,Bad,High_spent_Large_value_payments,32.0,57852.3,8.0,10.0,18.0,8.0,4571.025,20.67,4766.91,238.37491504301136
28.0,17.0,0.0,27.750506229742587,186.0,No,65.39390487121656,312.82970254221453,1,Good,High_spent_Medium_value_payments,29.0,21551.57,4.0,7.0,6.0,3.0,1774.9641666666666,5.07,991.04,49.27280925323564
41.0,21.0,8.0,30.88836298323543,211.0,Yes,152.64863339879406,205.4895933054661,1,Bad,Low_spent_Medium_value_payments,21.0,17856.72,8.0,6.0,23.0,6.0,1440.0600000000004,0.65,1431.47,75.86777329573991
18.0,10.0,4.0,26.77204240972201,293.0,NM,99.32688238443308,393.93304334675486,3,Good,High_spent_Medium_value_payments,28.0,34176.53,6.0,4.0,8.0,1.0,2584.0441666666666,4.95,952.29,15.144490935478732
16.0,20.0,6.0,33.09448887983071,186.0,Yes,30.956981406040352,261.9649779107491,1,Standard,Low_spent_Small_value_payments,41.0,9095.29,7.0,5.0,16.0,6.0,853.9408333333334,10.58,2016.31,42.47212401654394
11.0,22.0,2.0,33.34047240047655,256.0,No,435.4969980916212,298.9253044511321,3,Good,High_spent_Medium_value_payments,38.0,59893.26,6.0,3.0,9.0,1.0,5052.105000000001,3.89,1457.41,40.78819745724682
18.0,18.0,9.0,25.243018472834528,19.0,NM,297.032138646322,241.77481822024487,2,Bad,High_spent_Large_value_payments,37.0,59759.68,10.0,6.0,19.0,6.0,5062.973333333333,23.04,3676.39,243.2266636037808
35.0,23.0,8.0,35.38151938968079,217.0,Yes,97.83368625600224,277.4391799379504,1,Bad,Low_spent_Small_value_payments,29.0,20511.16,7.0,8.0,34.0,7.0,1922.263333333333,6.63,2438.68,106.9534671393807
4.0,15.0,7.0,31.120066461566523,191.0,Yes,20.57919360125152,372.4157568842812,3,Standard,High_spent_Medium_value_payments,42.0,20597.09,5.0,5.0,18.0,4.0,1848.424166666667,8.84,571.1,41.8474661811338
15.0,10.0,1.0,30.77957234630716,243.0,Yes,160.8512965212476,978.4846163929408,2,Standard,High_spent_Large_value_payments,44.0,119242.68,8.0,3.0,7.0,1.0,9849.89,1.54,746.75,85.65308708581176
8.0,11.0,1.0,26.095308902186964,218.0,No,45.632198261394464,360.1043728706704,2,Good,High_spent_Medium_value_payments,23.0,21488.17,4.0,4.0,7.0,3.0,1681.680833333333,2.86,553.06,42.4315122012685
7.0,4.0,3.0,31.59640794952413,356.0,No,313.8994206984894,370.3887206681784,2,Good,High_spent_Medium_value_payments,29.0,79548.32,4.0,1.0,3.0,4.0,6355.026666666668,3.3,870.51,211.21452529999908
8.0,8.0,0.0,41.315484585279215,195.0,No,136.97403363728674,422.8169663627133,3,Good,Low_spent_Large_value_payments,52.0,33346.92,5.0,3.0,1.0,0.0,2696.002503952489,3.82,396.63,301.90749604751085
18.0,14.0,1.0,23.27246567925188,244.0,No,297.74254561187,162.2469236109985,2,Standard,High_spent_Medium_value_payments,38.0,27964.68,8.0,3.0,6.0,4.0,2224.39,2.84,1213.1,52.44953077713148
8.0,17.0,11.0,33.43851951485041,96.0,NM,142.65517616563363,285.6465377497522,2,Standard,Low_spent_Small_value_payments,42.0,18675.65,3.0,6.0,18.0,2.0,1548.3041666666668,11.52,1352.15,16.528702751280758
30.0,8.0,3.0,38.591102043202376,377.0,Yes,18.392916750552192,300.9006043294702,2,Standard,Low_spent_Small_value_payments,34.0,10426.61,5.0,4.0,5.0,1.0,852.8841666666667,11.35,656.86,5.994895586644307
15.0,7.0,0.0,39.12026686860507,381.0,No,49.68646977762486,709.582237449174,3,Good,Low_spent_Medium_value_payments,55.0,71878.92,2.0,1.0,5.0,2.0,6072.91,11.24,664.92,88.02229277320117
14.0,8.0,1.0,29.709957896644543,192.0,NM,145.67241923029252,657.5663788695861,2,Standard,High_spent_Medium_value_payments,51.0,93847.86,3.0,4.0,12.0,3.0,7599.655,11.52,1405.22,196.7267019001216
