Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Amount_invested_monthly,Monthly_Balance,Credit_Mix,Payment_Behaviour,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Monthly_Inhand_Salary,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Credit_Score
18.0,12.0,2.0,31.78663340583934,366.0,No,267.97173278396104,450.5181408270639,Standard,High_spent_Medium_value_payments,45.0,61970.81999999999,8.0,4.0,13.0,1.0,4901.235,4.08,636.65,41.633626388975095,Standard
55.0,19.0,14.0,33.28966371373133,126.0,NM,58.89352604379672,402.6922900940789,Bad,High_spent_Large_value_payments,15.0,39234.08,8.0,9.0,31.0,4.0,3201.5066666666667,4.94,2176.02,98.564850528791,Poor
12.0,20.0,9.0,36.23104952985558,225.0,Yes,340.5599089324636,253.3348926612969,Standard,High_spent_Medium_value_payments,31.0,41293.1,5.0,4.0,13.0,2.0,3716.091666666666,8.78,1416.43,47.71436507290623,Good
9.0,12.0,6.0,34.382303234382185,173.0,Yes,17.971917483009094,391.7867242364808,Standard,Low_spent_Large_value_payments,27.0,28056.94,4.0,6.0,10.0,2.0,2115.078333333333,16.43,822.94,41.74919161384339,Standard
21.0,18.0,8.0,34.33876081188312,195.0,Yes,45.481575174921,273.5339094174294,Standard,Low_spent_Small_value_payments,40.0,9093.815,3.0,4.0,27.0,7.0,782.8179166666667,8.46,1879.03,49.26630707431625,Poor
7.0,10.0,4.0,36.122356884674296,287.0,No,75.4461364712385,355.0022392360502,Standard,Low_spent_Small_value_payments,24.0,20395.54,3.0,3.0,20.0,2.0,1909.628333333333,9.01,451.16,19.491290484892986,Standard
23.0,8.0,6.0,40.07133564628756,227.0,Yes,152.3194100323595,257.07702091394884,Standard,Low_spent_Small_value_payments,36.0,16770.91,7.0,7.0,30.0,6.0,1617.575833333333,10.44,2576.18,42.361152387025,Poor
6.0,0.0,0.0,30.32229475603156,354.0,No,120.35743211559334,377.8983320022118,Good,High_spent_Medium_value_payments,33.0,43655.04,5.0,7.0,5.0,4.0,3794.92,2.71,97.41,131.23623588219482,Standard
19.0,17.0,2.0,36.24418572866453,367.0,No,94.09866102532472,282.28934659962584,Standard,Low_spent_Small_value_payments,54.0,17321.505,6.0,7.0,13.0,1.0,1361.45875,7.64,589.67,14.369364225797485,Standard
54.0,23.0,7.0,29.91394282479795,52.0,Yes,63.43185905935307,281.3827838276423,Bad,Low_spent_Small_value_payments,16.0,9670.15,8.0,6.0,19.0,5.0,733.8458333333333,3.06,3566.81,35.31974339313966,Poor
16.0,12.0,12.0,28.503374172220525,164.0,NM,54.98166150196369,330.12341801668043,Bad,High_spent_Medium_value_payments,45.0,36760.86,6.0,5.0,17.0,5.0,2967.405,21.76,3596.56,151.63542048135594,Poor
30.0,12.0,7.0,25.605069938611287,68.0,Yes,20.9123476021478,362.4633724133582,Standard,Low_spent_Small_value_payments,37.0,17421.64,3.0,3.0,13.0,4.0,1645.803333333333,12.61,1442.1,31.204613317827388,Standard
15.0,13.0,3.0,34.837788336282195,303.0,No,49.12553536484773,265.05746139787686,Standard,Low_spent_Large_value_payments,28.0,11978.875,4.0,6.0,11.0,4.0,825.2395833333335,3.3,411.37,38.34096157060867,Poor
12.0,9.0,7.0,30.887575446185952,375.0,Yes,268.3247334209181,787.8311106126342,Standard,Low_spent_Medium_value_payments,38.0,143823.12,7.0,4.0,10.0,4.0,11901.26,14.6,1436.53,373.9701559664475,Standard
27.0,12.0,6.0,29.39537927932687,194.0,Yes,113.5124956277643,737.2966667370749,Standard,Low_spent_Medium_value_payments,39.0,79501.56,7.0,5.0,12.0,2.0,6836.13,19.94,533.41,82.80383763516075,Standard
12.0,16.0,0.0,40.8024485996428,212.0,Yes,0.0,319.1526415283064,Standard,Low_spent_Small_value_payments,27.0,11654.425,3.0,4.0,8.0,1.0,945.2020833333332,6.98,1154.58,8.996502339506062,Standard
59.0,19.0,7.0,39.631282688278354,218.0,Yes,94.82535191020575,282.0385980362191,Bad,Low_spent_Small_value_payments,34.0,17654.72,7.0,8.0,30.0,3.0,1173.2266666666667,1.61,1452.82,30.458716720241828,Standard
39.0,14.0,9.0,30.589418541654727,184.0,Yes,96.90776214852043,284.6170235757184,Standard,Low_spent_Small_value_payments,20.0,15411.93,7.0,10.0,32.0,4.0,1255.3275,9.58,2084.96,34.00796427576124,Poor
0.0,8.0,2.0,37.879694099620345,301.0,No,743.7500479090928,88.24967002432982,Good,High_spent_Medium_value_payments,40.0,72608.32,5.0,6.0,9.0,1.0,5855.693333333334,9.78,339.2,43.56961539991057,Poor
1.0,15.0,6.0,27.707866381634087,294.0,No,201.48666639474345,881.4529873435836,Good,High_spent_Large_value_payments,37.0,109563.36000000002,4.0,3.0,9.0,1.0,9271.28,8.74,214.57,84.18834626167323,Good
47.0,16.0,10.0,30.3304362131874,183.0,Yes,162.7849879189142,233.4705140135323,Bad,High_spent_Small_value_payments,44.0,17327.28,6.0,6.0,20.0,7.0,1716.9399999999996,18.3,2291.35,55.43849806755351,Poor
25.0,6.0,4.0,30.267627575572806,314.0,No,211.6645583587332,1381.8567749745998,Good,High_spent_Large_value_payments,29.0,162590.56,5.0,6.0,11.0,0.0,13535.213333333331,11.65,1000.11,0.0,Poor
17.0,8.0,1.0,27.931554263803147,295.0,No,69.78117344417072,339.54482655582933,Standard,Low_spent_Small_value_payments,43.0,15819.12,5.0,6.0,9.0,0.0,1393.26,8.95,114.81,0.0,Standard
21.0,13.0,8.0,24.08075477996969,122.0,Yes,31.57963517517807,349.82570294572173,Standard,Low_spent_Medium_value_payments,39.0,20818.74,8.0,5.0,15.0,3.0,1762.8950000000002,17.18,1821.25,44.88416187910022,Poor
27.0,16.0,8.0,26.121967584032568,180.0,Yes,68.53376141100249,273.97097633271784,Standard,Low_spent_Medium_value_payments,36.0,10299.565,5.0,9.0,28.0,2.0,712.2970833333335,8.5,1710.58,8.724970589613072,Standard
26.0,12.0,0.0,35.18000008896697,191.0,No,164.8400825776173,771.0032525261755,Standard,High_spent_Large_value_payments,49.0,81815.31,4.0,6.0,3.0,1.0,7036.9425,5.34,437.82,39.67611651171757,Standard
39.0,17.0,9.0,35.70061547224729,88.0,Yes,126.90060095193,193.15446800693985,Bad,Low_spent_Small_value_payments,22.0,15134.06,7.0,7.0,29.0,7.0,1018.1716666666664,4.03,2548.54,71.76209770779678,Poor
12.0,17.0,2.0,32.989803699943145,218.0,NM,181.5739217077427,213.15122115072887,Standard,Low_spent_Small_value_payments,43.0,20202.22,7.0,6.0,18.0,3.0,1480.5183333333334,11.74,197.54,43.32669047486176,Standard
14.0,12.0,8.0,34.45335970033482,239.0,Yes,45.71588276135192,330.884429859277,Standard,Low_spent_Large_value_payments,21.0,23809.46,3.0,4.0,14.0,5.0,1916.121666666667,7.7,677.77,85.01185404603773,Standard
3.0,19.0,9.0,28.731970721783338,221.0,Yes,477.5385067813429,714.6398179861452,Standard,High_spent_Small_value_payments,39.0,89126.25,4.0,5.0,19.0,2.0,7675.1875,15.8,631.58,125.29314199736976,Standard
19.0,13.0,1.0,40.77074447841178,366.0,Yes,200.2783353544745,725.9719956686423,Standard,High_spent_Small_value_payments,22.0,104994.57,7.0,4.0,9.0,3.0,8635.5475,12.2,536.97,187.30441897688345,Standard
23.0,11.0,9.0,38.46897129479418,206.0,Yes,689.84491089316,53.47097074292765,Standard,High_spent_Large_value_payments,25.0,78417.44,8.0,10.0,21.0,5.0,6772.786666666668,19.35,1656.54,213.9627850305792,Poor
8.0,3.0,5.0,24.377685364648272,393.0,No,78.36062442107676,330.02099431223536,Good,High_spent_Large_value_payments,33.0,21964.79,5.0,2.0,11.0,3.0,1783.3991666666668,11.38,1151.01,39.958297933354565,Good
52.0,21.0,7.0,24.26723833839021,9.0,Yes,179.142384489793,173.37033421937724,Bad,Low_spent_Medium_value_payments,22.0,32776.72,9.0,9.0,32.0,9.0,2500.393333333333,15.91,3270.52,177.52661462416316,Standard
0.0,10.0,6.0,33.855551568841335,378.0,No,153.37139760566254,1084.4099357276712,Good,High_spent_Large_value_payments,35.0,118845.76,0.0,7.0,10.0,0.0,9877.813333333334,9.38,101.26,0.0,Good
0.0,8.0,1.0,22.61353679054356,366.0,No,24.042170297709657,413.3036218901903,Good,High_spent_Large_value_payments,47.0,28227.45,3.0,6.0,2.0,2.0,2401.2875,9.66,256.96,42.78295781210015,Poor
24.0,21.0,8.0,38.50065862899119,41.0,Yes,108.24652530190218,200.30647259989948,Bad,Low_spent_Small_value_payments,17.0,20211.78,10.0,10.0,17.0,7.0,1571.3149999999996,27.19,3158.9,108.57850209819829,Standard
17.0,20.0,6.0,35.7654909037417,294.0,Yes,82.13483455768655,277.9833843977692,Standard,Low_spent_Medium_value_payments,24.0,11866.345,7.0,7.0,20.0,1.0,984.8620833333332,17.73,276.34,8.367989377877612,Standard
22.0,10.0,8.0,30.116802036126668,394.0,No,366.6593648984589,382.3641332743305,Standard,High_spent_Large_value_payments,34.0,61869.04,3.0,5.0,16.0,1.0,5098.753333333333,7.57,1065.89,50.85183516054396,Standard
14.0,10.0,4.0,32.887695014419066,186.0,No,885.5509698626196,71.19819680404703,Good,High_spent_Large_value_payments,45.0,78569.9,3.0,5.0,2.0,0.0,6667.491666666666,8.76,1316.34,0.0,Good
65.0,19.0,12.0,29.895840476468702,135.0,Yes,64.0078595703437,265.9206566676106,Bad,Low_spent_Small_value_payments,29.0,7567.505,6.0,7.0,21.0,5.0,749.6254166666665,26.4,4343.3,25.533190958147426,Poor
47.0,25.0,8.0,22.71734077049421,96.0,Yes,159.72630283030503,168.13837339158766,Bad,High_spent_Medium_value_payments,40.0,47589.24,10.0,7.0,26.0,9.0,4129.77,15.36,3883.96,335.1123237781074,Standard
4.0,3.0,2.0,27.45889010946885,357.0,No,289.78138094458274,286.9127987619919,Good,High_spent_Medium_value_payments,24.0,44328.22,4.0,6.0,1.0,4.0,3710.018333333333,7.7,616.4,84.3076536267587,Good
21.0,15.0,6.0,40.537190244372,64.0,Yes,308.04388758133166,119.03952653341996,Bad,Low_spent_Large_value_payments,43.0,55128.27,7.0,7.0,16.0,8.0,4854.0225,16.32,2694.82,328.31883588524835,Poor
39.0,17.0,10.0,29.748012787989005,148.0,Yes,92.8632859279947,475.8334075802126,Bad,High_spent_Medium_value_payments,40.0,58372.92,7.0,9.0,18.0,5.0,5067.41,26.77,3267.56,178.04430649179264,Standard
16.0,13.0,0.0,38.111158813697735,192.0,No,117.06594407183324,854.7538092081465,Standard,High_spent_Medium_value_payments,27.0,92565.81,4.0,5.0,14.0,1.0,7870.8175,10.95,1236.76,55.26199672002035,Standard
14.0,12.0,7.0,44.4500548680583,246.0,No,218.0094456229796,1195.1658877103534,Good,High_spent_Large_value_payments,28.0,137625.04,4.0,4.0,6.0,0.0,11731.753333333336,10.24,670.43,0.0,Good
8.0,2.0,4.0,27.886842060245737,249.0,No,139.1032291832017,707.4452042746386,Good,High_spent_Large_value_payments,34.0,104917.74,5.0,4.0,9.0,2.0,8526.145,2.1,460.58,173.93550031609828,Good
26.0,10.0,8.0,35.5660718573268,207.0,Yes,41.73975147461717,272.90816003196284,Standard,Low_spent_Small_value_payments,25.0,9481.025,4.0,6.0,32.0,6.0,561.0854166666667,17.78,2429.47,31.46063016008664,Poor
20.0,15.0,8.0,40.46472432338857,126.0,Yes,100.0367948471803,390.66784705507615,Standard,High_spent_Small_value_payments,25.0,90487.96,4.0,4.0,12.0,7.0,7330.663333333334,15.62,1416.61,482.36169143107696,Standard
23.0,16.0,11.0,37.891780671267206,33.0,Yes,98.30682437476923,357.2761841764016,Bad,Low_spent_Small_value_payments,15.0,72471.32,8.0,10.0,30.0,9.0,6097.276666666668,9.4,4439.31,394.14465811549593,Poor
36.0,28.0,6.0,38.4190552987896,3.0,Yes,34.16858106950232,268.1084828828542,Bad,High_spent_Small_value_payments,17.0,8205.14,9.0,9.0,34.0,8.0,969.3741895752472,16.51,3176.86,47.38657980572962,Standard
16.0,24.0,7.0,32.507338268875195,55.0,Yes,71.59472635905858,257.5541854807097,Bad,Low_spent_Medium_value_payments,30.0,9302.125,7.0,8.0,17.0,7.0,835.1770833333335,28.32,4056.54,34.36879649356504,Poor
47.0,18.0,13.0,30.57984900250686,129.0,Yes,42.800428295836255,320.6752068222208,Bad,High_spent_Medium_value_payments,41.0,39540.78,8.0,7.0,25.0,7.0,3410.065,26.32,3506.0,227.5308648819429,Standard
61.0,23.0,16.0,29.844339859504142,115.0,Yes,179.860142790545,189.2819276303345,Bad,Low_spent_Medium_value_payments,40.0,14241.48,8.0,8.0,29.0,6.0,1466.4867077223732,6.74,1596.22,67.84022185674678,Standard
25.0,8.0,4.0,29.94141706216377,350.0,Yes,182.401600199736,271.5658528932337,Standard,High_spent_Large_value_payments,21.0,26223.67,5.0,6.0,14.0,3.0,2387.3058333333333,8.06,462.91,54.76313024036377,Standard
29.0,15.0,4.0,29.25814645332253,353.0,Yes,702.4077305069054,195.39080190340587,Standard,Low_spent_Medium_value_payments,32.0,87605.68,5.0,7.0,19.0,3.0,7299.473333333332,3.65,512.74,112.14880092302204,Standard
29.0,11.0,5.0,29.24336687393611,185.0,Yes,167.20712370420938,411.3541885874523,Standard,High_spent_Medium_value_payments,15.0,57407.04,3.0,3.0,18.0,4.0,4570.92,9.64,895.05,128.53068770833835,Standard
21.0,17.0,3.0,29.154896656105,376.0,No,231.0360586995909,433.89802223987954,Standard,Low_spent_Small_value_payments,44.0,38666.02,3.0,6.0,6.0,1.0,3070.168333333333,3.59,1216.0,23.636662853945182,Standard
61.0,23.0,7.0,28.061593289828835,113.0,Yes,606.4631657148124,430.75604816630926,Bad,High_spent_Large_value_payments,30.0,75354.48,8.0,10.0,31.0,9.0,6563.54,9.01,2697.9,349.8449420802257,Poor
13.0,7.0,8.0,27.260894300581025,332.0,NM,95.91413369118172,380.82908092502953,Good,Low_spent_Small_value_payments,47.0,39362.03,0.0,3.0,10.0,4.0,3485.169166666666,10.03,1283.75,121.7737020504554,Standard
28.0,25.0,12.0,27.32525719396083,131.0,Yes,220.5042198558738,394.0910140181565,Bad,Low_spent_Small_value_payments,37.0,53935.11,7.0,10.0,24.0,5.0,4590.5925,25.22,4581.47,190.11928695173103,Poor
20.0,8.0,2.0,36.19127738400054,394.0,Yes,146.09330785054922,649.7739899945594,Standard,High_spent_Large_value_payments,52.0,72304.38,8.0,7.0,14.0,2.0,6099.365000000002,8.94,1295.99,64.06920215489151,Standard
8.0,12.0,0.0,34.48173954283892,311.0,No,456.4500524209514,529.4282241805868,Good,Low_spent_Medium_value_payments,47.0,98962.77,5.0,6.0,8.0,2.0,8044.897499999999,2.6,599.54,98.61147339846188,Good
28.0,15.0,12.0,39.67371315996616,138.0,Yes,220.30082599091105,251.0726948789361,Standard,Low_spent_Large_value_payments,29.0,45250.17,4.0,3.0,15.0,6.0,3751.8475,17.93,492.07,173.8112291301529,Standard
12.0,4.0,0.0,26.06560540328472,269.0,No,78.88842365218994,387.3789436037957,Good,High_spent_Medium_value_payments,41.0,37443.81,5.0,2.0,2.0,3.0,2990.3175,4.19,1110.5,82.76438274401436,Good
58.0,22.0,9.0,38.0276595495441,161.0,Yes,213.7565578651844,185.5115277413956,Bad,High_spent_Medium_value_payments,36.0,36573.8,9.0,9.0,31.0,8.0,2577.987997642031,24.37,4990.91,171.7135810600868,Good
25.0,11.0,3.0,36.4650483204216,325.0,Yes,410.7519723267037,595.8862948499034,Standard,Low_spent_Medium_value_payments,18.0,140875.88,6.0,4.0,16.0,4.0,11490.656666666668,8.91,299.78,392.4273994900599,Standard
29.0,12.0,5.0,39.48539895358263,199.0,Yes,188.5310542680969,232.01037293021443,Standard,Low_spent_Small_value_payments,36.0,31067.03,5.0,3.0,5.0,4.0,2297.9191666666666,8.2,778.68,79.25048946835538,Standard
24.0,14.0,1.0,26.07481523174404,267.0,NM,74.93862939638112,262.54630751738216,Standard,Low_spent_Small_value_payments,29.0,11586.525,5.0,6.0,18.0,2.0,943.54375,14.0,498.68,15.46654664404272,Standard
8.0,9.0,1.0,32.64294476067354,299.0,Yes,81.4631392710497,445.31735740725446,Standard,Low_spent_Large_value_payments,37.0,35701.42,7.0,4.0,11.0,1.0,2752.1183333333333,7.69,1462.79,18.43133665502912,Standard
0.0,9.0,2.0,29.11407393902396,310.0,No,89.378448952491,690.9795510475092,Good,High_spent_Medium_value_payments,38.0,65214.96,2.0,1.0,12.0,0.0,5403.58,10.82,341.02,0.0,Good
13.0,14.0,3.0,37.18834668251811,260.0,No,105.733553315288,922.7227434081404,Standard,High_spent_Large_value_payments,44.0,123511.28,8.0,3.0,15.0,4.0,10430.606666666668,0.8,1350.6,254.6043699432384,Standard
58.0,21.0,7.0,26.13973187336267,154.0,Yes,84.38010841179808,369.2509327316412,Bad,High_spent_Medium_value_payments,41.0,70064.92,7.0,10.0,16.0,8.0,5938.743333333333,26.61,3863.22,390.243292189894,Standard
15.0,15.0,6.0,34.363790209453164,13.0,Yes,17.24861161945037,268.3827563214836,Bad,Low_spent_Small_value_payments,25.0,7269.655,6.0,9.0,21.0,9.0,494.80458333333326,21.72,4399.03,33.849090392399376,Standard
3.0,1.0,3.0,38.19522711468316,293.0,No,244.6301395218434,312.3042570150204,Good,Low_spent_Small_value_payments,27.0,38868.12,3.0,4.0,1.0,1.0,3043.01,1.51,1150.03,27.36660346313619,Good
2.0,14.0,2.0,34.22066952201628,290.0,No,412.653479977351,221.49668085426904,Good,Low_spent_Medium_value_payments,23.0,106168.77,0.0,4.0,9.0,3.0,8700.3975,4.62,525.82,191.44880586599075,Standard
22.0,15.0,1.0,32.108259334070546,334.0,Yes,114.53355758899896,451.3868590776677,Standard,Low_spent_Small_value_payments,45.0,33410.45,4.0,6.0,19.0,0.0,3059.2041666666664,10.91,693.39,0.0,Standard
6.0,22.0,0.0,40.858432741604936,354.0,No,268.61728172283586,713.1640516104974,Standard,High_spent_Medium_value_payments,39.0,79929.76,8.0,6.0,11.0,0.0,6917.813333333333,6.28,739.66,0.0,Standard
35.0,14.0,16.0,24.45368449583902,241.0,Yes,515.4099893454119,152.54265752061963,Standard,High_spent_Medium_value_payments,30.0,53127.72,7.0,6.0,34.0,3.0,4655.31,7.04,1752.55,87.57835313396869,Poor
25.0,17.0,4.0,28.4456286303248,397.0,NM,234.7544598746477,294.0583001172529,Standard,High_spent_Medium_value_payments,47.0,29814.97,4.0,3.0,17.0,1.0,2731.580833333333,7.09,27.63,14.3453233414328,Good
30.0,18.0,2.0,35.367391550077684,286.0,No,156.8524112648575,299.6187095908001,Good,Low_spent_Small_value_payments,54.0,22332.37,8.0,4.0,12.0,1.0,1907.0308333333328,4.59,1154.5,14.231962477675763,Standard
50.0,17.0,7.0,29.05949065263556,7.0,Yes,322.0267661738968,233.4027053701897,Bad,High_spent_Medium_value_payments,15.0,49441.62,9.0,10.0,15.0,5.0,4419.135,23.1,3119.6,176.48402845591357,Standard
47.0,18.0,7.0,23.651824574083108,25.0,NM,62.885454478488725,246.02219944792407,Bad,Low_spent_Small_value_payments,27.0,19922.11,7.0,6.0,27.0,9.0,1508.1758333333337,23.54,4671.11,111.90992940692055,Standard
39.0,16.0,8.0,34.35894935277811,26.0,Yes,51.05689157692334,322.7653274812289,Bad,High_spent_Medium_value_payments,21.0,31598.5,9.0,7.0,27.0,5.0,2517.208333333333,18.79,4572.01,127.89861427518107,Standard
10.0,10.0,1.0,30.884917769314946,383.0,No,98.45896972033668,399.1886357137629,Standard,High_spent_Medium_value_payments,43.0,32464.1,4.0,3.0,10.0,1.0,2668.3416666666667,4.82,681.09,19.18656123256729,Standard
23.0,13.0,9.0,36.508832901696,88.0,Yes,59.22581794746735,264.4207566499145,Standard,Low_spent_Small_value_payments,43.0,9377.445,5.0,3.0,12.0,6.0,818.45375,11.6,1717.15,43.20952557013875,Good
10.0,9.0,3.0,23.251758591108928,219.0,No,553.8827264070908,282.1346069262425,Good,High_spent_Medium_value_payments,48.0,64874.08,3.0,5.0,8.0,0.0,5460.173333333333,0.89,700.64,0.0,Standard
4.0,6.0,3.0,38.46365323586711,268.0,No,326.08833204169963,1020.643627835996,Good,High_spent_Large_value_payments,23.0,116721.18,2.0,1.0,12.0,1.0,9552.765,10.12,48.88,82.91422168665417,Good
25.0,22.0,7.0,30.21122001509509,86.0,NM,98.95078352453788,332.59027886340834,Bad,High_spent_Medium_value_payments,41.0,48144.78,7.0,6.0,28.0,6.0,3994.065,4.59,3150.66,217.2670402691009,Poor
19.0,0.0,0.0,35.85196463879143,271.0,No,124.48053052023025,1234.7003845554366,Good,Low_spent_Large_value_payments,22.0,173668.84,3.0,6.0,2.0,3.0,14293.403333333335,0.88,710.17,310.1594182576672,Poor
15.0,2.0,4.0,28.16832840909508,184.0,No,174.1826176254456,688.9374479142668,Good,High_spent_Medium_value_payments,23.0,90182.31,0.0,3.0,12.0,3.0,7525.1925,6.47,1283.66,139.39918446028773,Poor
21.0,8.0,9.0,31.03876291279521,115.0,Yes,104.30654444831347,278.1720081202462,Standard,High_spent_Medium_value_payments,17.0,17910.36,5.0,7.0,15.0,6.0,1521.53,8.13,2577.05,59.67444743144033,Poor
4.0,8.0,11.0,38.34879304659996,119.0,Yes,42.46345781812315,636.0906819156946,Standard,High_spent_Large_value_payments,23.0,74961.72,5.0,6.0,16.0,4.0,6421.81,17.9,2158.3,203.62686026618212,Standard
9.0,8.0,2.0,33.45336200969033,233.0,No,533.8150552471798,902.3106114194868,Good,High_spent_Large_value_payments,54.0,141219.08,5.0,7.0,11.0,0.0,11761.256666666664,7.15,1126.33,0.0,Standard
25.0,16.0,3.0,31.9314910940544,236.0,No,147.55360245563494,240.62519876673497,Good,Low_spent_Small_value_payments,49.0,12165.52,8.0,7.0,10.0,3.0,1176.7933333333335,9.16,1377.18,19.50053211096344,Poor
4.0,13.0,2.0,23.13914427642141,364.0,No,141.35564117852644,330.17108805811785,Good,High_spent_Small_value_payments,54.0,32227.77,3.0,6.0,6.0,2.0,2494.6475,4.4,430.39,37.93802076335572,Standard
17.0,10.0,3.0,36.8109479554741,321.0,No,147.1597405011268,555.255408295641,Standard,Low_spent_Large_value_payments,41.0,69707.31,6.0,6.0,12.0,2.0,5608.9425,0.99,9.65,108.4791012032323,Poor
17.0,14.0,1.0,32.37493076237675,222.0,No,152.92375978173877,445.4817690676009,Good,High_spent_Medium_value_payments,47.0,48411.24,8.0,3.0,3.0,4.0,4306.27,4.04,821.27,82.22147115066043,Standard
19.0,5.0,8.0,25.314857090163933,180.0,Yes,485.1423521300944,250.1236335472124,Standard,High_spent_Medium_value_payments,22.0,60460.92,4.0,6.0,16.0,1.0,4855.41,9.3,1040.47,40.27501432269317,Standard
19.0,14.0,5.0,33.04024252476678,304.0,No,176.0631504315974,440.9443931137473,Standard,Low_spent_Small_value_payments,28.0,50173.54,6.0,4.0,11.0,3.0,4323.128333333333,5.09,293.88,105.30528978798868,Poor
19.0,10.0,5.0,38.24964547021352,213.0,No,255.03963279106145,933.8246172089388,Good,High_spent_Large_value_payments,34.0,107275.71,6.0,7.0,6.0,0.0,9188.6425,7.28,174.76,0.0,Good
