ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS
5113507,M,Y,N,0,180000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-14240,-3541,1,0,0,0,Core staff,2.0,0
5010930,F,Y,Y,2,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12745,-525,1,0,0,1,Core staff,4.0,0
5092230,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14496,-808,1,0,1,0,,2.0,0
5062447,F,N,Y,0,67500.0,State servant,Secondary / secondary special,Married,House / apartment,-19818,-11398,1,0,0,0,,2.0,0
5023000,F,N,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23007,-11589,1,1,1,0,Cleaning staff,1.0,0
5114241,F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16723,-712,1,1,0,0,Managers,2.0,0
5054609,F,N,Y,0,292500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21076,365243,1,0,0,0,,2.0,0
5054679,M,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10182,-2403,1,0,0,0,Sales staff,1.0,0
5046010,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-10961,-473,1,0,0,0,Cooking staff,2.0,0
5067351,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-14432,-4493,1,1,0,1,,2.0,0
5028348,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17524,-2182,1,1,1,0,Laborers,2.0,0
5085948,F,N,Y,0,261000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-19758,-1842,1,0,1,0,High skill tech staff,1.0,0
5025157,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-18051,-1799,1,0,0,0,Security staff,2.0,0
5149452,M,Y,Y,0,238500.0,Working,Higher education,Married,With parents,-12187,-2602,1,0,0,0,Laborers,2.0,0
5105494,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9343,-1457,1,0,0,0,Waiters/barmen staff,1.0,0
5140020,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11348,-1436,1,0,0,0,Private service staff,2.0,0
5045393,M,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21174,-657,1,1,0,1,,2.0,0
5113211,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,1,0,0,0,,3.0,0
5113802,F,N,Y,1,337500.0,Working,Secondary / secondary special,Married,House / apartment,-12790,-3329,1,0,0,1,Core staff,3.0,0
5112632,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-12942,-3253,1,0,0,0,,2.0,0
5114398,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-19142,-2415,1,1,0,0,,2.0,0
5104990,M,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14452,-1722,1,0,0,0,Laborers,3.0,0
5116963,M,Y,N,1,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10729,-307,1,0,0,0,Drivers,3.0,0
5054636,M,Y,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15444,-393,1,0,0,0,Secretaries,2.0,0
5142168,M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-12943,-4029,1,0,0,0,Laborers,2.0,0
5054410,M,N,N,0,225000.0,Commercial associate,Higher education,Married,With parents,-13021,-5082,1,1,0,0,Managers,2.0,0
5021346,F,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14172,-2131,1,0,0,0,Sales staff,2.0,0
5090435,F,N,Y,0,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18516,-1046,1,0,0,1,,1.0,0
5045758,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,-19963,-1235,1,0,1,0,Medicine staff,2.0,0
5008986,M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,1,0,1,0,Drivers,2.0,0
5143316,M,N,Y,0,114750.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21268,365243,1,0,0,0,,1.0,0
5089606,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15002,-1466,1,1,1,0,Laborers,2.0,0
5096858,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17975,-3476,1,0,0,0,Drivers,2.0,0
5096170,F,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19601,-796,1,0,0,0,High skill tech staff,2.0,0
5010223,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-17532,-8044,1,0,0,0,Medicine staff,3.0,0
5054014,F,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19939,-6298,1,1,0,0,Managers,2.0,0
5026473,F,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16511,-3148,1,0,0,0,Laborers,2.0,0
5118000,M,Y,N,0,108000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22953,365243,1,0,0,0,,2.0,0
5054676,M,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10182,-2403,1,0,0,0,Sales staff,1.0,0
5050497,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18945,-5340,1,1,0,0,High skill tech staff,2.0,0
5139529,M,N,Y,0,135000.0,Working,Higher education,Married,With parents,-14734,-3172,1,1,1,0,,2.0,0
5105233,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22862,365243,1,0,1,0,,1.0,0
5009729,M,Y,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-13178,-1317,1,1,0,0,Laborers,2.0,0
5085916,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-20470,-9269,1,0,0,0,Core staff,1.0,0
5054503,F,N,Y,0,243000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22702,365243,1,0,0,0,,2.0,0
5054761,F,N,Y,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15792,-6237,1,1,1,0,Medicine staff,4.0,0
5033463,F,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,-15034,-444,1,0,0,0,Managers,2.0,0
5024822,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12384,-2223,1,1,1,0,Sales staff,3.0,0
5061933,M,Y,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20544,365243,1,0,0,0,,2.0,0
5067912,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-13483,-1816,1,1,1,0,Laborers,2.0,0
5104949,F,N,Y,3,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16694,-412,1,1,1,0,Sales staff,5.0,0
5061692,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122,-1567,1,0,0,1,Waiters/barmen staff,3.0,0
5078886,F,N,Y,0,121500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21366,365243,1,0,0,0,,1.0,1
5090377,F,N,Y,0,112500.0,Pensioner,Lower secondary,Married,House / apartment,-23754,365243,1,0,0,0,,2.0,0
5010117,F,N,Y,1,67500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15397,-1894,1,1,1,0,Core staff,3.0,0
5029780,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,1,0,0,0,Medicine staff,2.0,0
5067609,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-19891,-1065,1,0,0,0,Laborers,2.0,0
5135895,F,N,Y,2,90000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-12724,-2635,1,1,0,0,Core staff,4.0,0
5140116,M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,-23215,-523,1,0,0,0,High skill tech staff,2.0,0
5068491,M,N,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,-18321,-110,1,0,1,0,,3.0,0
5111116,F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,-11602,-1455,1,0,0,0,Managers,3.0,0
5061484,M,Y,Y,3,270000.0,Commercial associate,Higher education,Married,House / apartment,-13964,-836,1,0,0,1,Drivers,5.0,0
5036587,M,N,Y,1,135000.0,Working,Higher education,Married,House / apartment,-15914,-3092,1,0,1,0,,3.0,0
5052655,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396,-564,1,0,0,1,IT staff,2.0,0
5038512,F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,-11855,-4583,1,0,0,0,Laborers,2.0,0
5065668,F,Y,Y,0,216000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13402,-542,1,0,0,0,,2.0,0
5091149,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10785,-1345,1,0,0,0,,2.0,0
5022614,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022,-1674,1,0,0,1,Laborers,2.0,0
5046286,F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21066,365243,1,0,0,0,,1.0,0
5009395,M,N,N,0,279000.0,State servant,Higher education,Single / not married,House / apartment,-11042,-3174,1,0,0,0,Core staff,1.0,0
5135347,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-14369,-402,1,0,1,0,Core staff,2.0,0
5050563,M,N,N,2,225000.0,Working,Higher education,Civil marriage,House / apartment,-16768,-3088,1,1,0,0,Laborers,4.0,0
5045700,F,N,Y,0,126000.0,Commercial associate,Higher education,Separated,House / apartment,-16236,-3000,1,0,0,0,Managers,1.0,0
5018421,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18414,-5203,1,0,0,0,Sales staff,2.0,0
5116200,M,N,Y,2,189000.0,State servant,Secondary / secondary special,Married,House / apartment,-18671,-1508,1,0,0,0,,4.0,0
5045922,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,-23933,365243,1,0,0,0,,2.0,0
5135511,F,N,Y,1,252000.0,State servant,Higher education,Married,House / apartment,-12300,-3853,1,0,0,0,Core staff,3.0,0
5062693,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14510,-3805,1,0,0,0,Core staff,3.0,0
5035679,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15841,-2686,1,1,0,0,Waiters/barmen staff,1.0,0
5041123,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,1,0,0,0,Core staff,1.0,0
5009865,M,Y,N,0,225000.0,Working,Higher education,Civil marriage,Rented apartment,-14555,-1226,1,1,0,0,Managers,2.0,0
5061505,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21464,365243,1,0,0,0,,2.0,0
5036711,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15857,-4633,1,0,0,0,Laborers,2.0,0
5025887,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23442,365243,1,0,1,0,,2.0,0
5042273,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24047,365243,1,0,0,0,,2.0,0
5029583,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15201,-1845,1,1,1,0,Core staff,2.0,0
5085845,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19422,-3882,1,1,0,0,,1.0,0
5116539,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-18524,-1707,1,0,0,0,,2.0,0
5096340,F,Y,N,0,153000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23679,365243,1,0,1,0,,1.0,0
5061935,M,Y,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20544,365243,1,0,0,0,,2.0,0
5046514,M,N,Y,1,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13314,-544,1,0,0,0,Drivers,3.0,0
5048057,M,N,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-16280,-887,1,0,0,0,Laborers,2.0,0
5069400,M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8396,-1509,1,1,1,0,Core staff,1.0,0
5053557,M,Y,Y,1,193500.0,Working,Secondary / secondary special,Married,House / apartment,-10439,-2250,1,1,0,0,Core staff,3.0,0
5135432,M,Y,N,2,234000.0,State servant,Secondary / secondary special,Married,House / apartment,-10293,-3243,1,0,1,0,Laborers,4.0,0
5126297,F,N,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15731,-4488,1,1,0,0,Accountants,2.0,0
5026151,F,N,Y,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,-16425,-2842,1,0,0,0,Managers,3.0,0
5146483,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18744,-3141,1,0,1,0,Laborers,2.0,0
5038775,F,N,Y,0,81000.0,State servant,Higher education,Widow,House / apartment,-19439,-6712,1,0,0,0,High skill tech staff,1.0,0
5028855,M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-13867,-3095,1,0,0,0,Laborers,3.0,0
5095551,M,Y,N,0,360000.0,Commercial associate,Higher education,Married,House / apartment,-14369,-4633,1,0,1,0,Managers,2.0,0
5087813,F,Y,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-11810,-648,1,1,1,0,Sales staff,2.0,0
5148899,F,N,Y,1,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9043,-1020,1,0,0,0,,2.0,0
5041956,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20255,365243,1,0,0,0,,2.0,0
5112636,F,N,Y,0,157500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-12942,-3253,1,0,0,0,,2.0,0
5066982,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20662,365243,1,0,1,0,,2.0,0
5011011,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12021,-130,1,0,1,1,Sales staff,2.0,0
5087742,F,N,Y,0,112500.0,Pensioner,Lower secondary,Married,House / apartment,-24821,365243,1,0,0,0,,2.0,0
5126672,F,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18806,-319,1,0,0,0,Sales staff,1.0,0
5089529,F,Y,N,0,315000.0,Working,Higher education,Married,Co-op apartment,-13064,-2286,1,1,0,0,Medicine staff,2.0,0
5096085,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,Municipal apartment,-18165,-11451,1,0,0,0,Cooking staff,2.0,0
5021284,F,N,Y,2,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22087,365243,1,0,0,0,,4.0,0
5142529,M,N,Y,0,225000.0,State servant,Higher education,Married,House / apartment,-9006,-164,1,0,0,0,,2.0,0
5091867,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,-19852,-200,1,0,1,0,Sales staff,2.0,0
5009128,F,N,N,0,157500.0,Commercial associate,Higher education,Separated,With parents,-15737,-432,1,0,0,0,,1.0,0
5089602,F,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11870,-1497,1,1,1,0,Sales staff,4.0,0
5009070,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10450,-2077,1,0,0,0,Sales staff,2.0,0
5065821,F,Y,Y,0,157500.0,Working,Higher education,Civil marriage,House / apartment,-20806,-2338,1,0,0,0,Managers,2.0,0
5117684,F,N,N,0,72000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-23147,365243,1,0,1,0,,1.0,0
5114225,M,Y,N,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-18338,-5673,1,1,0,0,Laborers,4.0,0
5114128,M,N,N,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,-11459,-1046,1,1,0,0,Core staff,3.0,0
5089744,F,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19010,-6761,1,1,1,0,Cleaning staff,2.0,0
5065824,M,Y,Y,2,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16957,365243,1,0,0,0,,4.0,0
5069084,F,Y,Y,2,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13248,-2605,1,0,1,0,Accountants,4.0,0
5137498,M,Y,N,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11008,-108,1,1,1,0,Drivers,4.0,0
5033685,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-19834,-656,1,0,1,0,,2.0,0
5116714,F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-19124,-670,1,0,0,0,,1.0,0
5126317,F,N,N,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-17778,-1719,1,1,1,0,High skill tech staff,2.0,0
5116801,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16286,-1677,1,0,0,0,Drivers,3.0,0
5125481,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-18253,-1595,1,1,1,0,Laborers,2.0,0
5009707,F,N,N,0,157500.0,Working,Higher education,Married,House / apartment,-11644,-344,1,0,0,0,Managers,2.0,0
5142106,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,1,0,0,0,Laborers,2.0,0
5092205,M,Y,Y,0,180000.0,Working,Higher education,Married,House / apartment,-11993,-4826,1,0,1,0,Laborers,2.0,0
5105188,M,N,Y,0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499,-545,1,0,0,1,Laborers,1.0,0
5048074,F,N,Y,0,225000.0,Working,Higher education,Widow,House / apartment,-21450,-13245,1,0,0,0,Core staff,1.0,0
5068603,F,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-15256,-8664,1,0,0,0,Managers,3.0,0
5021777,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14522,-1552,1,0,0,0,Laborers,2.0,0
5125319,M,Y,N,0,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20874,-2722,1,0,0,0,,2.0,0
5117800,M,Y,N,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14660,-1254,1,0,0,0,Drivers,4.0,0
5038854,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24665,365243,1,0,0,0,,2.0,0
5041928,M,Y,N,0,157500.0,Working,Secondary / secondary special,Married,Rented apartment,-12374,-307,1,1,1,0,Core staff,2.0,0
5026170,M,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-24166,365243,1,0,0,0,,2.0,0
5053375,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13926,-3062,1,0,0,0,Laborers,1.0,0
5029693,F,Y,Y,0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19960,-5679,1,0,0,0,Accountants,2.0,0
5062456,F,N,Y,0,270000.0,State servant,Higher education,Married,House / apartment,-13752,-167,1,1,1,0,Managers,2.0,0
5009847,F,N,N,0,99000.0,Commercial associate,Higher education,Married,House / apartment,-10084,-678,1,0,0,0,Sales staff,2.0,0
5142158,M,N,Y,1,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11524,-2554,1,0,0,0,Sales staff,3.0,0
5048017,M,Y,Y,2,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13059,-4813,1,0,0,0,Laborers,4.0,0
5045803,F,N,Y,0,52650.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17783,365243,1,0,0,0,,2.0,0
5009315,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20140,365243,1,0,1,1,,2.0,0
5117239,M,N,Y,0,364500.0,Working,Secondary / secondary special,Married,House / apartment,-8351,-672,1,0,0,0,Laborers,2.0,0
5097185,F,N,Y,0,202500.0,State servant,Higher education,Married,House / apartment,-11158,-640,1,0,1,0,High skill tech staff,2.0,0
5037163,M,Y,Y,1,171000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14399,-6122,1,0,0,0,Managers,3.0,0
5028842,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,1,0,0,0,Laborers,3.0,0
5051028,M,Y,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-17249,-1688,1,0,0,0,Laborers,2.0,0
5033961,F,Y,N,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-15422,-3009,1,0,0,0,Laborers,2.0,0
5065743,F,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-21955,365243,1,0,1,0,,2.0,0
5026634,M,Y,N,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18010,-2811,1,1,0,0,Laborers,1.0,0
5091172,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23969,365243,1,0,0,0,,2.0,0
5053962,F,N,N,0,270000.0,State servant,Higher education,Married,House / apartment,-13266,-2341,1,1,1,0,Core staff,2.0,0
5067248,F,Y,Y,0,391500.0,Working,Secondary / secondary special,Married,House / apartment,-16995,-7264,1,0,0,0,Core staff,2.0,0
5085651,F,N,N,0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-13595,-1387,1,0,0,0,Laborers,1.0,0
5113785,M,Y,Y,0,450000.0,Commercial associate,Higher education,Married,House / apartment,-18362,-2141,1,0,0,0,Medicine staff,2.0,0
5090538,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20715,-1104,1,1,1,0,Laborers,2.0,0
5036727,F,N,Y,0,94500.0,Pensioner,Higher education,Single / not married,House / apartment,-20889,365243,1,0,0,0,,1.0,0
