id_assessment,student_id,study_period_days,score
49,287,35,55.0
70,288,22,94.0
15,289,70,16.0
54,290,70,8.0
101,291,35,96.0
8,292,70,33.0
53,293,22,44.0
60,294,35,87.0
108,295,35,8.0
5,296,22,6.0
103,297,35,15.0
6,298,70,18.0
109,299,70,5.0
116,300,22,10.0
94,301,70,75.0
47,302,22,60.0
99,303,22,41.0
55,304,70,12.0
52,305,22,11.0
13,306,70,84.0
114,307,35,73.0
124,308,35,19.0
106,309,22,49.0
120,310,70,35.0
63,311,70,91.0
19,312,35,87.0
92,313,35,68.0
58,314,70,36.0
90,315,22,11.0
117,316,35,98.0
62,317,22,39.0
23,318,22,53.0
127,319,35,1.0
129,320,22,49.0
58,321,22,40.0
122,322,70,44.0
1,323,22,8.0
96,325,35,85.0
126,326,35,46.0
118,327,70,4.0
48,328,35,75.0
89,329,22,
117,330,22,43.0
129,331,22,21.0
16,332,35,37.0
69,333,22,18.0
22,334,35,79.0
93,335,22,30.0
76,336,70,66.0
86,337,35,86.0
29,338,35,41.0
69,339,22,81.0
47,340,35,25.0
94,341,35,12.0
85,342,70,57.0
39,343,70,17.0
100,344,22,66.0
33,345,70,86.0
101,346,22,2.0
23,347,22,54.0
10,348,22,88.0
100,350,70,57.0
34,351,22,62.0
96,352,70,90.0
1,353,22,51.0
4,355,70,23.0
16,356,22,71.0
24,357,35,8.0
80,358,70,36.0
2,359,35,93.0
128,360,35,82.0
84,361,22,52.0
124,362,22,79.0
33,363,22,23.0
101,364,70,20.0
12,365,22,99.0
67,366,22,39.0
65,367,70,61.0
74,368,70,69.0
43,369,22,68.0
44,370,22,13.0
29,371,22,41.0
12,372,22,49.0
95,373,35,60.0
46,374,35,3.0
130,375,22,71.0
81,377,70,74.0
90,378,35,16.0
8,379,35,84.0
93,380,22,56.0
90,381,35,89.0
115,382,35,47.0
58,384,35,44.0
114,385,70,90.0
75,386,22,79.0
21,388,70,32.0
101,389,35,30.0
99,390,70,46.0
36,391,35,5.0
96,392,70,71.0
37,393,22,70.0
12,394,22,33.0
113,395,22,52.0
13,396,35,13.0
23,397,35,15.0
99,398,70,42.0
105,399,70,72.0
30,400,22,73.0
113,402,70,11.0
62,403,35,69.0
84,404,35,18.0
112,405,22,40.0
86,406,22,52.0
19,407,35,28.0
100,408,35,69.0
76,409,35,58.0
9,410,35,88.0
28,411,22,63.0
128,412,70,23.0
52,413,22,88.0
83,414,70,15.0
111,415,35,51.0
117,416,70,79.0
99,418,22,36.0
25,419,35,84.0
123,420,22,3.0
57,422,22,91.0
39,423,22,37.0
109,424,35,40.0
42,425,70,91.0
122,426,22,80.0
133,427,70,13.0
75,428,22,70.0
76,429,22,85.0
9,430,22,50.0
74,431,22,64.0
7,432,70,92.0
27,433,70,51.0
122,434,22,94.0
5,435,22,29.0
29,436,70,56.0
83,437,35,78.0
109,438,35,81.0
65,439,70,98.0
86,440,22,29.0
71,441,22,97.0
45,442,35,41.0
132,443,35,10.0
36,444,70,26.0
70,445,35,23.0
19,446,70,98.0
108,447,35,38.0
91,448,35,71.0
90,449,35,17.0
19,450,22,76.0
39,451,22,44.0
126,452,22,87.0
126,453,35,86.0
58,454,70,11.0
61,455,70,48.0
127,456,70,93.0
105,457,70,30.0
1,458,22,91.0
131,459,22,21.0
92,460,35,43.0
113,461,35,91.0
56,462,70,63.0
117,463,22,76.0
58,464,70,24.0
44,465,35,50.0
61,466,35,6.0
47,467,70,5.0
80,468,35,23.0
118,469,70,18.0
20,470,22,82.0
47,471,70,99.0
49,472,22,8.0
14,473,22,35.0
1,474,35,39.0
117,475,35,92.0
54,476,35,23.0
118,477,70,47.0
3,478,70,62.0
12,479,35,68.0
74,480,70,52.0
16,481,35,53.0
102,482,70,41.0
117,483,22,44.0
8,484,22,89.0
122,485,35,13.0
92,486,70,28.0
90,487,70,5.0
60,488,22,6.0
28,489,22,36.0
101,490,35,52.0
41,491,22,17.0
46,492,35,86.0
35,493,22,37.0
82,494,22,58.0
47,496,22,67.0
10,497,22,43.0
56,498,35,46.0
30,499,22,34.0
109,500,35,86.0
5,501,22,90.0
119,502,22,59.0
33,503,35,89.0
118,504,70,51.0
65,505,35,7.0
11,506,35,79.0
85,507,35,40.0
26,508,70,2.0
63,509,22,95.0
86,510,35,68.0
59,511,35,83.0
27,512,70,13.0
98,513,35,95.0
105,514,22,25.0
99,515,70,69.0
129,516,22,57.0
55,517,22,99.0
6,518,70,39.0
95,519,35,50.0
133,520,22,4.0
102,521,22,76.0
3,522,22,31.0
23,523,22,79.0
53,524,70,
83,525,70,76.0
85,526,22,53.0
78,527,35,10.0
110,528,22,52.0
1,529,35,7.0
51,530,22,24.0
4,531,35,39.0
113,532,22,31.0
32,533,35,87.0
34,534,22,27.0
92,535,22,77.0
95,536,35,2.0
72,537,70,99.0
39,538,35,90.0
118,539,70,83.0
3,540,22,78.0
123,541,35,61.0
50,542,35,26.0
12,543,35,44.0
133,545,70,24.0
57,546,22,60.0
112,547,70,43.0
47,548,70,96.0
85,549,22,45.0
66,550,35,13.0
75,551,35,7.0
103,552,22,47.0
38,553,35,13.0
50,554,70,64.0
98,555,22,79.0
82,556,22,81.0
30,557,22,6.0
79,558,35,78.0
91,559,22,87.0
52,560,22,48.0
79,561,22,54.0
106,563,70,72.0
51,564,22,55.0
81,565,70,55.0
133,566,35,14.0
29,567,35,56.0
132,568,35,57.0
74,569,35,34.0
17,570,70,87.0
84,571,22,96.0
34,573,35,7.0
6,574,70,92.0
53,575,70,86.0
126,576,35,44.0
43,577,22,94.0
115,578,22,39.0
111,579,35,53.0
80,580,70,13.0
95,581,35,58.0
118,582,35,93.0
8,583,70,52.0
132,584,35,26.0
104,585,35,46.0
132,586,35,79.0
25,587,70,5.0
96,588,22,54.0
93,589,22,96.0
61,590,70,43.0
122,591,22,17.0
51,592,35,15.0
21,593,22,11.0
5,594,35,19.0
92,595,22,44.0
61,596,70,63.0
22,597,22,58.0
70,598,22,92.0
1,599,22,93.0
133,600,70,89.0
12,601,22,21.0
90,602,70,96.0
46,603,35,46.0
34,604,22,28.0
78,605,70,85.0
45,606,70,44.0
73,607,22,76.0
26,608,35,8.0
47,609,70,23.0
121,610,22,14.0
56,611,35,35.0
94,612,70,12.0
107,613,70,90.0
63,614,35,43.0
48,615,35,100.0
61,616,22,70.0
81,617,22,71.0
26,618,70,100.0
36,619,35,77.0
1,620,35,75.0
8,621,35,35.0
113,622,70,60.0
99,623,35,80.0
47,624,35,39.0
127,625,70,92.0
56,626,22,26.0
14,627,22,
28,628,70,33.0
78,629,35,67.0
130,630,70,87.0
14,632,22,32.0
56,633,70,6.0
7,635,22,2.0
3,636,70,50.0
111,637,22,78.0
107,638,70,94.0
18,639,70,53.0
38,640,70,79.0
115,641,22,73.0
15,642,70,92.0
119,643,22,58.0
28,644,22,5.0
17,646,70,16.0
86,647,22,59.0
126,648,22,21.0
44,649,35,23.0
13,651,35,84.0
25,652,35,50.0
68,653,35,49.0
67,654,70,10.0
109,655,70,55.0
111,657,35,41.0
34,658,70,38.0
111,659,70,68.0
113,661,70,56.0
83,662,70,20.0
42,663,35,81.0
101,664,35,98.0
6,665,35,19.0
26,666,35,14.0
64,667,22,68.0
59,668,35,76.0
109,669,70,50.0
121,670,35,75.0
21,672,70,84.0
70,673,35,36.0
112,674,35,5.0
4,675,35,70.0
94,676,70,25.0
75,677,70,7.0
62,678,22,72.0
94,679,70,90.0
95,680,70,3.0
55,681,35,20.0
131,682,70,30.0
31,683,35,20.0
40,684,35,24.0
36,685,70,14.0
6,686,22,34.0
66,687,22,48.0
75,688,70,42.0
4,689,22,40.0
79,690,35,36.0
118,691,35,56.0
94,693,22,46.0
62,694,22,91.0
79,695,35,60.0
26,696,70,13.0
44,697,22,67.0
133,698,70,52.0
70,699,22,83.0
68,701,35,75.0
19,702,70,96.0
20,703,35,23.0
113,704,22,19.0
47,705,35,68.0
1,706,70,29.0
90,707,70,87.0
64,708,70,6.0
38,709,22,35.0
37,710,22,37.0
126,711,22,79.0
100,712,22,51.0
77,713,22,14.0
3,714,35,45.0
10,715,22,22.0
5,716,22,11.0
130,717,35,92.0
13,718,22,43.0
130,719,70,14.0
84,720,22,92.0
65,721,22,48.0
63,722,70,20.0
101,723,70,14.0
73,724,70,13.0
17,725,70,41.0
38,727,70,14.0
94,728,70,62.0
95,729,35,67.0
49,730,70,26.0
69,731,70,86.0
62,732,35,92.0
78,733,35,52.0
117,734,22,51.0
120,735,35,62.0
76,736,22,72.0
35,737,35,52.0
1,738,35,56.0
40,739,22,51.0
64,740,35,42.0
60,741,22,6.0
64,742,35,41.0
93,743,70,3.0
72,744,35,68.0
105,746,35,74.0
14,747,22,91.0
60,748,22,79.0
30,749,70,40.0
35,750,70,93.0
5,751,22,3.0
83,752,35,1.0
123,753,22,66.0
78,754,22,20.0
62,755,35,69.0
132,756,35,42.0
42,758,35,68.0
89,759,22,8.0
40,760,22,83.0
72,761,70,27.0
39,762,22,25.0
104,763,35,81.0
14,764,70,82.0
32,765,35,2.0
125,766,22,72.0
97,767,70,99.0
23,768,35,94.0
63,769,70,48.0
53,770,70,16.0
104,772,35,54.0
39,773,70,22.0
67,774,70,33.0
42,775,35,68.0
15,776,70,14.0
111,777,70,46.0
33,778,70,2.0
38,779,35,82.0
97,780,35,27.0
33,781,35,2.0
86,782,35,3.0
10,784,70,30.0
5,785,35,44.0
123,786,70,58.0
74,787,70,44.0
97,788,22,74.0
118,789,35,36.0
38,790,35,64.0
47,791,70,8.0
109,792,35,16.0
15,793,70,64.0
5,794,70,2.0
47,795,22,25.0
68,796,22,52.0
76,797,22,30.0
130,798,70,25.0
95,799,35,22.0
115,800,22,29.0
36,801,35,9.0
26,802,22,71.0
43,803,22,88.0
27,804,70,63.0
69,805,22,21.0
11,806,22,14.0
74,807,70,55.0
38,809,22,19.0
23,810,70,46.0
47,811,22,86.0
90,812,70,52.0
46,813,35,52.0
107,814,35,
104,815,70,1.0
111,816,70,57.0
104,817,70,18.0
60,818,35,61.0
100,819,22,77.0
68,820,35,71.0
133,821,70,11.0
120,822,70,25.0
37,823,35,26.0
72,824,70,28.0
127,825,35,14.0
106,826,70,45.0
92,827,22,
31,828,22,59.0
122,829,70,91.0
51,830,35,56.0
29,831,22,2.0
41,833,70,51.0
11,834,35,59.0
1,835,22,33.0
46,836,35,95.0
101,837,35,92.0
90,838,70,88.0
110,839,70,59.0
57,840,70,25.0
1,841,22,71.0
63,842,22,18.0
55,843,70,21.0
115,844,70,92.0
53,845,22,32.0
57,846,22,37.0
117,847,22,34.0
35,848,22,66.0
63,849,70,82.0
25,850,22,9.0
90,851,70,90.0
75,852,35,14.0
38,853,35,10.0
130,854,22,89.0
91,855,35,23.0
17,856,35,76.0
128,857,35,95.0
108,858,22,100.0
25,859,22,3.0
88,860,35,12.0
29,861,70,72.0
63,862,35,56.0
114,863,22,97.0
49,864,22,36.0
84,866,35,70.0
105,867,70,
118,868,22,59.0
86,869,22,11.0
63,870,35,20.0
104,871,70,10.0
49,872,35,43.0
71,873,22,57.0
1,874,70,43.0
123,875,70,77.0
62,876,22,97.0
32,877,70,33.0
29,878,70,24.0
49,879,35,3.0
18,882,22,15.0
1,883,22,9.0
78,884,22,65.0
115,885,70,34.0
113,886,35,82.0
114,887,22,5.0
63,888,35,18.0
132,889,35,58.0
129,890,70,52.0
8,891,22,7.0
55,892,70,77.0
131,894,70,66.0
32,895,35,37.0
10,896,22,28.0
110,897,35,14.0
124,898,35,86.0
87,899,70,22.0
55,900,22,81.0
32,901,35,45.0
93,902,70,82.0
8,903,22,27.0
65,904,22,25.0
57,905,35,9.0
67,906,22,46.0
54,908,22,54.0
67,909,70,65.0
51,910,35,66.0
97,911,35,6.0
92,912,22,54.0
8,913,22,79.0
35,914,35,30.0
96,915,22,73.0
88,916,70,18.0
78,917,22,27.0
32,918,70,80.0
120,919,70,27.0
46,920,70,18.0
55,921,70,100.0
7,922,70,86.0
74,923,22,19.0
7,924,70,12.0
85,925,22,76.0
112,926,70,42.0
125,927,35,10.0
29,929,35,14.0
82,930,70,16.0
2,931,70,53.0
129,932,70,49.0
47,933,35,27.0
11,934,35,82.0
130,935,70,3.0
119,936,22,21.0
20,937,70,85.0
5,938,35,100.0
37,939,70,38.0
53,940,35,33.0
99,941,35,96.0
86,942,35,43.0
108,943,70,41.0
24,944,35,39.0
81,945,35,96.0
120,946,70,11.0
59,947,35,1.0
128,948,70,27.0
114,949,35,73.0
115,950,22,85.0
14,951,22,80.0
9,952,35,89.0
40,953,22,66.0
25,954,70,70.0
103,955,22,71.0
22,956,35,83.0
4,957,35,75.0
29,958,70,98.0
109,959,35,80.0
98,960,70,91.0
37,961,22,9.0
75,962,22,85.0
70,963,70,56.0
128,964,70,96.0
85,965,35,85.0
42,966,22,36.0
100,967,70,76.0
41,968,22,90.0
34,969,70,63.0
17,970,22,78.0
122,971,35,85.0
76,972,22,93.0
87,973,22,39.0
117,974,22,100.0
106,975,22,97.0
86,976,22,59.0
27,977,35,97.0
57,978,70,47.0
31,979,22,98.0
98,980,35,18.0
12,981,22,71.0
53,982,22,32.0
122,983,70,43.0
46,984,22,91.0
64,985,35,36.0
130,986,35,88.0
54,987,70,35.0
107,988,22,80.0
51,989,35,87.0
36,990,22,20.0
115,991,22,1.0
26,992,22,30.0
29,993,70,96.0
11,994,22,29.0
11,996,22,43.0
113,997,35,11.0
39,998,22,50.0
54,999,35,48.0
98,1000,35,23.0
55,1001,22,23.0
111,1002,22,59.0
69,1003,35,10.0
56,1004,70,12.0
33,1005,22,90.0
36,1006,70,71.0
81,1007,22,73.0
109,1008,22,71.0
40,1010,22,19.0
17,1011,70,71.0
129,1012,22,72.0
61,1013,35,70.0
104,1014,35,77.0
42,1015,70,27.0
25,1016,22,1.0
39,1017,35,42.0
35,1018,70,7.0
108,1020,35,84.0
102,1021,35,91.0
98,1022,70,34.0
12,1023,22,22.0
19,1024,22,45.0
101,1025,35,14.0
44,1026,35,1.0
49,1027,35,60.0
17,1028,22,75.0
74,1029,70,63.0
57,1030,70,51.0
55,1031,22,35.0
47,1032,70,66.0
12,1033,35,68.0
80,1035,70,46.0
83,1036,70,82.0
8,1037,35,1.0
81,1038,22,43.0
118,1039,35,100.0
25,1040,22,63.0
89,1041,22,80.0
12,1042,22,77.0
59,1043,70,27.0
109,1044,70,90.0
26,1045,22,53.0
47,1046,22,73.0
32,1047,70,66.0
10,1048,35,35.0
16,1049,22,62.0
26,1050,35,24.0
86,1051,70,85.0
14,1052,22,47.0
79,1053,35,38.0
117,1054,35,46.0
7,1055,35,93.0
115,1056,70,20.0
72,1057,70,29.0
59,1058,35,91.0
82,1059,35,30.0
116,1060,70,25.0
103,1061,35,21.0
17,1062,35,20.0
14,1063,70,
108,1064,35,36.0
45,1065,35,76.0
98,1066,35,84.0
131,1067,70,45.0
37,1068,35,8.0
108,1069,70,16.0
39,1070,70,46.0
15,1071,22,84.0
120,1072,22,94.0
4,1073,35,58.0
93,1074,70,53.0
16,1075,22,85.0
108,1076,35,11.0
55,1078,22,5.0
34,1079,70,52.0
13,1080,70,15.0
18,1081,22,89.0
96,1082,22,4.0
123,1083,70,72.0
39,1084,35,45.0
46,1085,70,13.0
29,1086,22,43.0
16,1088,22,93.0
121,1089,35,51.0
10,1090,22,25.0
103,1091,35,52.0
84,1092,35,28.0
133,1093,22,18.0
65,1094,35,46.0
3,1095,70,7.0
120,1096,22,22.0
68,1097,70,34.0
37,1098,22,94.0
49,1100,35,98.0
121,1101,35,95.0
88,1102,22,57.0
37,1103,70,4.0
61,1104,70,15.0
124,1105,22,16.0
39,1106,22,31.0
63,1107,70,95.0
46,1108,70,51.0
88,1109,70,19.0
11,1110,70,65.0
62,1111,22,83.0
77,1112,22,81.0
52,1113,35,
4,1114,70,57.0
59,1115,35,92.0
72,1116,22,92.0
93,1117,22,82.0
63,1118,35,43.0
54,1119,70,5.0
117,1120,70,49.0
110,1121,70,71.0
74,1122,70,87.0
107,1123,35,19.0
57,1124,35,13.0
3,1125,22,4.0
120,1126,70,40.0
6,1127,70,39.0
5,1128,70,33.0
5,1129,35,79.0
54,1130,70,44.0
47,1131,35,70.0
9,1132,70,79.0
99,1133,70,70.0
20,1134,22,26.0
122,1135,70,77.0
61,1136,70,77.0
123,1137,22,43.0
82,1138,35,32.0
62,1139,35,32.0
3,1140,70,43.0
13,1141,35,19.0
120,1142,70,35.0
125,1143,22,6.0
89,1144,22,31.0
73,1145,70,66.0
68,1146,22,38.0
101,1147,22,92.0
11,1149,70,85.0
105,1150,22,69.0
67,1151,35,87.0
123,1152,35,86.0
29,1153,70,53.0
76,1154,70,37.0
9,1155,35,73.0
40,1156,22,79.0
25,1157,35,74.0
5,1158,35,31.0
124,1159,35,44.0
38,1160,35,60.0
72,1161,70,69.0
133,1162,70,87.0
90,1163,22,96.0
37,1164,22,52.0
60,1165,22,50.0
28,1166,22,75.0
81,1167,35,55.0
114,1168,70,26.0
40,1169,70,37.0
45,1170,22,61.0
62,1171,22,17.0
93,1172,35,63.0
115,1173,35,76.0
67,1174,22,29.0
56,1175,70,48.0
40,1176,70,40.0
98,1177,70,12.0
40,1178,22,33.0
91,1179,70,99.0
33,1180,35,93.0
80,1182,22,65.0
92,1183,35,99.0
97,1184,22,17.0
59,1185,70,4.0
59,1186,70,18.0
48,1187,70,41.0
13,1188,35,17.0
107,1189,22,31.0
45,1190,70,20.0
89,1191,22,9.0
100,1192,70,36.0
7,1193,35,48.0
133,1194,35,85.0
45,1195,22,12.0
58,1196,35,54.0
31,1197,35,16.0
23,1198,22,8.0
107,1199,70,87.0
39,1200,35,43.0
82,1201,22,77.0
100,1202,35,45.0
2,1203,35,7.0
77,1204,35,36.0
12,1205,35,18.0
39,1206,22,62.0
13,1207,22,91.0
46,1208,22,45.0
113,1209,35,93.0
17,1210,35,70.0
104,1211,35,25.0
98,1212,22,45.0
88,1213,35,45.0
109,1214,70,74.0
70,1215,35,13.0
74,1216,70,84.0
63,1217,35,62.0
60,1218,22,71.0
79,1219,35,2.0
37,1220,70,27.0
22,1221,70,28.0
96,1222,35,86.0
68,1223,70,17.0
17,1224,70,34.0
12,1225,22,76.0
118,1226,35,75.0
22,1227,35,46.0
120,1228,35,4.0
50,1229,70,74.0
14,1230,35,58.0
29,1231,35,74.0
125,1232,22,58.0
7,1233,22,46.0
33,1235,70,94.0
111,1236,35,12.0
79,1237,22,77.0
58,1238,22,88.0
26,1239,22,32.0
29,1240,35,96.0
99,1242,35,78.0
39,1243,70,15.0
15,1244,70,43.0
119,1245,22,57.0
29,1246,35,5.0
75,1247,22,88.0
116,1248,35,14.0
32,1249,35,3.0
130,1250,35,55.0
84,1251,70,63.0
22,1252,70,67.0
27,1253,35,93.0
81,1254,22,33.0
92,1256,35,94.0
21,1257,22,55.0
47,1258,35,31.0
101,1259,22,8.0
84,1260,70,62.0
6,1261,70,71.0
131,1262,22,77.0
1,1263,70,32.0
58,1264,70,86.0
124,1265,22,20.0
15,1266,70,54.0
64,1267,35,75.0
25,1268,35,56.0
24,1269,22,1.0
12,1270,70,12.0
18,1271,35,3.0
15,1272,35,83.0
27,1273,70,49.0
72,1274,70,47.0
60,1275,35,77.0
93,1276,35,29.0
53,1277,22,28.0
8,1278,22,7.0
79,1279,35,11.0
27,1280,22,40.0
50,1281,35,25.0
131,1282,35,49.0
93,1283,22,1.0
24,1284,22,54.0
60,1285,70,55.0
122,1286,70,13.0
131,1287,70,5.0
46,1288,35,94.0
15,1289,22,80.0
17,1290,35,88.0
126,1291,22,60.0
84,1292,35,95.0
9,1293,70,11.0
63,1294,70,12.0
117,1295,70,18.0
130,1296,35,43.0
88,1297,22,88.0
64,1299,70,58.0
72,1300,70,36.0
21,1301,70,24.0
18,1302,70,15.0
64,1303,22,37.0
82,1304,35,42.0
95,1306,35,13.0
32,1307,35,5.0
11,1308,70,88.0
45,1309,70,22.0
33,1310,70,59.0
102,1311,35,11.0
11,1312,70,12.0
88,1313,70,99.0
41,1314,22,97.0
76,1315,22,5.0
121,1316,70,62.0
46,1317,22,37.0
80,1318,22,49.0
54,1319,70,51.0
86,1320,70,39.0
92,1321,70,7.0
97,1322,70,60.0
2,1323,35,7.0
33,1324,35,96.0
77,1325,70,33.0
116,1326,22,78.0
103,1327,70,99.0
103,1328,70,59.0
90,1329,22,56.0
122,1330,35,98.0
106,1331,70,45.0
119,1332,70,21.0
49,1333,35,86.0
104,1334,35,39.0
61,1335,22,44.0
123,1336,35,54.0
6,1338,35,85.0
73,1339,22,4.0
103,1340,35,94.0
41,1341,35,12.0
114,1342,22,27.0
8,1343,35,83.0
72,1344,35,96.0
92,1345,22,79.0
62,1346,70,61.0
84,1347,22,92.0
62,1348,35,86.0
111,1349,35,23.0
7,1351,22,6.0
84,1352,35,37.0
132,1353,35,36.0
58,1354,22,67.0
127,1356,70,41.0
3,1357,35,85.0
127,1358,22,4.0
41,1359,35,63.0
106,1360,22,49.0
14,1361,22,86.0
12,1362,70,14.0
12,1364,22,72.0
25,1365,35,52.0
45,1366,70,24.0
122,1367,35,88.0
55,1368,70,84.0
100,1369,70,8.0
119,1370,35,37.0
53,1371,70,21.0
32,1372,70,86.0
51,1373,35,48.0
44,1374,70,67.0
82,1375,70,92.0
37,1376,70,14.0
96,1377,35,64.0
56,1378,22,53.0
105,1379,35,29.0
59,1380,22,92.0
131,1381,70,19.0
35,1382,22,32.0
93,1383,35,99.0
97,1384,35,85.0
76,1385,70,76.0
94,1387,70,7.0
24,1388,70,27.0
37,1389,35,44.0
4,1390,22,72.0
108,1391,22,88.0
126,1392,22,79.0
20,1393,22,73.0
50,1394,70,10.0
96,1395,70,30.0
105,1396,35,11.0
117,1397,70,94.0
98,1398,70,77.0
66,1399,35,50.0
79,1400,35,43.0
6,1401,35,95.0
39,1402,70,49.0
115,1403,70,16.0
125,1404,35,34.0
12,1405,35,
131,1406,35,28.0
18,1407,70,50.0
40,1408,70,63.0
21,1409,22,3.0
99,1410,70,86.0
26,1411,70,27.0
8,1412,70,15.0
100,1413,35,62.0
87,1414,70,75.0
42,1415,35,52.0
14,1416,22,84.0
78,1417,22,16.0
2,1418,35,39.0
119,1419,35,12.0
37,1420,35,51.0
69,1421,70,57.0
41,1422,22,95.0
62,1423,35,36.0
60,1424,70,78.0
125,1425,22,75.0
111,1426,70,60.0
14,1427,22,78.0
84,1428,70,33.0
130,1429,22,69.0
70,1430,22,16.0
123,1431,70,19.0
